time;surface;reduction;melodyPC;melodyMIDI
;;;;
2;;[4 0];;
3;;[7 0];;
tonality;11;[0 2 3 5 7 8 10];-------;-------
grouping;4;-------;-------;-------
4;[7 0 3 7 10 17];[7 0 3 7 10];;
2;[7 0 3 7 10];;;
2.5;[7 0 3 7 10];;;
3;[7 0 3 7 10 13];;;
3.5;[7 0 3 7 10 17];;;
4;[7 0 3 7 10];;;
7;[7 0 3 7 10];;;
8;[0 0 4 7 10 14];[0 0 4 7 10 14];;
10;[0 0 4 7 10 13];[0 0 4 7 10 13];;
11;[0 0 4 7 10 13];;;
12;[5 0 3 7 10];[5 0 3 7 10];;
16;[10 0 4 7 10 14];[10 0 4 7 10 14];;
17.5;[10 0 4 7 10 14];;;
18;[10 0 4 7 10];[10 0 4 7 10];;
18.5;[7 0 3 7 10 13];;;
19;[10 0 4 7 10];[10 0 4 7 10];;
19.5;[10 0 4 7 10 14];;;
tonality;7;[0 2 4 5 7 9 11];-------;-------
grouping;20;-------;-------;-------
20;[2 0 3 7 10];[2 0 3 7 10];;
23;[2 0 3 7 10];;;
24;[7 0 4 7 10];[7 0 4 7 10];;
27;[7 0 4 7 10];;;
28;[0 0 4 7 11];[0 0 4 7 11];;
32;[5 0 4 7 11];[5 0 4 7 11];;
34;[5 0 4 7 11];;;
34.5;[5 0 4 7 11];;;
35;[2 0 3 7 10 14];;;
35.5;[5 0 4 7 11];;;
grouping;36;-------;-------;-------
36;[11 0 3 6 9];[11 0 3 6 9];;
39;[11 0 3 6 9];;;
40;[4 0 4 7 10];[4 0 4 7 10];;
43;[4 0 4 7 10];;;
44;[9 0 3 7 10];[9 0 3 7 10];;
48;[9 0 3 7 10];[9 0 3 7 10];;
50;[9 0 3 7 10];[9 0 3 7 10];;
50.5;[9 0 3 7 10 17];;;
51;[9 0 3 7 10];;;
51.5;[9 0 3 7 10 14];;;
grouping;52;-------;-------;-------
52;[9 0 3 6 9];[9 0 3 6 9];;
55;[9 0 3 7 9 18];;;
56;[11 0 4 7 10];[11 0 4 7 10];;
59;[11 0 4 7 10 13];;;
60;[11 0 3 7 10];[11 0 3 7 10];;
64;[4 0 4 7 10];[4 0 4 7 10];;
65.5;[4 0 4 7 10];;;
66;[4 0 4 7 10 17];[4 0 4 7 10 17];;
66.5;[4 0 4 7 10];;;
67;[8 0 4 8 15 18];[8 0 4 8 15 18];;
67.5;[4 0 4 7 10];;;
tonality;11;[0 2 3 5 7 8 10];-------;-------
grouping;68;-------;-------;-------
68;[7 0 3 7 10];[7 0 3 7 10];;
71;[7 0 3 7 10];;;
72;[0 0 4 7 10 14];[0 0 4 7 10 14];;
74;[0 0 4 7 10 13];[0 0 4 7 10 13];;
75;[0 0 4 7 10 13];;;
76;[5 0 3 7 10];[5 0 3 7 10];;
80;[10 0 4 7 10 14];[10 0 4 7 10 14];;
81.5;[10 0 4 7 10 14];;;
82;[10 0 4 7 10];[10 0 4 7 10];;
82.5;[7 0 3 7 10 13];;;
83;[10 0 4 7 10];[10 0 4 7 10];;
83.5;[10 0 4 7 10 14];;;
tonality;7;[0 2 4 5 7 9 11];-------;-------
grouping;84;-------;-------;-------
84;[2 0 3 7 10];[2 0 3 7 10];;
87;[2 0 3 7 10];;;
88;[7 0 4 7 10];[7 0 4 7 10];;
91;[7 0 4 7 10];;;
92;[7 0 3 7 9];[7 0 3 7 9];;
96;[9 0 4 7 10];[9 0 4 7 10];;
98;[9 0 4 7 10];;;
98.5;[9 0 4 7 10];;;
99;[5 0 4 8 11 14];;;
99.5;[9 0 4 7 10];;;
grouping;100;-------;-------;-------
100;[2 0 3 7 10];[2 0 3 7 10];;
101.5;[2 0 3 7 10];;;
102;[2 0 3 7 10];;;
104;[5 0 3 7 10];[5 0 3 7 10];;
106;[7 0 3 7 10 13];[10 0 4 7 10];;
106.5;[10 0 4 7 10];;;
107;[10 0 4 7 10 18];;;
107.5;[10 0 4 7 10];;;
108;[4 0 3 7 10];[4 0 3 7 10];;
109.5;[4 0 3 7 10];;;
110;[4 0 3 7 10];;;
112;[9 0 4 7 10 13];[9 0 4 7 10 13];;
114;[10 0 3 7 11 18 21];;;
114.5;[9 0 4 7 10 13];;;
115;[7 0 3 7 6 9 14];;;
115.5;[9 0 4 7 10 13];;;
grouping;116;-------;-------;-------
116;[2 0 4 7 10];[2 0 4 7 10];;
117.5;[2 0 3 7 10 16];;;
118;[8 0 4 7 10 18];[8 0 4 7 10 18];;
120;[2 0 3 7 10];[2 0 3 7 10];;
121.5;[2 0 3 7 10];;;
122;[4 0 3 7 10 4 13];[7 0 4 7 10 13];;
122.5;[7 0 4 7 10 13];;;
123;[7 0 4 7 5 10 13];;;
123.5;[7 0 4 7 10 13];;;
124;[9 0 3 7 10];[9 0 3 7 10];;
128;[4 0 4 7 10];[4 0 4 7 10];;
129.5;[4 0 4 7 10];;;
130;[4 0 4 7 10 17];[4 0 4 7 10 17];;
130.5;[4 0 4 7 10];;;
131;[8 0 4 8 15 18];[8 0 4 8 15 18];;
131.5;[4 0 4 7 10];;;
132;[9 0 3 7 10];[9 0 3 7 10];;
