time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;5;[0 2 4 5 7 9 11];-------;-------
grouping;0;-------;-------;-------
0;[0 0 4 7 11];[0 0 4 7 11];;
3;[9 0 3 7 10];[9 0 3 7 10];;
6;[2 0 3 7 10];[2 0 3 7 10];;
9;[11 0 4 7 10];[11 0 4 7 10];;
12;[4 0 4 7 10];[4 0 4 7 10];;
15;[9 0 4 7 10];[9 0 4 7 10];;
grouping;18;-------;-------;-------
18;[2 0 4 7 10];[2 0 4 7 10];;
19;[2 0 4 7 10];;;
20;[2 0 4 7 10];;;
21;[7 0 4 7 10];[7 0 4 7 10];;
22;[7 0 4 7 10 17];;;
23;[7 0 4 7 10];;;
24;[0 0 4 7 10];[0 0 4 7 10];;
26;[0 0 4 7 10 14];;;
27;[5 0 4 7 11];[5 0 4 7 11];;
28;[2 0 3 7 10 14];;;
29;[5 0 4 7 11];;;
grouping;30;-------;-------;-------
30;[2 0 3 7 10];[2 0 3 7 10];;
32;[2 0 3 7 10 14];;;
33;[7 0 4 7 10];[7 0 4 7 10];;
34;[4 0 3 7 10 13];;;
35;[7 0 4 7 10];[7 0 4 7 10];;
36;[4 0 3 7 10];[4 0 3 7 10];;
39;[9 0 4 7 10];[9 0 4 7 10];;
42;[2 0 3 7 10 17];[2 0 3 7 10 17];;
45;[7 0 4 7 10];[7 0 4 7 10];;
tonality;9;[0 2 4 5 7 9 11];-------;-------
grouping;48;-------;-------;-------
48;[2 0 3 7 10];[2 0 3 7 10];;
50;[2 0 3 7 10];;;
51;[7 0 4 7 10];[7 0 4 7 10];;
52;[7 0 4 7 10 17];;;
53;[7 0 4 7 10];;;
54;[0 0 4 7 11];[0 0 4 7 11];;
57;[0 0 4 7 11];[0 0 4 7 11];;
60;[0 0 4 7 11];[0 0 4 7 11];;
63;[0 0 4 7 11];[0 0 4 7 11];;
64;[0 0 4 7 11];;;
tonality;5;[0 2 4 5 7 9 11];-------;-------
grouping;66;-------;-------;-------
66;[2 0 3 7 10];[2 0 3 7 10];;
69;[7 0 4 7 10 14];[7 0 4 7 10 14];;
71;[7 0 4 7 10];;;
72;[4 0 3 7 10 17];[4 0 3 7 10 17];;
75;[9 0 4 7 10];[9 0 4 7 10];;
77;[9 0 4 7 10];;;
78;[2 0 3 7 10];[2 0 3 7 10];;
79;[2 0 3 7 10 17];;;
80;[2 0 3 7 10];;;
81;[4 0 4 7 10];[4 0 4 7 10];;
82;[4 0 4 7 11 22];;;
83;[4 0 4 7 10];;;
84;[9 0 3 7 10];[9 0 3 7 10];;
86;[9 0 3 7 10];;;
87;[9 0 3 7 10 13];[9 0 3 7 10 13];;
88;[0 0 4 7 10];;;
89;[0 0 4 7 10 17];;;
grouping;90;-------;-------;-------
90;[5 0 4 7 11];[5 0 4 7 11];;
93;[4 0 4 7 10];[4 0 4 7 10];;
94;[4 0 4 7 10];;;
95;[4 0 4 7 10];;;
96;[9 0 3 7 10];[9 0 3 7 10];;
97;[9 0 3 7 10];;;
98;[9 0 3 7 10];;;
99;[11 0 4 7 10];[11 0 4 7 10];;
100;[11 0 4 7 10 13];;;
101;[11 0 4 7 10];;;
102;[4 0 3 7 10];[4 0 3 7 10];;
105;[3 0 4 7 10];[3 0 4 7 10];;
108;[2 0 3 7 10 17];[2 0 3 7 10 17];;
111;[1 0 4 7 10 18];[1 0 4 7 10 18];;
tonality;10;[0 2 4 5 7 9 11];-------;-------
grouping;114;-------;-------;-------
114;[9 0 3 7 10];[9 0 3 7 10];;
115;[9 0 3 7 10 14];;;
116;[9 0 3 7 10];;;
117;[5 0 4 7 10 18];[5 0 4 7 10 18];;
118;[5 0 4 7 10];;;
119;[2 0 3 7 10 13];;;
tonality;9;[0 2 3 5 7 8 10];-------;-------
120;[0 0 3 7 10 17];[0 0 3 7 10 17];;
123;[5 0 4 7 10];[5 0 4 7 10];;
126;[2 0 3 7 10];[2 0 3 7 10 17];;
127;[2 0 3 7 10 17];;;
128;[2 0 3 7 10];;;
grouping;129;-------;-------;-------
129;[7 0 4 7 10];[7 0 4 7 10];;
130;[7 0 4 7 10];;;
131;[7 0 4 7 10];;;
132;[0 0 3 7 10];[0 0 3 7 10];;
135;[0 0 3 7 10];[0 0 3 7 10];;
tonality;5;[0 2 4 5 7 9 11];-------;-------
138;[5 0 4 7 11];[5 0 4 7 11 14];;
139;[5 0 4 7 11 14];;;
140;[5 0 4 7 11];;;
grouping;141;-------;-------;-------
141;[7 0 3 7 10 13];[7 0 3 7 10 13];;
142;[10 0 4 7 10];;;
143;[7 0 3 7 10 13];;;
144;[4 0 3 7 10];[4 0 3 7 10];;
147;[9 0 3 6 9];[2 0 4 7 10 13];;
148;[2 0 4 7 10 13];;;
149;[9 0 3 6 9];;;
150;[4 0 3 7 10];[4 0 3 7 10];;
151;[0 0 4 7 11 14];;;
152;[4 0 3 7 10];;;
153;[9 0 3 6 9];[9 0 3 6 9];;
154;[2 0 4 7 10 13];;;
155;[9 0 3 6 9];;;
156;[2 0 3 7 10];[2 0 3 7 10];;
159;[7 0 4 7 10];[7 0 4 7 10];;
162;[9 0 3 7 10];[9 0 3 7 10];;
165;[9 0 3 7 10];[9 0 3 7 10];;
168;[9 0 3 7 10];[9 0 3 7 10];;
171;[9 0 3 7 10];[9 0 3 7 10];;
