time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;4;[0 2 3 5 7 9 10 6];-------;-------
grouping;0;-------;-------;-------
0;[0 0 3 7];[0 0 3 7];;
1;[0 0 3 7 14];;;
1.5;[0 0 3 7];;;
2;[0 0 3 7];[0 0 3 7];;
3;[0 0 3 7];;;
4;[0 0 3 7];[0 0 3 7];;
4.5;[0 0 3 7 17];;;
5;[0 0 3 7];;;
5.5;[0 0 3 7 14];;;
6;[0 0 3 7 14];;;
6.5;[0 0 3 7];;;
7;[0 0 3 7 13];;;
7.5;[0 0 3 7];;;
8;[0 0 3 7];[0 0 3 7];;
8.5;[0 0 3 7 13];;;
9;[0 0 3 7];;;
9.5;[0 0 3 7 10];;;
10;[0 0 3 7 9];;;
10.5;[0 0 3 7 10];;;
11;[0 0 3 7];;;
11.5;[0 0 3 7 13];;;
12;[0 0 3 7];[0 0 3 7];;
12.5;[0 0 3 7 10];;;
13;[0 0 3 7 9];;;
13.5;[0 0 3 7 10];;;
14;[0 0 3 7];;;
14.5;[0 0 3 7 14];;;
15;[0 0 3 7];;;
15.5;[0 0 3 7 17];;;
grouping;16;-------;-------;-------
16;[0 0 3 7];[0 0 3 7];;
16.5;[0 0 3 7 17];;;
17;[0 0 3 7];;;
17.5;[0 0 3 7 14];;;
18;[0 0 3 7 14];;;
18.5;[0 0 3 7];;;
19;[0 0 3 7 13];;;
19.5;[0 0 3 7];;;
20;[0 0 3 7];[0 0 3 7];;
20.5;[0 0 3 7 13];;;
21;[0 0 3 7];;;
21.5;[0 0 3 7 10];;;
22;[0 0 3 7 9];;;
22.5;[0 0 3 7 10];;;
23;[0 0 3 7];;;
23.5;[0 0 3 7 13];;;
24;[0 0 3 7];[0 0 3 7];;
25;[0 0 3 7 17];;;
25.5;[0 0 3 7];;;
26;[0 0 3 7 9];;;
26.5;[0 0 3 7 10];;;
27;[0 0 3 7];;;
27.5;[0 0 3 7 10];;;
grouping;28;-------;-------;-------
28;[0 0 3 7];[0 0 3 7];;
29;[0 0 3 7];;;
29.5;[0 0 3 7 17];;;
30;[0 0 3 7 17];[0 0 3 7 17];;
31;[0 0 3 7 17];;;
32;[0 0 3 7];[0 0 3 7];;
32.5;[0 0 3 7 17];;;
33;[0 0 3 7];;;
33.5;[0 0 3 7 14];;;
34;[0 0 3 7];;;
35;[0 0 3 7];;;
36;[10 0 4 7];[10 0 4 7];;
36.5;[10 0 4 7 14];;;
37;[10 0 4 7];;;
37.5;[10 0 4 7 17];;;
38;[10 0 4 7];;;
38.5;[10 0 4 7];;;
39;[10 0 4 7 17];;;
39.5;[10 0 4 7 14];;;
40;[10 0 4 7];[10 0 4 7];;
41;[10 0 4 7 17];;;
41.5;[10 0 4 7];;;
42;[5 0 3 7];[5 0 3 7];;
42.5;[5 0 3 7 10];;;
43;[5 0 3 7];;;
grouping;44;-------;-------;-------
44;[5 0 3 7];[5 0 3 7];;
45;[5 0 3 7 14];;;
45.5;[5 0 3 7];;;
46;[5 0 3 7 14];;;
47;[5 0 3 7];;;
48;[0 0 3 7];[0 0 3 7];;
48.5;[0 0 3 7 17];;;
49;[0 0 3 7];;;
49.5;[0 0 3 7 14];;;
50;[0 0 3 7];;;
51;[0 0 3 7];;;
52;[10 0 4 7];[10 0 4 7];;
52.5;[10 0 4 7 14];;;
53;[10 0 4 7];;;
53.5;[10 0 4 7];;;
54;[10 0 4 7 17];;;
54.5;[10 0 4 7];;;
55;[10 0 4 7 15];;;
55.5;[10 0 4 7 14];;;
56;[0 0 3 7];[0 0 3 7];;
57;[0 0 3 7 17];;;
57.5;[0 0 3 7];;;
58;[0 0 3 7 9];;;
