time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;7;[0 2 3 6 7 8 11];-------;-------
grouping;3;-------;-------;-------
3;[0 0 3 7 11];[0 0 3 7];;
2;[0 0 3 7];;;
2.5;[0 0 3 7 14];;;
3;[0 0 3 7];;;
4.5;[0 0 3 7 14];;;
5;[0 0 3 7 17];;;
5.1667;[0 0 3 7];;;
5.3333;[0 0 3 7 14];;;
5.5;[0 0 3 7];;;
5.6667;[0 0 3 7 11];;;
5.8333;[0 0 3 7 14];;;
6;[0 0 3 7];[0 0 3 7];;
7.5;[0 0 3 7];[0 0 3 7];;
8;[8 0 4 7 11];;;
8.5;[0 0 3 7 9];;;
9;[0 0 4 7 10];[0 0 4 7 10];;
9.5;[9 0 3 7 10];;;
10;[8 0 4 8 11];;;
10.5;[0 0 4 7];[0 0 4 7];;
11;[0 0 4 7 10];;;
11.1667;[8 0 4 8 11];;;
11.3333;[0 0 4 7];;;
11.5;[0 0 4 7 17];;;
11.6667;[0 0 4 7];;;
11.8333;[0 0 4 7];;;
12;[5 0 3 7];[5 0 3 7];;
13.5;[5 0 3 7];;;
13.6667;[5 0 3 7 10];;;
13.8333;[5 0 3 7 9];;;
14;[5 0 3 7];;;
14.25;[5 0 3 7 10];;;
14.5;[5 0 3 7 9];;;
14.75;[5 0 3 7];;;
grouping;15;-------;-------;-------
15;[7 0 4 7];[7 0 4 7];;
16.5;[7 0 4 7 8];;;
17;[7 0 4 7 11];;;
17.3333;[7 0 4 7];;;
17.6667;[7 0 4 7];;;
18;[8 0 4 7 10 13];[8 0 4 7 10 13];;
19.5;[8 0 4 7 10 13];;;
20;[7 0 4 7];[7 0 4 7 13];;
20.5;[7 0 4 7 11];;;
21;[7 0 4 7];[7 0 4 7];;
22.5;[7 0 4 7 11];;;
23;[7 0 4 7 8];;;
23.25;[7 0 4 7];;;
23.5;[7 0 4 7 17];;;
23.75;[7 0 4 7];;;
24;[0 0 3 7];[0 0 3 7];;
25.5;[0 0 3 7];;;
26;[0 0 3 7];;;
26.5;[0 0 3 7 14];;;
grouping;27;-------;-------;-------
27;[0 0 3 7];[0 0 3 7];;
28.5;[0 0 3 7];[0 0 3 7];;
29;[0 0 3 7];;;
29.5;[0 0 3 7 14];;;
30;[5 0 3 7 10];[5 0 3 7 10];;
