time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;7;[0 2 3 6 7 9 10];-------;-------
grouping;0;-------;-------;-------
0;[0 0 3 7];[0 0 3 7];;
0.5;[0 0 3 7];;;
0.75;[0 0 3 7 18];;;
1;[0 0 3 7];[0 0 3 7];;
1.5;[0 0 3 7 14];;;
2;[0 0 3 7];[0 0 3 7];;
2.5;[0 0 3 7 11];;;
2.75;[0 0 3 7];;;
3;[0 0 3 7 9];[0 0 3 7];;
3.25;[0 0 3 7 11];;;
3.5;[0 0 3 7];;;
4;[7 0 4 7];[7 0 4 7];;
4.5;[7 0 4 7];;;
4.75;[7 0 4 7 14];;;
5;[7 0 4 7];[7 0 4 7];;
5.5;[7 0 4 7 17];;;
6;[7 0 4 7];[7 0 4 7];;
6.25;[7 0 4 7 11];;;
6.5;[7 0 4 7 8];;;
6.75;[7 0 4 7];;;
7;[7 0 4 7];;;
7.25;[7 0 4 7 17];;;
7.5;[7 0 4 7 17];;;
7.75;[7 0 4 7];;;
8;[0 0 3 7];[0 0 3 7];;
9;[2 0 4 7];[2 0 4 7];;
9.5;[2 0 4 7 13];;;
10;[2 0 4 7];[2 0 4 7];;
10.5;[2 0 4 7 17];;;
11;[0 0 3 7 18];[0 0 3 7];;
11.5;[0 0 3 7];;;
11.75;[0 0 3 7 18];;;
12;[0 0 3 7];[0 0 3 7];;
12.25;[0 0 3 7 14];;;
12.5;[0 0 3 7];;;
12.75;[0 0 3 7];;;
13;[2 0 4 7];[2 0 4 7];;
13.5;[2 0 4 7];;;
14;;[2 0 4 7 17];;
14.25;[2 0 4 7 17];;;
14.5;[2 0 4 7];;;
14.75;[2 0 4 7 17];;;
15;[2 0 4 7];[2 0 4 7];;
15.25;[6 0 4 8 15];;;
15.5;[2 0 4 7 17];;;
15.75;[2 0 4 7];;;
16;[2 0 4 7];[2 0 4 7];;
16.25;[2 0 4 7 17];;;
16.5;[2 0 4 7 13];;;
16.75;[2 0 4 7];;;
17;[2 0 4 7];[2 0 4 7];;
17.75;[2 0 4 7];;;
18;[0 0 3 7];[0 0 3 7];;
18.5;[0 0 3 7];;;
18.75;[0 0 3 7 18];;;
19;[0 0 3 7];[0 0 3 7];;
19.5;[0 0 3 7 14];;;
20;[0 0 3 7];[0 0 3 7];;
20.5;[0 0 3 7 11];;;
20.75;[0 0 3 7];;;
21;[0 0 3 7 9];[0 0 3 7];;
21.25;[0 0 3 7 11];;;
21.5;[0 0 3 7];;;
22;[7 0 4 7];[7 0 4 7];;
22.5;[7 0 4 7];;;
22.75;[7 0 4 7 14];;;
23;[7 0 4 7];[7 0 4 7];;
23.5;[7 0 4 7 17];;;
24;[7 0 4 7];[7 0 4 7];;
24.25;[7 0 4 7 11];;;
24.5;[7 0 4 7 8];;;
24.75;[7 0 4 7];;;
25;[7 0 4 7];[7 0 4 7];;
25.25;[7 0 4 7 17];;;
25.5;[7 0 4 7 17];;;
25.75;[7 0 4 7];;;
26;[0 0 3 7];[0 0 3 7];;
27;[0 0 3 7 18];[0 0 3 7];;
27.5;[0 0 3 7];;;
27.75;[0 0 3 7 18];;;
28;[0 0 3 7];[0 0 3 7];;
28.25;[0 0 3 7 14];;;
28.5;[0 0 3 7];;;
29;[7 0 3 7 17];[7 0 3 7];;
29.5;[7 0 3 7 16];;;
30;[7 0 3 7];;;
30.5;[7 0 3 7 14];;;
30.75;[7 0 3 7];;;
31;[9 0 3 7];[9 0 3 7];;
31.5;[9 0 3 7];;;
32.5;[9 0 3 7];;;
33;[9 0 3 7];;;
33.75;[9 0 3 7];;;
34;[9 0 3 7];;;
34.5;[9 0 3 7];;;
grouping;35;-------;-------;-------
35;[9 0 3 7];[9 0 3 7];;
36;[9 0 3 7];[9 0 3 7];;
36.5;[9 0 3 7];;;
36.75;[9 0 3 7 10];;;
37;[9 0 3 7];;;
37.5;[9 0 3 7 14];;;
38;[9 0 3 7];[9 0 3 7 14];;
38.5;[9 0 3 7 17];;;
39;[9 0 3 7 14];;;
39.5;[9 0 3 7 17];;;
40;[0 0 3 7];[0 0 3 7 11];;
40.25;[0 0 3 7 11];;;
40.5;[0 0 3 7];;;
41;[0 0 3 7];[0 0 3 7];;
42;[0 0 3 7 14];;;
43;[0 0 3 7];;;
44;[0 0 3 7 11];[0 0 3 7 10];;
44.5;[0 0 3 7 10];;;
45;[9 0 3 7];[9 0 3 7];;
45.5;[9 0 3 7];;;
45.75;[9 0 3 7 10];;;
46;[9 0 3 7];;;
46.5;[9 0 3 7 14];;;
47;[9 0 3 7];[9 0 3 7 14];;
47.5;[9 0 3 7 17];;;
48;[9 0 3 7 14];;;
48.5;[9 0 3 7 17];;;
49;[0 0 3 7];[0 0 3 7 11];;
49.25;[0 0 3 7 11];;;
49.5;[0 0 3 7];;;
50;[0 0 3 7];[0 0 3 7];;
50.5;[0 0 3 7];;;
51;[0 0 3 7];;;
51.75;[0 0 3 7];;;
grouping;52;-------;-------;-------
52;[0 0 3 7];;;
52.5;[0 0 3 7];;;
53;[0 0 3 7];[0 0 3 7];;
54;[9 0 3 7];[9 0 3 7];;
54.5;[9 0 3 7 14];;;
55;[9 0 3 7 17];;;
55.5;[9 0 3 7];;;
56;[7 0 3 7 17];[7 0 3 7 16];;
56.5;[7 0 3 7 16];;;
57;[7 0 3 7];;;
57.5;[7 0 3 7 14];;;
57.75;[7 0 3 7];;;
58;[9 0 3 7];[9 0 3 7];;
60;[0 0 3 7];[0 0 3 7];;
60.5;[0 0 3 7 14];;;
61;[0 0 3 7 18];;;
61.5;[0 0 3 7];;;
61.75;[0 0 3 7 14];;;
62;[0 0 3 7];;;
62.25;[0 0 3 7 11];;;
62.5;[0 0 3 7];;;
63;[0 0 3 7];[0 0 3 7];;
63.5;[0 0 3 7 18];;;
64;[0 0 3 7];;;
64.5;[0 0 3 7 14];;;
65;[7 0 3 7 17];[7 0 3 7];;
65.5;[7 0 3 7 16];;;
66;[7 0 3 7];[7 0 3 7];;
66.5;[7 0 3 7 14];;;
66.75;[7 0 3 7];;;
67;[9 0 3 7];[9 0 3 7];;
67.75;[9 0 3 7 10];;;
68;[9 0 3 7];;;
68.5;[9 0 3 7 14];;;
69;[9 0 3 7];[9 0 3 7];;
69.5;[9 0 3 7 17];;;
grouping;70;-------;-------;-------
70;[9 0 3 7 18];;;
70.25;[9 0 3 7 17];;;
70.5;[9 0 3 7];;;
70.75;[9 0 3 7 14];;;
71;[0 0 3 7];[0 0 3 7];;
72;[0 0 3 7 18];[0 0 3 7];;
72.5;[0 0 3 7];;;
73;[0 0 3 7 14];;;
73.5;[0 0 3 7];;;
74;[7 0 3 7 17];[7 0 3 7];;
74.5;[7 0 3 7 16];;;
75;[7 0 3 7];[7 0 3 7];;
75.5;[7 0 3 7 14];;;
75.75;[7 0 3 7];;;
76;[9 0 3 7];[9 0 3 7];;
76.5;[9 0 3 7];;;
77.5;[9 0 3 7];;;
78;[9 0 3 7];;;
78.75;[9 0 3 7];;;
79;[9 0 3 7];;;
79.5;[9 0 3 7];;;
80;[9 0 3 7];[9 0 3 7];;
80.75;[9 0 3 7 9];;;
