time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;4;[0 1 4 5 7 8 10];-------;-------
grouping;0;-------;-------;-------
0;[10 0 3 7];[10 0 3 7];;
0.75;[10 0 3 7];;;
1;[10 0 3 7];;;
1.5;[10 0 3 7];;;
2;[10 0 3 7];[10 0 3 7];;
3;[10 0 3 7];;;
3.5;[10 0 3 7];;;
4;[0 0 4 7];[0 0 4 7];;
4.5;[0 0 4 7];;;
4.75;[0 0 4 7 13];;;
5;[0 0 4 7];;;
5.5;[0 0 4 7 10];;;
6;[0 0 4 7];;;
6.5;[0 0 4 7 13];;;
7;[0 0 4 7];[0 0 4 7];;
7.5;[0 0 4 7 17];;;
7.75;[0 0 4 7];;;
8;[0 0 4 7];[0 0 4 7];;
8.5;[0 0 4 7 13];;;
8.75;[0 0 4 7];;;
9;[10 0 3 7];[10 0 3 7];;
9.75;[10 0 3 7];;;
10;[10 0 3 7];;;
10.5;[10 0 3 7];;;
11;[10 0 3 7];[10 0 3 7];;
12;[10 0 3 7];;;
12.5;[10 0 3 7];;;
13;[0 0 4 7];[0 0 4 7];;
13.5;[0 0 4 7];;;
13.75;[0 0 4 7 13];;;
14;[0 0 4 7];;;
14.5;[0 0 4 7];;;
15;[0 0 4 7 10];;;
15.25;[0 0 4 7];;;
15.5;[8 0 4 8 11];;;
15.75;[0 0 4 7 10];;;
16;[0 0 4 7];[0 0 4 7];;
16.25;[8 0 4 8 11];;;
16.5;[0 0 4 7 17];;;
16.75;[0 0 4 7];;;
17;[0 0 4 7];[0 0 4 7];;
17.25;[0 0 4 7];;;
17.5;[0 0 4 7 13];;;
17.75;[0 0 4 7];;;
grouping;18;-------;-------;-------
18;[10 0 3 7];[10 0 3 7];;
18.75;[10 0 3 7];;;
19;[10 0 3 7];;;
19.5;[10 0 3 7];;;
20;[10 0 3 7];[10 0 3 7];;
21;[10 0 3 7];;;
21.5;[10 0 3 7];;;
22;[0 0 4 7];[0 0 4 7];;
22.5;[0 0 4 7];;;
22.75;[0 0 4 7 13];;;
23;[0 0 4 7];;;
23.5;[0 0 4 7 10];;;
24;[0 0 4 7];;;
24.5;[0 0 4 7 13];;;
25;[0 0 4 7];[0 0 4 7];;
25.5;[0 0 4 7 17];;;
25.75;[0 0 4 7];;;
26;[0 0 4 7];[0 0 4 7];;
26.5;[0 0 4 7 13];;;
26.75;[0 0 4 7];;;
27;[10 0 3 7];[10 0 3 7];;
27.75;[10 0 3 7];;;
28;[10 0 3 7];;;
28.5;[10 0 3 7];;;
29;[10 0 3 7];[10 0 3 7];;
30;[10 0 3 7];;;
30.5;[10 0 3 7];;;
31;[0 0 4 7];[0 0 4 7];;
31.5;[0 0 4 7];;;
31.75;[0 0 4 7 13];;;
32;[0 0 4 7];;;
32.5;[0 0 4 7];;;
33;[0 0 4 7];;;
33.75;[0 0 4 7];;;
34;[0 0 4 7];[0 0 4 7];;
34.5;[0 0 4 7];;;
35;[0 0 4 7];[0 0 4 7];;
grouping;36;-------;-------;-------
36;[0 0 4 7];[0 0 4 7];;
36.5;[0 0 4 7];;;
37;[0 0 4 7 13];;;
37.5;[0 0 4 7];;;
38;[10 0 3 7];[10 0 3 7];;
38.5;[10 0 3 7 14];;;
39;[10 0 3 7];;;
39.5;[10 0 3 7];;;
40;[10 0 3 7 18];[10 0 3 7 18];;
40.5;[10 0 3 7];;;
40.75;[10 0 3 7];;;
41;[10 0 3 7 18];;;
41.25;[10 0 3 7];;;
