time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;2;[0 2 3 5 7 8 10 6];-------;-------
grouping;0;-------;-------;-------
0;[0 0 3 7];[0 0 3 7];;
0.5;[0 0 3 7];;;
1;[7 0 4 7];[7 0 4 7];;
1.5;[7 0 4 7];;;
2;[0 0 3 7];[0 0 3 7];;
2.5;[0 0 3 7];;;
3;[5 0 3 7];[5 0 4 7];;
4;[3 0 3 7];[3 0 3 7];;
4.25;[3 0 3 7 14];;;
4.5;[3 0 3 7];;;
5;[3 0 3 7];;;
5.25;[3 0 3 7 14];;;
5.5;[3 0 3 7];;;
6;[7 0 4 7 11];[7 0 4 7 11];;
6.25;[7 0 4 7 10];;;
6.5;[11 0 4 8 15];;;
6.75;[7 0 4 7];;;
7;[0 0 3 7];[0 0 3 7];;
7.5;[0 0 3 7];;;
grouping;8;-------;-------;-------
8;[0 0 3 7];[0 0 3 7];;
8.5;[0 0 3 7];;;
9;[7 0 4 7];[7 0 4 7];;
9.5;[7 0 4 7];;;
10;[0 0 3 7];[0 0 3 7];;
10.5;[0 0 3 7];;;
11;[5 0 3 7];[5 0 4 7];;
12;[3 0 3 7];[3 0 3 7];;
12.25;[3 0 3 7 14];;;
12.5;[3 0 3 7 14];;;
12.75;[3 0 3 7];;;
13;[3 0 3 7];;;
13.25;[3 0 3 7 11];;;
13.5;[3 0 3 7 11];;;
13.75;[3 0 3 7 9];;;
14;[0 0];[0 0];;
14.5;[7 0];[0 0 7];;
15;[0 0];[0 0];;
grouping;16;-------;-------;-------
16;[0 0 3 7];[0 0 3 7];;
18;[0 0 3 7];[0 0 3 7];;
20;[0 0 3 7];[0 0 3 7];;
20.5;[0 0 3 7];;;
21;[0 0 3 7];[0 0 3 7];;
22;[0 0 3 7];[0 0 3 7];;
22.5;[0 0 3 7];;;
23;[0 0 3 7];[0 0 3 7];;
24;[0 0 3 7 10];[0 0 3 7 10];;
24.1667;[8 0 4 7 11];;;
24.3333;[0 0 3 7];;;
24.5;[8 0 4 7 11];;;
24.75;[0 0 3 7 10];;;
25;[0 0 3 7];[0 0 3 7];;
26;[0 0 3 7 10];[0 0 3 7 10];;
26.1667;[8 0 4 7 11];;;
26.3333;[0 0 3 7];;;
26.5;[8 0 4 7 11];;;
26.75;[0 0 3 7 10];;;
27;[0 0 3 7];[0 0 3 7];;
grouping;28;-------;-------;-------
28;[0 0 3 7];[0 0 3 7];;
28.5;[0 0 3 7];;;
29;[5 0 3 7 14];[5 0 3 7];;
29.25;[5 0 3 7];;;
29.5;[5 0 3 7];;;
30;[5 0 3 7];[5 0 3 7];;
30.5;[5 0 3 7];;;
31;[0 0 3 7 17];[0 0 3 7];;
31.25;[0 0 3 7];;;
31.5;[0 0 3 7];;;
32;[0 0 3 7];[0 0 3 7];;
32.5;[0 0 3 7];;;
33;[11 0 4 8 15];[7 0 4 7];;
33.25;[7 0 4 7 10];;;
33.5;[7 0 4 7];;;
34;[7 0 4 7];[7 0 4 7];;
34.25;[7 0 4 7 10];;;
34.5;[11 0 4 8 15];;;
34.75;[7 0 4 7];;;
35;[0 0 3 7];[0 0 3 7];;
35.25;[0 0 3 7 18];;;
35.5;[0 0 3 7];;;
36;[7 0 4 7];[7 0 4 7];;
36.25;[7 0 4 7 10];;;
36.5;[11 0 4 8 15];;;
36.75;[7 0 4 7];;;
37;[0 0 3 7];[0 0 3 7];;
37.5;[0 0 3 7];;;
tonality;2;[0 2 3 5 6 9 10];-------;-------
grouping;38;-------;-------;-------
38;[0 0 3 7 14];[0 0 3 7 14];;
38.25;[0 0 3 7];;;
38.5;[0 0 3 7 17];;;
38.75;[0 0 3 7 18];;;
39;[0 0 3 7 17];[0 0 3 7 17];;
39.5;[0 0 3 7 18];;;
40;[5 0 4 7];[5 0 4 7];;
41.5;[5 0 4 7 13];;;
42;[5 0 4 7];[5 0 4 7];;
42.25;[5 0 4 7 17];;;
42.5;[5 0 4 7];;;
42.75;[5 0 4 7 13];;;
43;[5 0 4 7];;;
43.25;[5 0 4 7 13];;;
43.5;[5 0 4 7];;;
43.75;[5 0 4 7 10];;;
44;[5 0 4 7];[5 0 4 7];;
44.5;[5 0 4 7];;;
44.75;[5 0 4 7];;;
45;[5 0 4 7];;;
45.5;[5 0 4 7];;;
grouping;46;-------;-------;-------
46;[5 0 4 7];[5 0 4 7];;
46.25;[5 0 4 7 17];;;
46.5;[5 0 4 7];;;
46.75;[1 0 4 8 11];;;
47;[0 0 3 6];[0 0 3 6];;
47.25;[3 0 3 7 9];;;
47.5;[9 0 3 6 9];;;
47.75;[0 0 3 6];;;
48;[9 0 3 6];[9 0 3 6];;
48.25;[9 0 3 6 9];;;
48.5;[5 0 4 7 10];;;
48.75;[9 0 3 6];;;
49;[3 0 3 6 14];[3 0 3 6 14];;
49.25;[3 0 3 6];;;
49.5;[2 0 4 7 13];;;
49.75;[9 0 3 6 9];;;
50;[2 0 3 6];[2 0 3 6];;
50.25;[2 0 3 6 13];;;
50.5;[2 0 3 6];;;
50.75;[2 0 3 6 16];;;
51;[7 0 4 7 10];[7 0 4 7 10];;
51.25;[11 0 4 8 15];;;
51.5;[7 0 4 7];;;
51.75;[11 0 4 8 15];;;
52;[0 0];[0 0];;
52.5;[7 0];[0 0 7];;
53;[0 0];[0 0];;
