time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;7;[0 2 3 6 7 8 10];-------;-------
grouping;2;-------;-------;-------
2;[0 0 3 7];[0 0 3 7];;
2.5;[0 0 3 7 10];;;
3;[0 0 3 7 9];;;
3.5;[0 0 3 7];;;
4;[0 0 3 7 10];[0 0 3 7];;
4.25;[0 0 3 7 9];;;
4.5;[0 0 3 7];;;
5;[0 0 3 7];;;
5.25;[0 0 3 7 18];;;
5.5;[0 0 3 7];;;
6;[0 0 3 7 9 18];[0 0 3 6 9];;
6.25;[0 0 3 6 9];;;
6.5;[0 0 3 6 9];;;
7;[7 0 4 7 8];[7 0 4 7 8];;
7.25;[7 0 4 7];;;
7.5;[7 0 4 7 17];;;
8;[0 0 3 7 18];[0 0 3 7];;
8.25;[0 0 3 7 9];;;
8.5;[0 0 3 7];;;
9.5;[0 0 3 7];[0 0 3 7];;
grouping;10;-------;-------;-------
10;[0 0 3 7];[0 0 3 7];;
10.5;[0 0 3 7 10];;;
11;[0 0 3 7 9];;;
11.5;[0 0 3 7];;;
12;[0 0 3 7 10];[0 0 3 7];;
12.25;[0 0 3 7 9];;;
12.5;[0 0 3 7];;;
13;[0 0 3 7];;;
13.25;[0 0 3 7 18];;;
13.5;[0 0 3 7];;;
14;[0 0 3 7 9 18];[0 0 3 6 9];;
14.25;[0 0 3 6 9];;;
14.5;[0 0 3 6 9];;;
15;[7 0 4 7 8];[7 0 4 7 8];;
15.25;[7 0 4 7];;;
15.5;[7 0 4 7 17];;;
15.75;[7 0 4 7];;;
16;[0 0 3 7];[0 0 3 7];;
16.5;[0 0 3 7];;;
17.5;[0 0 3 7];[0 0 3 7];;
18;[0 0 3 7];[0 0 3 7];;
18.5;[0 0 3 7];;;
19;[0 0 3 7];;;
grouping;20;-------;-------;-------
20;[0 0 3 7];[0 0 3 7];;
20.5;[0 0 3 7];;;
21.5;[0 0 3 7];;;
22;[0 0 3 7 18];[0 0 3 7];;
22.5;[0 0 3 7];;;
23;[0 0 3 7];[0 0 3 7];;
23.25;[0 0 3 7 14];;;
23.5;[0 0 3 7];;;
24;[0 0 3 7 18];[0 0 3 7];;
24.5;[0 0 3 7];;;
25;[0 0 3 7 10];;;
25.25;[0 0 3 7 9];;;
25.5;[0 0 3 7];;;
25.75;[0 0 3 7 18];;;
26;[0 0 3 7];[0 0 3 7];;
26.25;[0 0 3 7];;;
26.5;[0 0 3 7 10];;;
26.75;[0 0 3 7 9];;;
27;[0 0 3 7];;;
27.25;[0 0 3 7 18];;;
27.5;[0 0 3 7];[0 0 3 7];;
27.75;[0 0 3 7];;;
grouping;28;-------;-------;-------
28;[0 0 3 7];[0 0 3 7];;
28.5;[0 0 3 7 10];;;
29;[0 0 3 7 9];;;
29.5;[0 0 3 7];;;
30;[0 0 3 7 18];[0 0 3 7];;
30.5;[0 0 3 7];;;
31;[0 0 4 7 14];[0 0 4 7];;
31.5;[0 0 4 7];;;
32;[5 0 3 7];[5 0 3 7];;
32.5;[5 0 3 7];;;
33;[0 0 4 7];[0 0 4 7 17];;
33.5;[0 0 4 7];;;
34;[5 0 3 7];[5 0 3 7];;
34.25;[5 0 3 7];;;
34.5;[5 0 3 7 18];;;
34.75;[5 0 3 7];;;
35;[5 0 3 7 9];;;
35.25;[5 0 3 7 10];;;
35.5;[5 0 3 7 11];;;
35.75;[5 0 3 7];;;
grouping;36;-------;-------;-------
36;[0 0 3 7 18];[0 0 3 7];;
36.5;[0 0 3 7];;;
37.5;[0 0 3 7];;;
38;[0 0 3 7];[0 0 3 7];;
38.25;[0 0 3 7 18];;;
38.5;[0 0 3 7];;;
39;[0 0 3 7];;;
39.25;[0 0 3 7 14];;;
39.5;[0 0 3 7];;;
40;[5 0 3 7];[5 0 3 7];;
40.5;[5 0 3 7 9];;;
41;[0 0 3 7 16];[0 0 4 7];;
41.5;[0 0 4 7];;;
42;[5 0 3 7];[5 0 3 7];;
42.25;[5 0 3 7 18];;;
42.5;[5 0 3 7];;;
42.75;[5 0 3 7 14];;;
43;[5 0 3 7];;;
43.25;[5 0 3 7 11];;;
43.5;[5 0 3 7];;;
grouping;44;-------;-------;-------
44;[0 0 3 7 18];[0 0 3 7];;
44.5;[0 0 3 7];;;
45.5;[0 0 3 7];;;
46;[0 0 3 7];[0 0 3 7];;
46.25;[0 0 3 7 18];;;
46.5;[0 0 3 7];;;
47;[0 0 3 7 18];;;
47.5;[0 0 3 7];;;
48;[3 0 3 7 9 18];[0 0 3 7 9 18];;
