time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;4;[0 2 3 4 7 8 10];-------;-------
grouping;0;-------;-------;-------
0;[0 0 3 7 16];[0 0 3 7 16];;
0.5;[0 0 3 7];;;
1;[0 0 3 7 14];;;
1.5;[0 0 3 7 16];;;
2;[0 0 3 7];[0 0 3 7];;
3;[0 0 3 7];;;
3.5;[0 0 3 7];;;
4;[0 0 3 7 13];[0 0 3 7 13];;
4.5;[0 0 3 7];;;
5;[0 0 3 7 11];;;
5.5;[0 0 3 7 13];;;
6;[0 0 3 7];[0 0 3 7];;
6.5;[0 0 3 7];;;
7;[0 0 3 7];;;
7.5;[0 0 3 7];;;
8;[0 0 3 7];[0 0 3 7];;
9;[0 0 3 7 16];[0 0 3 7 16];;
9.5;[0 0 3 7];;;
10;[0 0 3 7 14];;;
10.5;[0 0 3 7 16];;;
11;[0 0 3 7];;;
11.5;[0 0 3 7 11];;;
12;[0 0 3 7 10];[0 0 3 7];;
12.5;[8 0 4 7 11];;;
13;[0 0 3 7];;;
13.25;[8 0 4 7 11];;;
13.5;[0 0 3 7];;;
13.75;[0 0 3 7 16];;;
14;[0 0 3 7];;;
14.5;[0 0 3 7 14];;;
15;[0 0 3 7];;;
15.5;[0 0 3 7 10];;;
16;[0 0 3 7];[0 0 3 7];;
16.5;[0 0 3 7 14];;;
17;[0 0 3 7];[0 0 3 7];;
grouping;18;-------;-------;-------
18;[0 0 3 7 16];[0 0 3 7 16];;
18.5;[0 0 3 7];;;
19;[0 0 3 7 14];;;
19.5;[0 0 3 7 16];;;
20;[0 0 3 7];[0 0 3 7];;
21;[0 0 3 7];;;
21.5;[0 0 3 7];;;
22;[0 0 3 7 13];[0 0 3 7 13];;
22.5;[0 0 3 7];;;
23;[0 0 3 7 11];;;
23.5;[0 0 3 7 13];;;
24;[0 0 3 7];[0 0 3 7];;
24.5;[0 0 3 7];;;
25;[0 0 3 7];;;
25.5;[0 0 3 7];;;
26;[0 0 3 7];[0 0 3 7];;
27;[0 0 3 7 16];[0 0 3 7 16];;
27.5;[0 0 3 7];;;
28;[0 0 3 7 14];;;
28.5;[0 0 3 7 16];;;
29;[0 0 3 7];[0 0 3 7];;
30;[0 0 3 7];;;
30.5;[0 0 3 7];;;
31;[0 0 3 7 13];[0 0 3 7 13];;
31.5;[0 0 3 7];;;
32;[0 0 3 7 11];;;
32.5;[0 0 3 7 13];;;
33;[0 0 3 7];[0 0 3 7];;
33.5;[0 0 3 7];;;
34;[0 0 3 7];;;
34.5;[0 0 3 7];;;
35;[0 0 3 7];[0 0 3 7];;
grouping;36;-------;-------;-------
36;[0 0 3 7];[0 0 3 7];;
36.25;[0 0 3 7 14];;;
36.5;[0 0 3 7];;;
36.75;[0 0 3 7 10];;;
37;[0 0 3 7];;;
37.5;[0 0 3 7 14];;;
38;[0 0 3 7];[0 0 3 7];;
38.5;[0 0 3 7 16];;;
38.75;[0 0 3 7];;;
39;[0 0 3 7 16];;;
39.5;[0 0 3 7];;;
39.75;[0 0 3 7 16];;;
40;[0 0 3 7];;;
40.5;[0 0 3 7 14];;;
41;[0 0 3 7 13];[0 0 3 7];;
41.5;[0 0 3 7];;;
42;[0 0 3 7];;;
42.5;[0 0 3 7];;;
43;[0 0 3 7];;;
43.5;[0 0 3 7];;;
44;[0 0 3 7];[0 0 3 7];;
grouping;45;-------;-------;-------
45;[0 0 3 7];[0 0 3 7];;
45.25;[0 0 3 7 14];;;
45.5;[0 0 3 7];;;
45.75;[0 0 3 7 10];;;
46;[0 0 3 7];;;
46.5;[0 0 3 7 14];;;
47;[0 0 3 7];[0 0 3 7];;
47.5;[0 0 3 7];;;
48;[0 0 3 7 16];;;
48.5;[0 0 3 7];;;
49;[0 0 3 7];;;
49.5;[0 0 3 7 14];;;
50;[0 0 3 7 13];[0 0 3 7];;
50.5;[0 0 3 7];;;
51;[0 0 3 7];;;
51.75;[0 0 3 7];;;
52;[0 0 3 7];;;
52.5;[0 0 3 7];;;
53;[0 0 3 7];[0 0 3 7];;
54;[0 0 3 7];[0 0 3 7];;
54.25;[0 0 3 7 14];;;
54.5;[0 0 3 7];;;
54.75;[0 0 3 7 10];;;
55;[0 0 3 7];;;
55.5;[0 0 3 7 14];;;
56;[0 0 3 7];[0 0 3 7];;
56.5;[0 0 3 7];;;
57;[0 0 3 7 16];;;
57.5;[0 0 3 7];;;
58;[0 0 3 7];;;
58.25;[0 0 3 7 16];;;
58.5;[0 0 3 7];;;
58.75;[0 0 3 7 14];;;
59;[0 0 3 7];[0 0 3 7];;
59.5;[0 0 3 7 14];;;
60;[3 0 4 7];[3 0 4 7];;
60.25;[3 0 4 7 17];;;
60.5;[3 0 4 7];;;
60.75;[3 0 4 7 13];;;
61;[3 0 4 7];;;
61.25;[3 0 4 7];;;
61.5;[3 0 4 7 13];;;
61.75;[3 0 4 7 11];;;
62;[3 0 4 7];;;
grouping;63;-------;-------;-------
63;[8 0 3 7];[8 0 3 7];;
64;[8 0 3 7 11];;;
64.5;[8 0 3 7];;;
65;[8 0 3 7];;;
65.5;[8 0 3 7 14];;;
65.75;[8 0 3 7];;;
66;[8 0 3 7 11];;;
66.5;[4 0 4 7 11];;;
67;[8 0 3 7 11];[8 0 3 7];;
67.5;[4 0 4 7 11];;;
68;[8 0 3 7];;;
68.5;[8 0 3 7 18];;;
69;[8 0 3 7];;;
69.5;[4 0 4 7 11];;;
70;[8 0 3 7];;;
70.5;[8 0 3 7 18];;;
71;[8 0 4 7 15];[8 0 4 7 15];;
72;[0 0 3 7];[0 0 3 7];;
73;[0 0 3 7];;;
73.5;[0 0 3 7 14];;;
74;[0 0 3 7];[0 0 3 7];;
74.5;[0 0 3 7];;;
75;[0 0 3 7 16];;;
75.5;[0 0 3 7];;;
76;[3 0 4 7];[3 0 4 7];;
76.25;[3 0 4 7 13];;;
76.5;[3 0 4 7];;;
76.75;[3 0 4 7 11];;;
77;[0 0 3 7 10];;;
77.5;[3 0 4 7 11];;;
78;[3 0 4 7];[3 0 4 7];;
