time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;4;[0 2 3 5 7 9 10];-------;-------
grouping;0;-------;-------;-------
0;[0 0 3 7];[0 0 3 7];;
0.5;[0 0 3 7 14];;;
1;[0 0 3 7];;;
1.5;[0 0 3 7 10];;;
2;[0 0 3 7 9];;;
2.5;[0 0 3 7 10];;;
3;[0 0 3 7];;;
3.5;[0 0 3 7 14];;;
4;[10 0 4 7 17];[10 0 4 7];;
4.5;[10 0 4 7 14];;;
5;[10 0 4 7];;;
5.5;[10 0 4 7];;;
6;[0 0 3 7];[0 0 3 7];;
6.75;[0 0 3 7];;;
7;[0 0 3 7];;;
7.5;[0 0 3 7];;;
8;[0 0 3 7];;;
9;[0 0 3 7];[0 0 3 7];;
9.5;[0 0 3 7 14];;;
10;[0 0 3 7];;;
10.5;[0 0 3 7 10];;;
11;[0 0 3 7 9];;;
11.5;[0 0 3 7 10];;;
12;[0 0 3 7];;;
12.5;[0 0 3 7 14];;;
13;[10 0 4 7 17];[10 0 4 7];;
13.5;[10 0 4 7 14];;;
14;[10 0 4 7];;;
14.5;[10 0 4 7];;;
15;[0 0 3 7];[0 0 3 7];;
15.75;[0 0 3 7];;;
16;[0 0 3 7];;;
16.5;[0 0 3 7];;;
17;[0 0 3 7];;;
grouping;18;-------;-------;-------
18;[0 0 3 7 10];[0 0 3 7];;
18.5;[0 0 3 7];;;
18.75;[0 0 3 7 10];;;
19;[0 0 3 7 9];;;
19.5;[0 0 3 7 10];;;
20;[0 0 3 7];;;
21;[0 0 3 7];;;
21.5;[0 0 3 7 10];;;
22;[0 0 3 7];[0 0 3 7];;
22.5;[0 0 3 7 14];;;
22.75;[0 0 3 7];;;
23;[0 0 3 7 10];[0 0 3 7];;
23.5;[8 0 4 7 11];;;
24;[0 0 3 7];;;
24.5;[8 0 4 7 11];;;
25;[0 0 3 7 17];;;
25.5;[0 0 3 7];;;
26;[0 0 3 7];[0 0 3 7];;
27;[3 0 4 7];[3 0 4 7];;
27.25;[3 0 4 7 14];;;
27.5;[3 0 4 7];;;
27.75;[3 0 4 7 11];;;
28;[3 0 4 7];;;
28.5;[3 0 4 7 14];;;
29;[3 0 4 7];[3 0 4 7];;
29.5;[3 0 4 7 14];;;
30;[3 0 4 7 14];;;
30.5;[3 0 4 7];;;
31;[10 0 4 7 17];[10 0 4 7 17];;
31.5;[10 0 4 7];;;
32;[10 0 4 7];;;
32.5;[10 0 4 7 14];;;
33;[0 0 3 7];[0 0 3 7];;
33.5;[0 0 3 7 14];;;
34;[0 0 3 7];[0 0 3 7];;
34.5;[0 0 3 7 17];;;
35;[0 0 3 7];[0 0 3 7];;
grouping;36;-------;-------;-------
36;[0 0 3 7 10];[0 0 3 7];;
36.5;[0 0 3 7];;;
36.75;[0 0 3 7 10];;;
37;[0 0 3 7 9];;;
37.5;[0 0 3 7 10];;;
38;[0 0 3 7];;;
39;[0 0 3 7];;;
39.5;[0 0 3 7 10];;;
40;[0 0 3 7];[0 0 3 7];;
40.5;[0 0 3 7 14];;;
40.75;[0 0 3 7];;;
41;[0 0 3 7 10];[0 0 3 7];;
41.5;[8 0 4 7 11];;;
42;[0 0 3 7];;;
42.5;[8 0 4 7 11];;;
43;[0 0 3 7 17];;;
