time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;0;[0 2 4 5 7 9 11];-------;-------
grouping;4;-------;-------;-------
4;[0 0 4 7 11];[0 0 4 7];;
4.75;[0 0 4 7];;;
5;[0 0 4 7 14];[0 0 4 7];;
5.5;[0 0 4 7];;;
6;[0 0 4 7 17];[0 0 4 7];;
6.5;[0 0 4 7 14];;;
7;[0 0 4 7];[0 0 4 7];;
7.5;[0 0 4 7];;;
8;[7 0 4 7];[7 0 4 7];;
8.75;[7 0 4 7 14];;;
9;[7 0 4 7];[7 0 4 7];;
9.5;[7 0 4 7 10];;;
10;[4 0 3 7 10];[7 0 4 7];;
10.5;[7 0 4 7];;;
11;[7 0 4 7 17];[7 0 4 7];;
11.5;[7 0 4 7];;;
12;[5 0 4 7];[5 0 4 7];;
12.5;[5 0 4 7 18];;;
13;[5 0 4 7];;;
13.5;[5 0 4 7 14];;;
14;[7 0 4 7 11];[7 0 4 7];;
14.5;[7 0 4 7];;;
15;[7 0 4 7 14];[7 0 4 7];;
15.5;[7 0 4 7];;;
16;[0 0 4 7];[0 0 4 7];;
16.75;[0 0 4 7 11];;;
17;[0 0 4 7];;;
17.5;[0 0 4 7 14];;;
18;[0 0 4 7];[0 0 4 7];;
18.5;[0 0 4 7 17];;;
19;[0 0 4 7 18];[0 0 4 7];;
19.5;[0 0 4 7];;;
grouping;20;-------;-------;-------
20;[0 0 4 7 11];[0 0 4 7];;
20.75;[0 0 4 7];;;
21;[0 0 4 7 14];[0 0 4 7];;
21.5;[0 0 4 7];;;
22;[0 0 4 7 17];;;
22.5;[0 0 4 7 14];;;
23;[0 0 4 7];[0 0 4 7];;
23.5;[0 0 4 7];;;
24;[7 0 4 7];[7 0 4 7];;
24.75;[7 0 4 7 14];;;
25;[7 0 4 7];[7 0 4 7];;
25.5;[7 0 4 7 10];;;
26;[4 0 3 7 10];[7 0 4 7];;
26.5;[7 0 4 7];;;
27;[7 0 4 7 17];[7 0 4 7];;
27.5;[7 0 4 7];;;
28;[5 0 4 7];[5 0 4 7];;
28.5;[5 0 4 7 18];;;
29;[5 0 4 7];;;
29.5;[5 0 4 7 14];;;
30;[7 0 4 7 11];[7 0 4 7];;
30.5;[7 0 4 7];;;
31;[7 0 4 7 14];[7 0 4 7];;
31.5;[7 0 4 7];;;
32;[0 0 4 7];[0 0 4 7];;
33;[0 0 4 7];[0 0 4 7];;
