time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;6;[0 2 3 6 7 9 10];-------;-------
grouping;0;-------;-------;-------
0;[0 0 3 7 9];[0 0 3 7 9];;
0.25;[0 0 3 7 10];;;
0.5;[0 0 3 7];;;
0.75;[0 0 3 7 10];;;
1;[0 0 3 7 9];[0 0 3 7];;
1.5;[0 0 3 7];;;
2;[6 0 3 6];[6 0 3 6];;
2.25;[6 0 3 6 13];;;
2.5;[6 0 3 6];;;
2.75;[6 0 3 6 13];;;
3;[6 0 3 6];[3 0 3 6 9];;
3.5;[3 0 3 6 9];;;
4;[7 0 4 7];[7 0 4 7];;
4.25;[7 0 4 7 8];;;
4.5;[7 0 4 7 11];;;
4.75;[7 0 4 7];;;
5;[7 0 4 7 11];[7 0 4 7 11];;
5.25;[7 0 4 7 8];;;
5.5;[7 0 4 7];;;
5.75;[7 0 4 7 17];;;
6;[0 0 3 7 18];[0 0 3 7];;
6.25;[0 0 3 7 9];;;
6.5;[0 0 3 7];;;
7;[0 0 3 7];[0 0 3 7];;
7.5;[0 0 3 7];;;
grouping;8;-------;-------;-------
8;[0 0 3 7 9];[0 0 3 7 9];;
8.25;[0 0 3 7 10];;;
8.5;[0 0 3 7];;;
8.75;[0 0 3 7 10];;;
9;[0 0 3 7 9];[0 0 3 7];;
9.5;[0 0 3 7];;;
10;[6 0 3 6];[6 0 3 6];;
10.25;[6 0 3 6 13];;;
10.5;[6 0 3 6];;;
10.75;[6 0 3 6 13];;;
11;[6 0 3 6];[3 0 3 6 9];;
11.5;[3 0 3 6 9];;;
12;[7 0 4 7];[7 0 4 7];;
12.25;[7 0 4 7 8];;;
12.5;[7 0 4 7 11];;;
12.75;[7 0 4 7 14];;;
13;[7 0 4 7];[7 0 4 7];;
13.25;[7 0 4 7 11];;;
13.5;[7 0 4 7 8];;;
13.75;[7 0 4 7 17];;;
14;[0 0 3 7];[0 0 3 7];;
14.5;[0 0 3 7];;;
15;[0 0 3 7];;;
grouping;16;-------;-------;-------
16;[0 0 3 7];[0 0 3 7];;
16.25;[0 0 3 7 11];;;
16.5;[0 0 3 7];;;
16.75;[0 0 3 7];;;
17;[0 0 3 7 18];[0 0 3 7];;
17.25;[0 0 3 7];;;
17.5;[0 0 3 7 11];;;
17.75;[0 0 3 7];;;
18;[0 0 3 7 14];[0 0 3 7 14];;
18.25;[0 0 3 7 14];;;
18.5;[0 0 3 7 14];;;
18.75;[0 0 3 7 14];;;
19;[3 0 3 7 9];[3 0 3 7 9];;
19.25;[3 0 3 7 9];;;
19.5;[3 0 3 7 11 21];;;
19.75;[3 0 3 7 9];;;
20;[6 0 3 6];[6 0 3 6];;
20.25;[6 0 3 6 13];;;
20.5;[3 0 3 6 9];;;
20.75;[6 0 3 6];;;
21;[0 0 3 7 9];[9 0 3 6];;
21.25;[9 0 3 6];;;
21.5;[3 0 3 6 9];;;
21.75;[0 0 3 7 9];;;
22;[0 0 3 7 10];[0 0 3 7 10];;
22.25;[0 0 3 7 9];;;
22.5;[0 0 3 7];;;
22.75;[0 0 3 7 18];;;
23;[0 0 3 7];[0 0 3 7];;
23.25;[0 0 3 7 18];;;
23.5;[0 0 3 7];;;
grouping;24;-------;-------;-------
24;[0 0 3 7 10];[0 0 3 7 10];;
24.25;[0 0 3 7 9];;;
24.5;[0 0 3 7];;;
24.75;[0 0 3 7 9];;;
25;[0 0 3 7];[0 0 3 7];;
25.25;[0 0 3 7 18];;;
25.5;[0 0 3 7];;;
26;[0 0 3 7 18];[0 0 3 7];;
26.25;[0 0 3 7 9];;;
26.5;[0 0 3 7];;;
27;[0 0 3 7];;;
27.25;[0 0 3 7 18];;;
27.5;[0 0 3 7];;;
27.75;[0 0 3 7 9];;;
28;[7 0 4 7];[7 0 4 7];;
28.25;[7 0 4 7 11];;;
28.5;[7 0 4 7 8];;;
28.75;[7 0 4 7 11];;;
29;[7 0 4 7 8];[7 0 4 7 8];;
29.25;[7 0 4 7];;;
29.5;[7 0 4 7 17];;;
29.75;[7 0 4 7];;;
30;[0 0 3 7];[0 0 3 7];;
30.25;[0 0 3 7 14];;;
30.5;[0 0 3 7];;;
30.75;[0 0 3 7 18];;;
31;[0 0 3 7];[0 0 3 7];;
31.25;[0 0 3 7 18];;;
31.5;[0 0 3 7];;;
31.75;[0 0 3 7 9];;;
grouping;32;-------;-------;-------
32;[0 0 3 7 10];[0 0 3 7 10];;
32.25;[0 0 3 7 9];;;
32.5;[0 0 3 7];;;
32.75;[0 0 3 7 9];;;
33;[0 0 3 7];[0 0 3 7];;
33.25;[0 0 3 7 18];;;
33.5;[0 0 3 7];;;
34;[0 0 3 7 18];[0 0 3 7];;
34.25;[0 0 3 7 9];;;
34.5;[0 0 3 7];;;
35;[0 0 3 7];;;
35.25;[0 0 3 7 18];;;
35.5;[0 0 3 7];;;
35.75;[0 0 3 7 9];;;
36;[7 0 4 7];[7 0 4 7];;
36.25;[7 0 4 7 11];;;
36.5;[7 0 4 7 8];;;
36.75;[7 0 4 7 11];;;
37;[7 0 4 7 8];[7 0 4 7 8];;
37.25;[7 0 4 7];;;
37.5;[7 0 4 7 17];;;
37.75;[7 0 4 7];;;
38;[0 0 3 7];[0 0 3 7];;
38.5;[0 0 3 7];;;
39;[0 0 3 7];;;
grouping;40;-------;-------;-------
40;[3 0 4 7];[3 0 4 7];;
40.25;[3 0 4 7 18];;;
40.5;[3 0 4 7];;;
40.75;[3 0 4 7];;;
41;[3 0 4 7 18];;;
41.25;[3 0 4 7];;;
41.5;[0 0 3 7 10];;;
41.75;[3 0 4 7];;;
42;[3 0 4 7 10];[3 0 4 7 10];;
42.25;[0 0 3 7 10];;;
42.5;[3 0 4 7 10];;;
42.75;[3 0 4 7];;;
43;[3 0 4 7 18];[3 0 4 7];;
43.25;[3 0 4 7];;;
43.5;[0 0 3 7 10];;;
43.75;[3 0 4 7 11];;;
44;[3 0 4 7];[3 0 4 7];;
44.25;[3 0 4 7 11];;;
44.5;[3 0 4 7];;;
44.75;[0 0 3 7 10];;;
45;[3 0 4 7 10];[3 0 4 7 10];;
45.25;[0 0 3 7 10];;;
45.5;[3 0 4 7];;;
45.75;[3 0 4 7 18];;;
46;[3 0 4 7];[3 0 4 7];;
46.5;[3 0 4 7];;;
47;[3 0 4 7];;;
grouping;48;-------;-------;-------
48;[3 0 4 7 10];[3 0 4 7 10];;
48.25;[0 0 3 7 10];;;
48.5;[3 0 4 7];;;
48.75;[3 0 4 7 18];;;
49;[3 0 4 7];[3 0 4 7];;
49.5;[3 0 4 7];;;
50;[3 0 4 7 10];[3 0 4 7 10];;
50.25;[0 0 3 7 10];;;
50.5;[3 0 4 7];;;
50.75;[3 0 4 7 18];;;
51;[3 0 4 7];[3 0 4 7];;
51.5;[3 0 4 7];;;
52;[3 0 4 7 10];[3 0 4 7 10];;
52.25;[0 0 3 7 10];;;
52.5;[3 0 4 7];;;
52.75;[3 0 4 7 18];;;
53;[3 0 4 7];[3 0 4 7];;
53.25;[3 0 4 7 18];;;
53.5;[3 0 4 7];;;
53.75;[0 0 3 7 10];;;
54;[3 0 4 7 10];[3 0 4 7 10];;
54.25;[0 0 3 7 10];;;
54.5;[3 0 4 7];;;
54.75;[3 0 4 7 18];;;
55;[3 0 4 7];[3 0 4 7];;
55.5;[3 0 4 7];;;
grouping;56;-------;-------;-------
56;[3 0 3 7 10];[3 0 3 7 10];;
56.25;[3 0 3 7 9];;;
56.5;[3 0 3 7];;;
56.75;[3 0 3 7 18];;;
57;[9 0 3 6 13];[9 0 3 6 13];;
57.25;[9 0 3 6];;;
57.5;[3 0 3 6 9];;;
57.75;[5 0 4 7 10];;;
58;[6 0 3 6];[6 0 3 6];;
58.25;[5 0 4 7 13];;;
58.5;[3 0 3 6 9];;;
58.75;[2 0 4 7 10];;;
59;[3 0 3 7];[3 0 4 7];;
59.75;[3 0 3 7];;;
60;[10 0 4 7];[10 0 4 7];;
60.25;[10 0 4 7 14];;;
60.5;[10 0 4 7];;;
60.75;[10 0 4 7 17];;;
61;[10 0 4 7];[10 0 4 7];;
61.25;[6 0 4 8 11];;;
61.5;[10 0 4 7 11];;;
61.75;[10 0 4 7];;;
62;[3 0 3 7 10];[3 0 3 7 10];;
62.25;[3 0 3 7 9];;;
62.5;[3 0 3 7];;;
62.75;[3 0 3 7 18];;;
63;[3 0 3 7];[3 0 3 7];;
63.25;[3 0 3 7 14];;;
63.5;[3 0 3 7];;;
63.75;[3 0 3 7 11];;;
64;[7 0 4 7 8];[7 0 4 7];;
64.25;[7 0 4 7];;;
64.5;[7 0 4 7 10];;;
64.75;[7 0 4 7 8];;;
65;[7 0 4 7 8];;;
65.25;[7 0 4 7];;;
65.5;[7 0 4 7];;;
65.75;[7 0 4 7 17];;;
66;[0 0 3 7];[0 0 3 7];;
66.5;[0 0 3 7];;;
67;[0 0 3 7];;;
grouping;68;-------;-------;-------
