time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;4;[0 1 3 5 7 8 10];-------;-------
grouping;0;-------;-------;-------
0;[0 0 3 7 13];[0 0 3 7];;
0.16667;[0 0 3 7];;;
0.33333;[0 0 3 7 10];;;
0.5;[0 0 3 7 9];;;
0.75;[0 0 3 7 10];;;
1;[0 0 3 7];[0 0 3 7];;
1.5;[0 0 3 7];;;
2;[0 0 3 7];;;
2.5;[0 0 3 7 13];[0 0 3 7];;
2.6667;[0 0 3 7];;;
2.8333;[0 0 3 7 10];;;
3;[0 0 3 7 9];;;
3.25;[0 0 3 7 10];;;
3.5;[0 0 3 7];[0 0 3 7];;
4;[0 0 3 7];;;
4.5;[0 0 3 7];;;
grouping;5;-------;-------;-------
5;[0 0 3 7 9];[0 0 3 7];;
5.25;[0 0 3 7 10];;;
5.5;[0 0 3 7];;;
5.75;[0 0 3 7 14];;;
6;[0 0 3 7];[0 0 3 7];;
6.25;[0 0 3 7 13];;;
6.5;[0 0 3 7];[0 0 3 7];;
6.75;[0 0 3 7 10];;;
7;[8 0 4 7 11];[0 0 3 7];;
7.25;[0 0 3 7];;;
7.5;[10 0 3 7];[10 0 3 7];;
7.75;[10 0 3 7 17];;;
8;[10 0 3 7 16];;;
8.25;[10 0 3 7];;;
8.5;[0 0 3 7];[0 0 3 7];;
9;[0 0 3 7];;;
9.5;[0 0 3 7];;;
grouping;10;-------;-------;-------
10;[0 0 3 7 13];[0 0 3 7];;
10.1667;[0 0 3 7];;;
10.3333;[0 0 3 7 10];;;
10.5;[0 0 3 7 9];;;
10.75;[0 0 3 7 10];;;
11;[0 0 3 7];[0 0 3 7];;
11.5;[0 0 3 7];;;
12;[0 0 3 7];;;
12.5;[0 0 3 7 13];[0 0 3 7];;
12.6667;[0 0 3 7];;;
12.8333;[0 0 3 7 10];;;
13;[0 0 3 7 9];;;
13.25;[0 0 3 7 10];;;
13.5;[0 0 3 7];[0 0 3 7];;
14;[0 0 3 7];;;
14.5;[0 0 3 7];;;
grouping;15;-------;-------;-------
15;[0 0 3 7 9];[0 0 3 7];;
15.25;[0 0 3 7 10];;;
15.5;[0 0 3 7];;;
15.75;[0 0 3 7 14];;;
16;[0 0 3 7];[0 0 3 7];;
16.25;[0 0 3 7];;;
16.5;[0 0 3 7 13];[0 0 3 7];;
16.75;[0 0 3 7 10];;;
17;[8 0 4 7 11];[0 0 3 7];;
17.25;[0 0 3 7];;;
17.5;[10 0 3 7];[10 0 3 7];;
17.6667;[10 0 3 7 17];;;
17.8333;[10 0 3 7 16];;;
18;[10 0 3 7];;;
18.25;[10 0 3 7 14];;;
18.5;[0 0 3 7];[0 0 3 7];;
19;[0 0 3 7];;;
19.5;[0 0 3 7];;;
grouping;20;-------;-------;-------
20;[0 0 3 7 9];[0 0 3 7];;
20.5;[0 0 3 7 10];;;
21;[0 0 3 7];[0 0 3 7];;
21.5;[0 0 3 7];;;
22;;[0 0 3 7];;
22.5;[0 0 3 7];[0 0 3 7];;
23.5;[0 0 3 7];[0 0 3 7];;
24.5;[0 0 3 7 10];[0 0 3 7];;
25;[0 0 3 7 9];;;
25.5;[0 0 3 7 10];[0 0 3 7];;
26;[0 0 3 7 9];;;
26.5;[0 0 3 7];;;
27;[0 0 3 7];[0 0 3 7];;
27.5;[0 0 3 7];;;
27.75;[8 0 4 7 11];;;
28;[0 0 3 7];[0 0 3 7];;
28.25;[0 0 3 7 17];;;
28.5;[0 0 3 7];[0 0 3 7];;
grouping;29;-------;-------;-------
29;[0 0 3 7 9];[0 0 3 7];;
29.5;[0 0 3 7 10];;;
30;[0 0 3 7];[0 0 3 7];;
30.5;[0 0 3 7];;;
31;;[0 0 3 7];;
31.5;[0 0 3 7];[0 0 3 7];;
32.5;[0 0 3 7];[0 0 3 7];;
33.5;[0 0 3 7 10];[0 0 3 7];;
34;[0 0 3 7 9];;;
34.5;[0 0 3 7 10];[0 0 3 7];;
35;[0 0 3 7 9];;;
35.5;[0 0 3 7];;;
36;[0 0 3 7];[0 0 3 7];;
36.5;[0 0 3 7];;;
36.75;[8 0 4 7 11];;;
37;[0 0 3 7];[0 0 3 7];;
37.25;[0 0 3 7 17];;;
37.5;[0 0 3 7];[0 0 3 7];;
grouping;38;-------;-------;-------
38;[0 0 3 7 17];[0 0 3 7];;
38.5;[0 0 3 7];;;
39;[0 0 3 7];[0 0 3 7];;
39.5;[0 0 3 7];;;
40;[0 0 3 7 17];;;
40.5;[0 0 3 7 17];[0 0 3 7];;
41;[0 0 3 7 17];;;
41.25;[0 0 3 7];;;
41.5;[0 0 3 7];[0 0 3 7];;
42;[0 0 3 7 14];[0 0 3 7];;
42.5;[0 0 3 7];[0 0 3 7];;
43;[0 0 3 7 14];;;
43.5;[0 0 3 7];[0 0 3 7];;
44;[0 0 3 7 13];;;
44.5;[0 0 3 7];[0 0 3 7 17];;
45;[5 0 3 7];[5 0 3 7];;
45.5;[5 0 3 7];;;
45.75;[5 0 3 7 14];;;
46;[5 0 3 7];;;
46.25;[5 0 3 7 10];;;
46.5;[5 0 3 7];[5 0 3 7];;
grouping;47;-------;-------;-------
47;[0 0 3 7 17];[0 0 3 7];;
47.5;[0 0 3 7];;;
48;[0 0 3 7];[0 0 3 7];;
48.5;[0 0 3 7];;;
49;[0 0 3 7 17];;;
49.5;[0 0 3 7 17];[0 0 3 7];;
50;[0 0 3 7 17];;;
50.25;[0 0 3 7];;;
50.5;[0 0 3 7];[0 0 3 7];;
51;[0 0 3 7 14];[0 0 3 7];;
51.5;[0 0 3 7];[0 0 3 7];;
52;[0 0 3 7 14];;;
52.5;[10 0 3 7 17];[10 0 3 7 14];;
53;[10 0 3 7];;;
53.5;[0 0 3 7];[0 0 3 7];;
54;[0 0 3 7];;;
54.5;[0 0 3 7];;;
54.75;[0 0 3 7 13];;;
55;[0 0 3 7];;;
55.25;[0 0 3 7 10];;;
55.5;[0 0];[0 0];;
