time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;7;[0 2 3 5 7 8 10];-------;-------
grouping;2;-------;-------;-------
2;[0 0 3 7];[0 0 3 7];;
1.5;[0 0 3 7];;;
1.75;[0 0 3 7];;;
2;[0 0 3 7];;;
2.5;[0 0 3 7];;;
3;[6 0 3 6];[6 0 3 6];;
3.75;[2 0 4 7 10];;;
4;[0 0 3 7];[0 0 3 7];;
4.5;[0 0 3 7];;;
5;[0 0 3 7 14];[0 0 3 7];;
5.25;[0 0 3 7];;;
5.5;[0 0 3 7];[0 0 3 7];;
5.75;[0 0 3 7];;;
5.8125;[0 0 3 7];;;
5.875;[0 0 3 7];;;
5.9375;[0 0 3 7];;;
6;[0 0 3 7];[0 0 3 7];;
6.5;[0 0 3 7];;;
7;[0 0 3 6];[0 0 3 6];;
8;[0 0 3 7];[0 0 3 7];;
8.1667;[0 0 3 7 14];;;
8.3333;[0 0 3 7];;;
8.5;[0 0 3 7 14];;;
8.6667;[0 0 3 7];;;
8.8333;[0 0 3 7 18];;;
9;[0 0 3 7];[0 0 3 7];;
9.25;[0 0 3 7];;;
9.5;[0 0 3 7];;;
9.75;[0 0 3 7];;;
grouping;10;-------;-------;-------
10;[0 0 3 7];[0 0 3 7];;
10.5;[0 0 3 7];;;
11;[0 0 3 6];[0 0 3 6];;
11.75;[0 0 3 6 14];;;
12;[0 0 3 7];[0 0 3 7];;
12.5;[0 0 3 7];;;
13;[0 0 3 7 14];[0 0 3 7];;
13.25;[0 0 3 7];;;
13.5;[0 0 3 7];;;
14;[7 0 4 7];[7 0 4 7];;
14.25;[7 0 4 7 8];;;
14.5;[7 0 4 7];;;
14.75;[7 0 4 7 8];;;
15;[7 0 4 7 11];[7 0 4 7];;
15.25;[7 0 4 7];;;
15.5;[7 0 4 7 8];;;
15.75;[7 0 4 7];;;
16;[0 0 3 7];[0 0 3 7];;
16.5;[0 0 3 7];;;
17;[0 0 3 7];;;
grouping;18;-------;-------;-------
18;[0 0 3 7 11];[0 0 3 7];;
18.5;[0 0 3 7];;;
19;[0 0 3 7 14];[0 0 3 7];;
19.5;[0 0 3 7];;;
20;[0 0 3 7 18];[0 0 3 7];;
20.5;[0 0 3 7];;;
21;[0 0 3 7];[0 0 3 7];;
21.25;[0 0 3 7 14];;;
21.5;[0 0 3 7];;;
22;[0 0 3 7 18];[0 0 3 7];;
22.5;[0 0 3 7];;;
23;[2 0 4 7];[2 0 4 7];;
23.5;[6 0 4 8 15];;;
24;[2 0 4 7];[2 0 4 7];;
24.5;[6 0 4 8 15];;;
25;[7 0 3 7 14];[7 0 3 7];;
25.5;[7 0 3 7];;;
26;[2 0 4 7];[2 0 4 7];;
26.25;[2 0 4 7 17];;;
26.5;[2 0 4 7];;;
26.75;[2 0 4 7 17];;;
27;[2 0 4 7];[2 0 4 7];;
27.5;[6 0 4 8 15];;;
28;[2 0 4 7];[2 0 4 7];;
28.5;[6 0 4 8 15];;;
29;[7 0 3 7 14];[7 0 3 7];;
29.5;[7 0 3 7];;;
grouping;30;-------;-------;-------
30;[0 0 3 7];[0 0 3 7];;
30.75;[0 0 3 7 10];;;
31;[0 0 3 7 9];[0 0 3 7];;
31.5;[0 0 3 7];;;
32;[6 0 3 6];[6 0 3 6];;
32.5;[0 0 3 6 9];;;
33;[7 0 4 7];[7 0 4 7];;
33.5;[7 0 4 7 17];;;
34;[0 0 3 7 18];[0 0 3 7];;
34.25;[0 0 3 7 9];;;
34.5;[0 0 3 7];;;
35;[0 0 3 7];;;
35.5;[0 0 3 7];;;
36;[0 0 3 7];[0 0 3 7];;
36.25;[0 0 3 7 14];;;
36.5;[0 0 3 7];;;
36.75;[0 0 3 7 18];;;
37;[0 0 3 7];[0 0 3 7];;
37.25;[0 0 3 7 9];;;
37.5;[0 0 3 7 10];;;
37.75;[0 0 3 7 11];;;
grouping;38;-------;-------;-------
38;[0 0 3 7];[0 0 3 7];;
38.75;[0 0 3 7 10];;;
39;[0 0 3 7 9];[0 0 3 7];;
39.5;[0 0 3 7];;;
40;[6 0 3 6];[6 0 3 6];;
40.5;[0 0 3 6 9];;;
41;[7 0 4 7];[7 0 4 7];;
41.5;[7 0 4 7 8];;;
42;[0 0 3 7 14];[0 0 3 7];;
42.25;[0 0 3 7];;;
42.5;[0 0 3 7];;;
43;[0 0 3 7];;;
43.5;[0 0 3 7];;;
43.75;[0 0 3 7];;;
44;[0 0 3 7];[0 0 3 7];;
44.25;[0 0 3 7 11];;;
44.5;[0 0 3 7 14];;;
44.75;[0 0 3 7 11];;;
45;[0 0 3 7];;;
45.25;[0 0 3 7 10];;;
45.5;[0 0 3 7 9];;;
45.75;[0 0 3 7];;;
46;[0 0 3 7 14];[0 0 3 7];;
46.25;[0 0 3 7];;;
46.5;[0 0 3 7];;;
47;[0 0 3 7];[0 0 3 7];;
47.25;[0 0 3 7];;;
47.5;[0 0 3 7 18];;;
47.75;[0 0 3 7];;;
48;[0 0 3 7];[0 0 3 7];;
48.5;[0 0 3 7];;;
49;[0 0 3 7];;;
49.25;[0 0 3 7];;;
49.5;[0 0 3 7];;;
49.75;[0 0 3 7];;;
