time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;7;[0 2 3 5 7 8 10];-------;-------
grouping;2;-------;-------;-------
2;[0 0 3 7];[0 0 3 7];;
1.3333;[0 0 3 7];;;
1.6667;[0 0 3 7];;;
2;[0 0 3 7];;;
2.3333;[0 0 3 7];;;
2.6667;[0 0 3 7];;;
3;[0 0 3 7];;;
3.3333;[8 0 4 7 11];;;
3.6667;[0 0 3 7];;;
4;[6 0 3 6];[6 0 3 6];;
4.3333;[6 0 3 6];;;
4.6667;[6 0 3 6];;;
5;[6 0 3 6];;;
5.3333;[0 0 7 11 14];;;
5.6667;[6 0 3 6];;;
6;[5 0 3 6];[5 0 3 6];;
6.3333;[5 0 3 6];;;
6.6667;[5 0 3 6];;;
7;[5 0 3 6];;;
7.3333;[5 0 3 6 14];;;
7.6667;[5 0 3 6];;;
8;[0 0 3 7];[0 0 3 7];;
8.3333;[0 0 3 7 17];;;
8.6667;[0 0 3 7];;;
9;[7 0 4 7];[7 0 4 7];;
9.3333;[7 0 4 7 8];;;
9.6667;[7 0 4 7];;;
grouping;10;-------;-------;-------
10;[0 0 3 7];[0 0 3 7];;
10.3333;[0 0 3 7];;;
10.6667;[8 0 4 7 11];;;
10.8333;[0 0 3 7];;;
11;[0 0 3 7 18];;;
11.5;[0 0 3 7];;;
12;[8 0 4 7 11];[0 0 3 7];;
12.5;[0 0 3 7 9];;;
13;[0 0 3 7 10];;;
13.5;[0 0 3 7 11];;;
14;[0 0 3 7];[0 0 3 7];;
14.3333;[0 0 3 7];;;
14.6667;[8 0 4 7 11];;;
14.8333;[0 0 3 7];;;
15;[0 0 3 7 18];;;
15.5;[0 0 3 7];;;
16;[8 0 4 7 11];[0 0 3 7];;
16.5;[0 0 3 7 9];;;
17;[0 0 3 7 10];;;
17.5;[0 0 3 7 11];;;
18;[0 0 4 7];[0 0 4 7];;
20;[1 0 4 7];[1 0 4 7];;
22;[0 0 4 7];[0 0 4 7];;
22.3333;[0 0 4 7 13];;;
22.6667;[0 0 4 7];;;
23;[0 0 4 7 10];;;
23.3333;[0 0 4 7];;;
23.6667;[0 0 4 7 10];;;
24;[8 0 4 8 11 14];[0 0 4 7 10];;
24.3333;[0 0 4 7 10];;;
24.6667;[8 0 4 8 11 14];;;
25;[0 0 4 7 10];;;
25.3333;[8 0 4 8 11 14];;;
25.6667;[0 0 4 7 10];;;
26;[5 0 3 7 17];[5 0 3 7];;
26.3333;[5 0 3 7 17];;;
26.6667;[5 0 3 7 16];;;
27;[5 0 3 7];;;
28.25;[5 0 3 7 11];;;
28.5;[5 0 3 7];;;
28.75;[5 0 3 7 14];;;
29;[5 0 3 7];;;
29.25;[5 0 3 7 18];;;
29.5;[5 0 3 7];;;
29.75;[5 0 3 7 11];;;
grouping;30;-------;-------;-------
30;[5 0 3 7];[5 0 3 7];;
30.25;[5 0 3 7 11];;;
30.5;[5 0 3 7];;;
30.75;[5 0 3 7 14];;;
31;[5 0 3 7];;;
31.25;[5 0 3 7 18];;;
31.5;[5 0 3 7];;;
31.75;[5 0 3 7];;;
32;[5 0 3 7];;;
32.3333;[5 0 3 7];;;
32.6667;[5 0 3 7];;;
33;[5 0 3 7];;;
33.3333;[5 0 3 7 11];;;
33.6667;[5 0 3 7 10];;;
34;[10 0 4 7];[10 0 4 7];;
34.3333;[10 0 4 7];;;
34.6667;[10 0 4 7];;;
35;[10 0 4 7];;;
35.3333;[7 0 3 7 10];;;
35.6667;[10 0 4 7 11];;;
36;[10 0 4 7];[10 0 4 7];;
36.3333;[10 0 4 7];;;
36.6667;[10 0 4 7];;;
37;[10 0 4 7];;;
37.3333;[10 0 4 7 11];;;
37.6667;[10 0 4 7 10];;;
38;[3 0 4 7];[3 0 4 7];;
38.3333;[3 0 4 7];;;
38.6667;[3 0 4 7];;;
39;[3 0 4 7];;;
39.3333;[0 0 3 7 10];;;
39.6667;[3 0 4 7 11];;;
40;[3 0 4 7];[3 0 4 7];;
40.5;[3 0 4 7];;;
40.6667;[3 0 4 7 11];;;
40.8333;[0 0 3 7 10];;;
41;[7 0 4 8 15];;;
41.25;[0 0 3 7 10];;;
41.5;[3 0 4 7 11];;;
41.75;[3 0 4 7];;;
42;[0 0 3 6 9];[0 0 3 6 9];;
42.3333;[0 0 3 6 9];;;
42.6667;[0 0 3 6 9];;;
43;[0 0 3 6 9];;;
43.3333;[0 0 3 6 9];;;
43.6667;[0 0 3 6 9];;;
44;[7 0 4 7 11];[7 0 4 7 10];;
44.5;[7 0 4 7 8];;;
44.6667;[7 0 4 7];;;
44.8333;[7 0 4 7 8];;;
45;[7 0 4 7 10];;;
45.25;[7 0 4 7 8];;;
45.5;[7 0 4 7];;;
45.75;[7 0 4 7 8];;;
46;[0 0 3 7];[0 0 3 7];;
47;[7 0 4 7];[7 0 4 7];;
48;[0 0 3 7];[0 0 3 7];;
49;[7 0 4 7 10];[7 0 4 7 10];;
grouping;50;-------;-------;-------
50;[0 0 3 7];[0 0 3 7];;
50.3333;[8 0 4 7 11];;;
50.6667;[0 0 3 7];;;
51;[0 0 3 7 18];;;
51.3333;[0 0 3 7];;;
51.6667;[0 0 3 7 18];;;
52;[0 0 3 7 17];;;
52.3333;[0 0 3 7];;;
52.6667;[0 0 3 7 17];;;
