time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;0;[0 2 3 5 7 8 10];-------;-------
grouping;0;-------;-------;-------
0;[0 0 3 7];[0 0 3 7];;
0.25;[0 0 3 7 17];;;
0.5;[0 0 3 7];;;
0.75;[0 0 3 7 17];;;
1;[0 0 3 7];;;
2;[5 0 3 7];[5 0 3 7];;
2.25;[5 0 3 7];;;
2.5;[5 0 3 7 14];;;
2.75;[5 0 3 7];;;
3;[10 0 4 7 10];[10 0 4 7 10];;
3.25;[10 0 4 7 10 14];;;
3.5;[10 0 4 7 10];;;
3.75;[10 0 4 7 10];;;
4;[3 0 4 7];[3 0 4 7];;
4.25;[3 0 4 7 14];;;
4.5;[3 0 4 7];;;
4.75;[3 0 4 7 14];;;
5;[3 0 4 7];;;
6;[5 0 3 7];[5 0 3 7];;
6.25;[5 0 3 7];;;
6.5;[5 0 3 7 14];;;
6.75;[5 0 3 7];;;
7;[10 0 4 7 10];[10 0 4 7 10];;
7.25;[10 0 4 7 10 14];;;
7.5;[10 0 4 7 10];;;
7.75;[10 0 4 7 10];;;
grouping;8;-------;-------;-------
8;[3 0 4 7];[3 0 4 7];;
8.25;[3 0 4 7 14];;;
8.5;[3 0 4 7];;;
8.75;[3 0 4 7 14];;;
9;[3 0 4 7];;;
10;[2 0 4 7 10];[2 0 4 7 10];;
10.25;[2 0 4 7 10 17];;;
10.5;[2 0 4 7 10];;;
10.75;[2 0 4 7 10 17];;;
11;[2 0 4 7 10];;;
12;[7 0 4 7 10];[7 0 4 7 10];;
12.25;[7 0 4 7 10 14];;;
12.5;[7 0 4 7 10];;;
12.75;[7 0 4 7 10 14];;;
13;[7 0 4 7 10];;;
14;[8 0 4 7];[8 0 4 7];;
14.25;[8 0 4 7 14];;;
14.5;[8 0 4 7];;;
14.75;[8 0 4 7 14];;;
15;[8 0 4 7];;;
grouping;16;-------;-------;-------
16;[5 0 3 7];[5 0 3 7];;
16.25;[5 0 3 7];;;
16.5;[5 0 3 7 9];;;
16.75;[5 0 3 7 10];;;
17;[10 0 4 7 10];[10 0 4 7 10];;
17.25;[10 0 4 7 10 17];;;
17.5;[10 0 4 7 10 14];;;
17.75;[10 0 4 7 10];;;
18;[3 0 4 7];[3 0 4 7];;
18.25;[3 0 4 7 17];;;
18.5;[3 0 4 7];;;
18.75;[3 0 4 7 17];;;
19;[0 0 4 7 10];[0 0 4 7 10];;
19.75;[0 0 4 7 10];;;
20;[5 0 3 7];[5 0 3 7];;
20.25;[5 0 3 7 14];;;
20.5;[5 0 3 7];;;
20.75;[5 0 3 7 14];;;
21;[10 0 4 7 10];[10 0 4 7 10];;
21.75;[10 0 4 7 10];;;
22;[3 0 4 7];[3 0 4 7];;
grouping;24;-------;-------;-------
24;[5 0 3 7];[5 0 3 7];;
24.25;[5 0 3 7 10];;;
24.5;[5 0 3 7 9];;;
24.75;[5 0 3 7 10];;;
25;[5 0 3 7];;;
25.75;[5 0 3 7 14];;;
26;[0 0 3 7];[0 0 3 7];;
26.25;[0 0 3 7 14];;;
26.5;[0 0 3 7];;;
26.75;[0 0 3 7 14];;;
27;[0 0 3 7];;;
27.75;[0 0 3 7];;;
28;[8 0 4 7 11 18];[8 0 4 7 11 18];;
28.25;[8 0 4 7 11];;;
28.5;[8 0 4 7 11 18];;;
28.75;[5 0 3 7 10 14];;;
29;[7 0 4 7 10];[7 0 4 7 10];;
29.25;[7 0 4 7 10 17];;;
29.5;[7 0 4 7 10];;;
29.75;[7 0 4 7 10];;;
30;[0 0 3 7];[0 0 3 7];;
tonality;0;[0 2 4 5 7 9 11];-------;-------
grouping;32;-------;-------;-------
32;[0 0 4 7];[0 0 4 7];;
32.25;[0 0 4 7];;;
32.5;[0 0 4 7 17];;;
32.75;[0 0 4 7];;;
33;[0 0 4 7];;;
33.25;[0 0 4 7];;;
33.5;[0 0 4 7 14];;;
33.75;[0 0 4 7];;;
34;[2 0 3 7 10 14];[2 0 3 7 10];;
35;[2 0 3 7 10];;;
36;[7 0 4 7 10];[7 0 4 7 10];;
36.5;[7 0 4 7 10];;;
37;[4 0 3 7 10 13];;;
37.5;[7 0 4 7 10];;;
37.75;[4 0 3 7 10 13];;;
38;[0 0 4 7 14];[0 0 4 7];;
39;[0 0 4 7];;;
grouping;40;-------;-------;-------
40;[0 0 4 7];[0 0 4 7];;
40.25;[0 0 4 7];;;
40.5;[0 0 4 7 17];;;
40.75;[0 0 4 7];;;
41;[0 0 4 7];;;
41.25;[0 0 4 7];;;
41.5;[0 0 4 7 14];;;
41.75;[0 0 4 7];;;
42;[3 0 4 7];[3 0 4 7];;
43.25;[3 0 4 7];;;
43.5;[3 0 4 7 14];;;
43.75;[3 0 4 7];;;
44;[5 0 4 7 17];[5 0 4 7 17];;
45;[10 0 4 7 10];[10 0 4 7 10];;
45.25;[10 0 4 7 10];;;
45.5;[7 0 3 7 10 13];;;
45.75;[10 0 4 7 10];;;
46;[3 0 4 7];[3 0 4 7];;
47;[7 0 4 7 10];[7 0 4 7 10];;
grouping;48;-------;-------;-------
48;[5 0 4 7];[5 0 4 7];;
48.5;[5 0 4 7];;;
49;[5 0 4 7];;;
50;[2 0 3 7];[2 0 3 7];;
50.25;[2 0 3 7];;;
50.5;[2 0 3 7 9];;;
50.75;[2 0 3 7 10];;;
51;[11 0 4 7 10 13];[9 0 3 6 9];;
51.25;[9 0 3 6 9];;;
51.5;[0 0 3 7 9 18];;;
51.75;[9 0 3 6 9];;;
52;[4 0 3 7];[4 0 3 7];;
52.5;[4 0 3 7];;;
53;[4 0 3 7];;;
54;[7 0 3 7 9];[7 0 3 7 9];;
54.25;[7 0 3 7 9];;;
54.5;[7 0 3 7 9 14];;;
54.75;[7 0 3 7 9];;;
55;[9 0 4 7 10];[9 0 4 7 10];;
55.25;[9 0 4 7 10];;;
55.5;[1 0 4 8 15 18];;;
55.75;[9 0 4 7 10];;;
56;[2 0 3 7];[2 0 3 7];;
56.25;[2 0 3 7 17];;;
56.5;[2 0 3 7];;;
56.75;[2 0 3 7 17];;;
57;[2 0 3 7];;;
grouping;58;-------;-------;-------
58;[2 0 3 7 10];[2 0 3 7 10];;
58.25;[2 0 3 7 10];;;
58.5;[2 0 3 7 10 17];;;
58.75;[2 0 3 7 10];;;
