time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;2;[0 2 3 5 7 8 10];-------;-------
grouping;0;-------;-------;-------
0;[0 0 3 7];[0 0 3 7];;
1;[0 0 3 7];;;
1.5;[0 0 3 7];;;
2;[8 0 4 7 11];;;
2.5;[0 0 3 7];;;
3.5;[0 0 3 7 18];;;
4;[7 0 4 7];[7 0 4 7];;
8;[10 0 3 7 9];[10 0 3 7 9];;
8.5;[10 0 3 7 9];;;
9;[10 0 3 7 9];;;
9.5;[10 0 3 7 9];;;
10;[10 0 3 7 10 21];;;
10.5;[10 0 3 7 9];;;
11.5;[10 0 3 7 9 18];;;
12;[5 0 4 7 14];[5 0 4 7];;
13;[5 0 4 7];;;
grouping;16;-------;-------;-------
16;[5 0 3 7];[5 0 3 7];;
16.5;[5 0 3 7];;;
17;[5 0 3 7 14];;;
17.5;[5 0 3 7];;;
18;[5 0 3 7 14];;;
18.5;[5 0 3 7];;;
19.5;[5 0 3 7 11];;;
20;[3 0 4 7 14];[3 0 4 7];;
21;[3 0 4 7];;;
23;[3 0 4 7 11];;;
23.5;[0 0 3 7 10];;;
24;[2 0 4 7 13];[2 0 4 7];;
25;[2 0 4 7];;;
26;[2 0 4 7];;;
26.5;[2 0 4 7];;;
27;[2 0 3 7 16];;;
27.5;[2 0 4 7 13];;;
28;[5 0 3 7 10 21];[5 0 3 7 9];;
29;[5 0 3 7 9];;;
grouping;32;-------;-------;-------
32;[0 0 3 7];[0 0 3 7];;
32.5;[0 0 3 7];;;
33;[0 0 3 7];;;
33.5;[0 0 3 7];;;
34;[8 0 4 7 11];;;
34.5;[0 0 3 7];;;
35.5;[0 0 3 7 18];;;
36;[7 0 4 7 13];[7 0 4 7];;
37;[7 0 4 7];;;
40;[10 0 3 7 9];[10 0 3 7 9];;
40.5;[10 0 3 7 9];;;
41;[10 0 3 7 9];;;
41.5;[10 0 3 7 10 21];;;
42;[10 0 3 7 9];;;
42.5;[10 0 3 7 9];;;
43.5;[10 0 3 7 9 18];;;
44;[5 0 4 7 14];[5 0 4 7];;
45;[5 0 4 7];;;
grouping;48;-------;-------;-------
48;[5 0 3 7];[5 0 3 7];;
48.5;[5 0 3 7];;;
49;[5 0 3 7 10];;;
49.5;[5 0 3 7 9];;;
50;[7 0 4 7 10];[7 0 4 7 10];;
50.5;[11 0 4 8 15];;;
51.5;[7 0 4 7];;;
52;[0 0 3 7];[0 0 3 7];;
56;[2 0 4 7 10];[2 0 4 7 10];;
56.5;[2 0 4 7 10];;;
57;[2 0 4 7 10 13];;;
57.5;[2 0 4 7 10];;;
58;[11 0 4 8 15 18];[7 0 4 7 10];;
58.5;[7 0 4 7 10];;;
59.5;[11 0 4 8 15 18];;;
60;[0 0 3 7 14];[0 0 3 7];;
61;[0 0 3 7];;;
tonality;7;[0 2 3 5 7 8 10];-------;-------
grouping;64;-------;-------;-------
64;[2 0 3 6 9];[7 0 4 7 10 13];;
64.5;[7 0 4 7 10 13];;;
65;[2 0 3 6 9];;;
65.5;[7 0 4 7 10 13];;;
66;[7 0 4 7 10 13];[7 0 4 7 10];;
66.5;[7 0 4 7 10];;;
67.5;[7 0 4 7 11 22];;;
68;[8 0 4 7 11];[0 0 3 7];;
69;[0 0 3 7];;;
72;[2 0 3 6 9];[7 0 4 7 10 13];;
72.5;[7 0 4 7 10 13];;;
73;[2 0 3 6 9];;;
73.5;[7 0 4 7 10 13];;;
74;[7 0 4 7 10 13];[7 0 4 7 10];;
74.5;[7 0 4 7 10];;;
75.5;[7 0 3 7 10 16];;;
76;[8 0 4 7 11];[0 0 3 7];;
77;[0 0 3 7];;;
tonality;9;[0 2 3 5 7 8 10];-------;-------
grouping;80;-------;-------;-------
80;[5 0 3 7 9];[5 0 3 7 9 14];;
80.5;[5 0 3 7 9 14];;;
81;[5 0 3 7 9];;;
81.5;[5 0 3 7 9 14];;;
82;[7 0 4 7 10 13];[7 0 4 7 10];;
82.5;[7 0 4 7 10];;;
83.5;[7 0 4 7 10];;;
84;[8 0 4 7 11];[0 0 3 7];;
85;[0 0 3 7];;;
88;[5 0 3 7 9];[5 0 3 7 9 14];;
88.5;[5 0 3 7 9 14];;;
89.5;[5 0 3 7 9];;;
90;[7 0 4 7 10];[7 0 4 7 10];;
90.5;[7 0 4 7 10 13];;;
91;[7 0 4 7 10];;;
91.5;[7 0 4 7 10];;;
92;[8 0 4 7 11];[0 0 3 7];;
93;[0 0 3 7];;;
