time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;9;[0 2 3 5 7 8 10];-------;-------
grouping;1;-------;-------;-------
1;;[7 0];;
3;[0 0 3 7];[0 0 3 7];;
2;[0 0 3 7 18];;;
3;[0 0 3 7];;;
4;[0 0 3 7];;;
5;[0 0 3 7];[0 0 3 7];;
6;[7 0 4 7 10];[7 0 4 7 10];;
7;[7 0 4 7 10];;;
8;[7 0 4 7 10];[7 0 4 7 10];;
9;[0 0 3 7];[0 0 3 7];;
11;[0 0 3 7];;;
12;[0 0 3 7];[0 0 3 7];;
grouping;13;-------;-------;-------
13;[0 0 3 7];;;
14;[0 0 3 7 11];;;
15;[0 0 4 7 10];[0 0 4 7 10];;
16;[0 0 4 7 10];;;
17;[4 0 4 8 15 18];;;
18;[0 0 4 7 10];[0 0 4 7 10];;
19;[4 0 4 8 15 18];;;
20;[0 0 4 7 10];;;
21;[5 0 3 7];[5 0 3 7];;
24;[5 0 3 7];[5 0 3 7];;
grouping;25;-------;-------;-------
25;[5 0 3 7];;;
26;[5 0 3 7 14];;;
27;[5 0 3 7];[5 0 3 7];;
28;[5 0 3 7];;;
29;[5 0 3 7];[5 0 3 7];;
30;[7 0 4 7 10];[7 0 4 7 10];;
31;[7 0 4 7 10];;;
32;[7 0 4 7 10];[7 0 4 7 10];;
33;[0 0 3 7];[0 0 3 7];;
34;[0 0 3 7];;;
35;[0 0 3 7];;;
grouping;36;-------;-------;-------
36;[0 0 3 7];[0 0 3 7];;
37;[0 0 3 7 11];;;
38;[0 0 3 7];;;
39;[5 0 3 7 10];[5 0 3 7 10];;
40;[5 0 3 7 10 21];;;
41;[5 0 3 7 10];;;
42;[2 0 4 7 10];[2 0 4 7 10];;
43;[11 0 3 7 10 13];;;
44;[2 0 4 7 10];;;
45;[7 0 4 7];[7 0 4 7];;
48;[7 0 4 7];[7 0 4 7];;
grouping;49;-------;-------;-------
49;[7 0 4 7];;;
50;[7 0 4 7 11];;;
51;[0 0 3 7];[0 0 3 7];;
52;[0 0 3 7];;;
53;[0 0 3 7];[0 0 3 7];;
54;[7 0 4 7 10];[7 0 4 7 10];;
55;[7 0 4 7 10];;;
56;[7 0 4 7 10];[7 0 4 7 10];;
57;[0 0 3 7];[0 0 3 7];;
59;[0 0 3 7];;;
60;[0 0 3 7];[0 0 3 7];;
grouping;61;-------;-------;-------
61;[0 0 3 7];;;
62;[0 0 3 7 11];;;
63;[0 0 4 7 10];[0 0 4 7 10];;
64;[0 0 4 7 10];;;
65;[4 0 4 8 15 18];;;
66;[0 0 4 7 10];[0 0 4 7 10];;
67;[4 0 4 8 15 18];;;
68;[0 0 4 7 10];;;
69;[5 0 3 7];[5 0 3 7];;
72;[5 0 3 7];[5 0 3 7];;
grouping;73;-------;-------;-------
73;[5 0 3 7];;;
74;[5 0 3 7 9];;;
75;[5 0 3 7];[5 0 3 7];;
76;[5 0 3 7 10];;;
77;[5 0 3 7 9];;;
78;[5 0 3 7];[5 0 3 7];;
79;[5 0 3 7 17];;;
80;[5 0 3 7];;;
81;[8 0 4 7 11];[0 0 3 7];;
82;[0 0 3 7];;;
83;[0 0 3 7];;;
84;[0 0 3 7];[0 0 3 7];;
85;[0 0 3 7 14];;;
86;[0 0 3 7];;;
grouping;87;-------;-------;-------
87;[7 0 4 7 10];[7 0 4 7 10];;
88;[7 0 4 7 10];;;
89;[7 0 4 7 10 17];;;
90;[7 0 4 7 10];[7 0 4 7 10];;
91;[7 0 4 7 10 17];;;
92;[7 0 4 7 10];;;
93;[0 0 3 7];[0 0 3 7];;
grouping;96;-------;-------;-------
96;[0 0];[0 0];;
97;[11 0];;;
98;[9 0];;;
tonality;9;[0 2 4 5 7 9 11];-------;-------
99;[7 0 4 7 10 14];[7 0 4 7 10];;
99.5;[7 0 4 7 10];;;
100;[7 0 4 7 10];;;
100.5;[7 0 4 7 11 22];;;
101;[7 0 4 7 10];;;
102;[7 0 4 7 10];[7 0 4 7 10];;
103;[7 0 4 7 10 14];;;
104;[7 0 4 7 10];;;
105;[0 0 4 7 14];[0 0 4 7];;
105.5;[0 0 4 7];;;
106;[0 0 4 7];;;
106.5;[0 0 4 7 11];;;
107;[0 0 4 7];;;
grouping;108;-------;-------;-------
108;[0 0 4 7];[0 0 4 7];;
109;[0 0 4 7];;;
110;[0 0 4 7];;;
111;[4 0 4 7 8 10];[4 0 4 7 10];;
111.5;[4 0 4 7 10];;;
112;[4 0 4 7 10];;;
112.5;[4 0 4 7 10 18];;;
113;[4 0 4 7 10];;;
113.5;[4 0 4 7 8 10];;;
114;[4 0 4 7 10];[4 0 4 7 10];;
114.5;[4 0 4 7 11 22];;;
115;[4 0 4 7 10];;;
116;[4 0 4 7 8 10];;;
117;[9 0 3 7 14];[9 0 3 7];;
118;[9 0 3 7];;;
grouping;120;-------;-------;-------
120;[9 0 3 7];[9 0 3 7];;
121;[9 0 3 7 14];;;
122;[9 0 3 7];;;
123;[5 0 4 7];[5 0 4 7];;
124;[5 0 4 7 18];;;
125;[5 0 4 7];;;
126;[2 0 4 7 10 13];[2 0 4 7 10 13];;
127;[6 0 3 7 9 18];;;
128;[2 0 4 7 10 13];;;
129;[0 0 4 7 17];[0 0 4 7];;
130;[0 0 4 7];;;
131;[0 0 4 7];;;
grouping;132;-------;-------;-------
132;[5 0 4 8 11 14];[9 0 4 7 10];;
133;[9 0 4 7 10];;;
134;[9 0 4 7 10 18];;;
135;[2 0 4 7 14];[2 0 4 7];;
136;[2 0 4 7];;;
137;[2 0 4 7];;;
