time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;2;[0 2 3 5 7 8 10];-------;-------
grouping;0;-------;-------;-------
0;[0 0 3 7];[0 0 3 7];;
3;[0 0 3 7 10];[0 0 3 7 10];;
6;[8 0 4 7 11];[8 0 4 7 11];;
9;[0 0 3 7];[0 0 3 7];;
12;[8 0 4 7 11];[8 0 4 7 11];;
14;[0 0 3 7];;;
15;[8 0 4 7 11];[8 0 4 7 11];;
16.5;[0 0 3 7];;;
17;[0 0 3 7 17];;;
17.5;[0 0 3 7];;;
18;[1 0 4 7];[1 0 4 7];;
21;[1 0 4 7 13];[1 0 4 7 13];;
grouping;24;-------;-------;-------
24;[1 0 4 7];[1 0 4 7];;
27;[1 0 4 7];[1 0 4 7];;
30;[0 0 3 7];[0 0 3 7];;
33;[0 0 3 7];[0 0 3 7];;
36;[2 0 4 7 10];[2 0 4 7 10];;
39;[2 0 4 7 10];[2 0 4 7 10];;
42;[7 0 4 7 10];[7 0 4 7 10];;
45;[7 0 4 7 10];[7 0 4 7 10];;
48;[2 0 4 7];[2 0 4 7];;
51;[7 0 4 7 10];[7 0 4 7 10];;
54;[0 0 3 7];[0 0 3 7];;
57;[0 0 3 7];[0 0 3 7];;
60;[0 0 3 7];[0 0 3 7];;
61.5;[0 0 3 7];;;
62;[0 0 3 7];;;
62.5;[0 0 3 7];;;
63;[0 0 3 7];;;
63.5;[0 0 3 7];;;
tonality;2;[0 2 4 5 7 9 11];-------;-------
grouping;64;-------;-------;-------
64;[0 0 4 7];[0 0 4 7];;
65.5;[0 0 4 7];;;
66;[0 0 4 7];;;
67.5;[0 0 4 7];;;
68;[7 0 4 7];[7 0 4 7];;
69.5;[7 0 4 7];;;
70;[7 0 4 7];;;
70.5;[7 0 4 7 11];;;
71;[7 0 4 7];;;
71.5;[7 0 4 7 14];;;
72;[10 0 4 7];[10 0 4 7];;
72.5;[10 0 4 7];;;
73.5;[10 0 4 7];;;
74;[9 0 4 7 10];[9 0 4 7 10];;
74.5;[9 0 4 7 10];;;
75;[9 0 4 7 10];;;
75.5;[9 0 4 7 10];;;
76;[2 0 3 7];[2 0 3 7];;
grouping;77.5;-------;-------;-------
77.5;[2 0 3 7];;;
78;[2 0 3 7];;;
78.5;[2 0 3 7];;;
79;[2 0 3 7];;;
79.5;[2 0 3 7];;;
80;[2 0 3 7];[2 0 3 7];;
80.5;[2 0 3 7];;;
81.5;[2 0 3 7];;;
82;[7 0 4 7 10];[7 0 4 7 10];;
82.5;[7 0 4 7 10];;;
83;[7 0 4 7 10];;;
83.5;[7 0 4 7 10];;;
84;[0 0 4 7];[0 0 4 7];;
85.5;[0 0 4 7];;;
86;[5 0 4 7 11];[9 0 3 7];;
86.5;[9 0 3 7];;;
87;[5 0 4 7 11];;;
87.5;[9 0 3 7];;;
88;[2 0 3 7];[2 0 3 7];;
89.5;[2 0 3 7];;;
90;[4 0 3 7 10 13];[7 0 4 7 10];;
90.5;[7 0 4 7 10];;;
91;[4 0 3 7 10 13];;;
91.5;[7 0 4 7 10];;;
92;[0 0 4 7];[0 0 4 7];;
grouping;93.5;-------;-------;-------
93.5;[0 0 4 7];;;
94;[0 0 4 7];[0 0 4 7];;
94.5;[0 0 4 7];;;
95;[0 0 4 7];;;
95.5;[0 0 4 7];;;
96;[0 0 4 7];[0 0 4 7];;
97.5;[0 0 4 7];;;
98;[0 0 4 7];;;
99.5;[0 0 4 7];;;
100;[7 0 4 7];[7 0 4 7];;
101.5;[7 0 4 7];;;
102;[7 0 4 7];;;
102.5;[7 0 4 7 11];;;
103;[7 0 4 7];;;
103.5;[7 0 4 7 14];;;
104;[10 0 4 7];[10 0 4 7];;
104.5;[10 0 4 7];;;
105.5;[10 0 4 7];;;
106;[9 0 4 7 10];[9 0 4 7 10];;
106.5;[9 0 4 7 10];;;
107;[9 0 4 7 10];;;
107.5;[9 0 4 7 10];;;
108;[2 0 3 7];[2 0 3 7];;
grouping;109.5;-------;-------;-------
109.5;[2 0 3 7];;;
110;[2 0 3 7];;;
110.5;[2 0 3 7];;;
111;[2 0 3 7];;;
111.5;[2 0 3 7];;;
112;[2 0 3 7];[2 0 3 7];;
112.5;[2 0 3 7];;;
113.5;[2 0 3 7];;;
114;[7 0 4 7 10];[7 0 4 7 10];;
114.5;[7 0 4 7 10];;;
115;[7 0 4 7 10];;;
115.5;[7 0 4 7 10];;;
116;[0 0 4 7];[0 0 4 7];;
