time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;0;[0 2 3 5 7 8 10];-------;-------
grouping;0;-------;-------;-------
0;[0 0 3 7];[0 0 3 7];;
0.5;[0 0 3 7];;;
0.75;[0 0 3 7];;;
1;[0 0 3 7 14];;;
1.5;[0 0 3 7];;;
1.75;[0 0 3 7 14];;;
2;[7 0 4 7 10 17];[7 0 4 7 10];;
2.5;[7 0 4 7 10];;;
2.75;[7 0 4 7 10];;;
3;[7 0 4 7 10 17];;;
3.5;[7 0 4 7 10];;;
4;[5 0 3 7];[5 0 3 7];;
4.25;[5 0 3 7];;;
4.5;[5 0 3 7];;;
4.75;[5 0 3 7 18];;;
5;[5 0 3 7 17];[5 0 3 7];;
5.5;[5 0 3 7];;;
5.75;[5 0 3 7 17];;;
6;[3 0 4 7 17];[3 0 4 7];;
6.5;[3 0 4 7];;;
6.75;[3 0 4 7];;;
7;[3 0 4 7 17];;;
7.5;[3 0 4 7];;;
grouping;8;-------;-------;-------
8;[5 0 3 7];[5 0 3 7];;
8.25;[5 0 3 7];;;
8.5;[5 0 3 7 14];;;
8.75;[5 0 3 7];;;
9;[5 0 3 7 14];;;
9.25;[5 0 3 7];;;
9.5;[5 0 3 7 14];;;
9.75;[5 0 3 7];;;
10;[0 0 3 7];[0 0 3 7];;
10.25;[0 0 3 7];;;
10.5;[0 0 3 7 17];;;
10.75;[0 0 3 7];;;
11;[0 0 3 7 17];;;
11.25;[0 0 3 7];;;
11.5;[0 0 3 7 17];;;
11.75;[0 0 3 7];;;
12;[2 0 4 7 10];[2 0 4 7 10];;
12.25;[2 0 4 7 10];;;
12.5;[2 0 4 7 10 13];;;
12.75;[2 0 4 7 10];;;
13;[2 0 4 7 10 13];;;
13.25;[2 0 4 7 10];;;
13.5;[2 0 4 7 10 13];;;
13.75;[2 0 4 7 10];;;
14;[3 0 4 8 11 14];[7 0 4 7 10];;
14.25;[7 0 4 7 10];;;
14.5;[7 0 4 7 10];;;
14.75;[4 0 3 7 10 13];;;
15;[3 0 4 8 11 14];;;
15.5;[7 0 4 7 10];;;
grouping;16;-------;-------;-------
16;[0 0 3 7];[0 0 3 7];;
16.25;[0 0 3 7];;;
16.5;[0 0 3 7];;;
16.75;[0 0 3 7];;;
17;[0 0 3 7 14];;;
17.5;[0 0 3 7];;;
17.75;[0 0 3 7 14];;;
18;[7 0 4 7 10 17];[7 0 4 7 10];;
18.5;[7 0 4 7 10];;;
18.75;[7 0 4 7 10];;;
19;[7 0 4 7 10 17];;;
19.5;[7 0 4 7 10];;;
20;[5 0 3 7];[5 0 3 7];;
20.25;[5 0 3 7];;;
20.5;[5 0 3 7];;;
20.75;[5 0 3 7 18];;;
21;[5 0 3 7 17];[5 0 3 7];;
21.5;[5 0 3 7];;;
21.75;[5 0 3 7 17];;;
22;[8 0 4 7 11];[0 0 3 7];;
22.5;[0 0 3 7];;;
22.75;[0 0 3 7 10];;;
23;[8 0 4 7 11];;;
23.5;[0 0 3 7];;;
grouping;24;-------;-------;-------
24;[1 0 4 7];[1 0 4 7];;
24.25;[1 0 4 7];;;
24.5;[1 0 4 7 18];;;
24.75;[1 0 4 7];;;
25;[1 0 4 7 18];;;
25.25;[1 0 4 7];;;
25.5;[1 0 4 7 18];;;
25.75;[1 0 4 7];;;
26;[0 0 3 7];[0 0 3 7];;
26.25;[0 0 3 7];;;
26.5;[0 0 3 7 17];;;
26.75;[0 0 3 7];;;
27;[0 0 3 7 17];;;
27.25;[0 0 3 7];;;
27.5;[0 0 3 7 17];;;
27.75;[0 0 3 7];;;
28;[8 0 4 7];[8 0 4 7];;
28.25;[8 0 4 7 18];;;
28.5;[8 0 4 7];;;
28.75;[8 0 4 7 18];;;
29;[3 0 4 8 11 14];[7 0 4 7 10];;
29.25;[7 0 4 7 10];;;
29.5;[7 0 4 7 10 17];;;
29.75;[7 0 4 7 10];;;
30;[0 0 3 7];[0 0 3 7];;
tonality;0;[0 2 4 5 7 9 11];-------;-------
grouping;32;-------;-------;-------
32;[0 0 4 7];[0 0 4 7];;
32.25;[0 0 4 7];;;
32.5;[0 0 4 7];;;
32.75;[0 0 4 7 11];;;
33;[0 0 4 7 11];;;
33.25;[9 0 3 7 10];;;
33.5;[9 0 3 7 10];;;
33.75;[0 0 4 7 11];;;
34;[0 0 4 7 11];[0 0 4 7 11];;
34.75;[0 0 4 7];;;
35;[0 0 4 7];;;
35.75;[0 0 4 7 11];;;
36;[11 0 4 7 10 13];[9 0 3 6 9];;
36.75;[9 0 3 6 9];;;
37;[8 0 4 7 10 13];;;
37.75;[9 0 3 6 9];;;
38;[2 0 3 7 10];[2 0 3 7 10];;
38.5;[2 0 3 7 10 21];;;
grouping;40;-------;-------;-------
40;[7 0 4 7 10];[7 0 4 7 10];;
40.25;[7 0 4 7 10];;;
40.5;[7 0 4 7 10];;;
40.75;[4 0 3 7 10 13];;;
41;[4 0 3 7 10 13];;;
41.25;[7 0 4 7 10];;;
41.5;[7 0 4 7 10];;;
41.75;[7 0 4 7 10];;;
42;[7 0 4 7 10 13];[7 0 4 7 10 13];;
42.75;[7 0 4 7 10];;;
43;[7 0 4 7 10];;;
43.75;[7 0 4 7 11 22];;;
44;[7 0 4 7 11 22];[7 0 4 7 10];;
44.75;[7 0 4 7 10];;;
45;[7 0 4 7 10];;;
45.75;[7 0 4 7 10];;;
46;[0 0 4 7 17];[0 0 4 7];;
46.5;[0 0 4 7];;;
grouping;48;-------;-------;-------
48;[0 0 4 7];[0 0 4 7];;
48.25;[0 0 4 7];;;
48.75;[0 0 4 7 11];;;
49;[0 0 4 7 11];;;
49.25;[9 0 3 7 10];;;
49.5;[9 0 3 7 10];;;
49.75;[0 0 4 7 11];;;
50;[0 0 4 7 11];[0 0 4 7 11];;
50.75;[0 0 4 7];;;
51;[0 0 4 7];;;
51.75;[0 0 4 7 10];;;
52;[9 0 4 7 10 13];[9 0 4 7 10 13];;
52.75;[9 0 4 7 10];;;
53;[9 0 4 7 10];;;
53.75;[9 0 3 7 10 16];;;
54;[10 0 4 7 11];[2 0 3 7];;
55;[2 0 3 7];;;
grouping;56;-------;-------;-------
56;[2 0 3 7];[7 0 4 7];;
56.25;[2 0 3 7];;;
56.75;[2 0 3 7 14];;;
