time;surface;reduction;melodyPC;melodyMIDI
;;;;
1.5;;[6 0];;
tonality;2;[0 2 4 5 7 9 11];-------;-------
grouping;2;-------;-------;-------
2;[0 0 4 7];[0 0 4 7];;
1.75;[0 0 4 7];;;
2;[0 0 4 7];;;
2.5;[0 0 4 7];;;
2.75;[0 0 4 7];;;
3;[0 0 4 7];;;
3.5;[0 0 4 7];;;
3.75;[0 0 4 7];;;
4;[0 0 4 7];[0 0 4 7];;
4.5;[0 0 4 7];;;
5.5;[0 0 4 7];;;
5.75;[0 0 4 7 17];;;
6;[0 0 4 7];[0 0 4 7];;
6.25;[0 0 4 7];;;
6.5;[0 0 4 7];;;
6.75;[0 0 4 7];;;
7;[9 0 3 7 10];[9 0 3 7 10];;
7.25;[0 0 4 7];;;
7.5;[0 0 4 7 17];;;
7.75;[0 0 4 7];;;
8;[7 0 4 7 10];[7 0 4 7 10];;
9.5;[7 0 4 7 10];[7 0 4 7 10];;
9.75;[7 0 4 7 10];;;
grouping;10;-------;-------;-------
10;[7 0 4 7 10 14];[7 0 4 7 10 14];;
10.5;[7 0 4 7 10];;;
10.75;[7 0 4 7 10];;;
11;[7 0 4 7 10 14];;;
11.5;[7 0 4 7 10];;;
11.75;[7 0 4 7 10];;;
12;[7 0 4 7 10 14];[7 0 4 7 10];;
12.5;[7 0 4 7 10];;;
13.5;[7 0 4 7 10];;;
13.75;[7 0 4 7 10];;;
14;[7 0 4 7 10 14];[7 0 4 7 10 14];;
14.25;[7 0 4 7 10 14];;;
14.5;[7 0 4 7 10 14];;;
14.75;[7 0 4 7 10 14];;;
15;[7 0 4 7 10 17];[7 0 4 7 10 17];;
15.25;[7 0 4 7 10 17];;;
15.5;[7 0 4 7 10];;;
15.75;[7 0 4 7 10 14];;;
16;[0 0 4 7];[0 0 4 7];;
17.5;[0 0 4 7];[0 0 4 7];;
17.75;[0 0 4 7];;;
grouping;18;-------;-------;-------
18;[0 0 4 7];[0 0 4 7];;
18.5;[0 0 4 7];;;
18.75;[0 0 4 7];;;
19;[0 0 4 7];;;
19.5;[0 0 4 7];;;
19.75;[0 0 4 7];;;
20;[0 0 4 7];[0 0 4 7];;
20.5;[0 0 4 7];;;
21.5;[0 0 4 7];;;
21.75;[0 0 4 7 17];;;
22;[9 0 4 7 10];[9 0 4 7 10];;
22.25;[9 0 4 7 10];;;
22.5;[9 0 4 7 10];;;
22.75;[9 0 4 7 10];;;
23;[9 0 4 7 10];;;
23.25;[9 0 4 7 10];;;
23.5;[1 0 4 8 15 18];;;
23.75;[9 0 4 7 10];;;
24;[2 0 3 7];[2 0 3 7];;
25.5;[2 0 3 7];[2 0 3 7];;
25.75;[2 0 3 7 14];;;
grouping;26;-------;-------;-------
26;[7 0 4 7 10];[7 0 4 7 10];;
26.25;[7 0 4 7 10 18];;;
26.5;[7 0 4 7 10];;;
26.75;[4 0 3 7 10 13];;;
27;[7 0 4 7 10];[7 0 4 7 10];;
27.25;[7 0 4 7 10];;;
27.5;[7 0 4 7 10 14];;;
27.75;[7 0 4 7 10];;;
28;[0 0 4 7 14];[0 0 4 7];;
28.5;[0 0 4 7];;;
29;;[0 0 4 7];;
29.25;[0 0 4 7];;;
29.5;[0 0 4 7 18];;;
29.75;[0 0 4 7];;;
30;[7 0 4 7 10];[7 0 4 7 10];;
30.25;[7 0 4 7 10 14];;;
30.5;[7 0 4 7 10];;;
30.75;[7 0 4 7 10];;;
31;[4 0 3 7 10 13];[4 0 3 7 10 13];;
31.25;[7 0 4 7 10];;;
31.5;[7 0 4 7 10];[7 0 4 7 10];;
31.75;[7 0 4 7 10];;;
32;[0 0 4 7];[0 0 4 7];;
33.5;[9 0 3 7 10];[9 0 3 7 10];;
