time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;9;[0 2 3 5 7 8 10];-------;-------
1;;[0 0];;
grouping;3;-------;-------;-------
3;[0 0 3 7];[0 0 3 7];;
1.5;[0 0 3 7 14];;;
2;[0 0 3 7];;;
2.5;[0 0 3 7];;;
3;[0 0 3 7];;;
5;[0 0 3 7];[0 0 3 7];;
6;[0 0 3 7];[0 0 3 7];;
7;[0 0 3 7];[0 0 3 7];;
7.5;[0 0 3 7 14];;;
8;[0 0 3 7];;;
8.5;[0 0 3 7];;;
9;[0 0 3 7];[0 0 3 7];;
11;[0 0 3 7];[0 0 3 7];;
12;[0 0 3 7];[0 0 3 7];;
13;[0 0 3 7];[0 0 3 7];;
13.5;[0 0 3 7 14];;;
14;[0 0 3 7];[0 0 3 7];;
14.5;[0 0 3 7];;;
15;[0 0 3 7];[0 0 3 7];;
15.5;[0 0 3 7];;;
16;[0 0 3 7];[0 0 3 7];;
16.5;[0 0 3 7 14];;;
17;[0 0 3 7];[0 0 3 7];;
17.5;[0 0 3 7];;;
18;[0 0 3 7];[0 0 3 7];;
18.5;[0 0 3 7];;;
19;[0 0 3 7];[0 0 3 7];;
19.5;[0 0 3 7 14];;;
20;[0 0 3 7];[0 0 3 7];;
20.5;[0 0 3 7];;;
21;[5 0 3 7 10];[5 0 3 7 10];;
23;[5 0 3 7];[5 0 3 7];;
24;[5 0 3 7];[5 0 3 7];;
25;[5 0 3 7 9];[5 0 3 7 9];;
25.5;[5 0 3 7 10];;;
26;[5 0 3 7];;;
26.5;[5 0 3 7 9];;;
grouping;27;-------;-------;-------
27;[7 0 4 7 10];[7 0 4 7 10];;
29;[7 0 4 7 10];[7 0 4 7 10];;
30;[7 0 4 7 10];[7 0 4 7 10];;
31;[7 0 4 7 10];[7 0 4 7 10];;
31.5;[3 0 4 8 11 14];;;
32;[7 0 4 7 10];;;
32.5;[7 0 4 7 10];;;
33;[0 0 3 7];[0 0 3 7];;
35;[0 0 3 7];[0 0 3 7];;
36;[0 0 3 7];[0 0 3 7];;
37;[0 0 3 7];[0 0 3 7];;
37.5;[0 0 3 7 14];;;
38;[0 0 3 7];;;
38.5;[0 0 3 7];;;
39;[2 0 4 7 10];[2 0 4 7 10];;
39.5;[2 0 4 7 10];;;
40;[2 0 4 7 10 18];;;
40.5;[2 0 4 7 10];;;
41;[2 0 4 7 10 13];;;
41.5;[2 0 4 7 10];;;
42;[2 0 4 7 10];[2 0 4 7 10];;
42.5;[2 0 4 7 10];;;
43;[2 0 4 7 10 18];;;
43.5;[2 0 4 7 10];;;
44;[2 0 4 7 10 13];;;
44.5;[2 0 4 7 10];;;
45;[7 0 4 7];[7 0 4 7];;
48;[2 0 4 7];[2 0 4 7];;
49;[2 0 4 7];;;
50.5;[2 0 4 7 13];;;
51;[7 0 4 7];[7 0 4 7];;
52;[7 0 4 7];;;
53.5;[3 0 4 8 11];;;
54;[0 0 3 7];[0 0 3 7];;
57;[0 0 3 7];[0 0 3 7];;
58;[0 0 3 7];[0 0 3 7];;
59;[0 0 3 7 9];[0 0 3 7 9];;
tonality;9;[0 2 4 5 7 9 11];-------;-------
grouping;60;-------;-------;-------
60;[9 0 3 7 10];[9 0 3 7 10];;
63;[9 0 3 7 10];[9 0 3 7 10];;
64;[0 0 4 7];;;
65;[0 0 4 7];;;
66;[0 0 4 7];[0 0 4 7];;
69;[0 0 4 7];[0 0 4 7];;
70;[0 0 4 7 15];;;
71;[0 0 4 7];;;
72;[5 0 4 8 11 14];[9 0 4 7 10];;
73;[9 0 4 7 10];;;
74;[9 0 4 7 10 18];;;
75;[5 0 4 8 11 14];[9 0 4 7 10];;
76;[9 0 4 7 10];;;
77;[9 0 4 7 10 18];;;
78;[2 0 4 7 14];[2 0 4 7 14];;
80;[2 0 4 7];;;
81;[2 0 4 7];[2 0 4 7];;
82;[2 0 4 7 18];;;
83;[2 0 4 7];;;
grouping;84;-------;-------;-------
84;[4 0 3 7 10 13];[4 0 3 7 10 13];;
85;[7 0 4 7 10];;;
86;[7 0 4 7 10 18];;;
87;[4 0 3 7 10 13];[4 0 3 7 10 13];;
88;[7 0 4 7 10];;;
89;[7 0 4 7 10 18];;;
90;[0 0 4 7 14];[0 0 4 7 14];;
92;[0 0 4 7];;;
93;[0 0 4 7];[0 0 4 7];;
94;[0 0 4 7 11];;;
95;[0 0 4 7 10];;;
96;[11 0 4 7 10 13];[11 0 4 7 10];;
97;[11 0 4 7 10];;;
98;[11 0 3 7 10 16];;;
99;[11 0 4 7 10 13];[11 0 4 7 10];;
100;[11 0 4 7 10];;;
101;[11 0 4 7 10];;;
102;[4 0 3 7];[4 0 3 7];;
105;[7 0 4 7 10];[7 0 4 7 10];;
106;[7 0 4 7 10];[7 0 4 7 10];;
107;[7 0 4 7 10 14];[7 0 4 7 10 14];;
grouping;108;-------;-------;-------
108;[9 0 3 7 10];[9 0 3 7 10];;
111;[9 0 3 7 10];[9 0 3 7 10];;
112;[0 0 4 7];;;
113;[0 0 4 7];;;
114;[0 0 4 7];[0 0 4 7];;
117;[0 0 4 7];[0 0 4 7];;
118;[0 0 4 7 15];;;
119;[0 0 4 7];;;
120;[5 0 4 8 11 14];[9 0 4 7 10];;
121;[9 0 4 7 10];;;
122;[9 0 4 7 10];;;
123;[5 0 4 8 11 14];[9 0 4 7 10];;
124;[9 0 4 7 10];;;
125;[9 0 4 7 10 18];;;
126;[2 0 3 7 14];[2 0 3 7];;
128;[2 0 3 7];;;
129;[2 0 3 7];[2 0 3 7];;
