time;surface;reduction;melodyPC;melodyMIDI
;;;;
1.75;;[9 0];;
tonality;9;[0 2 4 5 7 9 10];-------;-------
grouping;2;-------;-------;-------
2;[0 0 4 7 10];[0 0 4 7 10];;
2.25;[9 0 3 7 10 13];;;
2.5;[0 0 4 7 10];;;
2.75;[9 0 3 7 10 13];;;
3;[0 0 4 7 10];;;
3.25;[9 0 3 7 10 13];;;
3.5;[0 0 4 7 10];;;
3.75;[9 0 3 7 10 13];;;
4;[0 0 4 7 10];[0 0 4 7 10];;
5.75;[0 0 4 7 10];[0 0 4 7 10];;
6;[5 0 4 7];[5 0 4 7];;
6.25;[5 0 4 7 17];;;
6.5;[5 0 4 7];;;
6.75;[5 0 4 7 17];;;
7;[5 0 4 7];;;
7.25;[5 0 4 7 17];;;
7.5;[5 0 4 7];;;
7.75;[5 0 4 7 17];;;
8;[5 0 4 7];[5 0 4 7];;
9.75;[5 0 4 7];[5 0 4 7];;
10;[10 0 4 7];[10 0 4 7];;
10.25;[10 0 4 7 18];;;
10.5;[10 0 4 7];;;
11;[10 0 4 7];;;
11.25;[10 0 4 7 18];;;
11.5;[10 0 4 7];;;
11.75;[7 0 3 7 10];;;
12;[9 0 3 7];[9 0 3 7];;
12.25;[9 0 3 7 17];;;
12.5;[9 0 3 7];;;
13;[9 0 3 7];;;
13.5;[9 0 3 7];;;
14;[7 0 3 7];[7 0 3 7];;
14.25;[7 0 3 7 17];;;
14.5;[7 0 3 7];;;
14.75;[7 0 3 7 14];;;
15;[7 0 3 7];;;
15.25;[7 0 3 7 14];;;
15.5;[7 0 3 7];;;
15.75;[7 0 3 7];;;
16;[0 0 4 7 10];[0 0 4 7 10];;
17.5;[0 0 4 7 10];[0 0 4 7 10];;
17.75;[4 0 4 8 15 18];;;
tonality;2;[0 2 3 5 7 8 9];-------;-------
grouping;18;-------;-------;-------
18;[5 0 3 7];[5 0 3 7];;
18.25;[5 0 3 7 10];;;
18.5;[5 0 3 7 9];;;
18.75;[5 0 3 7 10];;;
19;[5 0 3 7];;;
19.25;[5 0 3 7 10];;;
19.5;[5 0 3 7 9];;;
19.75;[5 0 3 7 10];;;
20;[5 0 3 7];[5 0 3 7];;
21.75;[5 0 3 7 14];[5 0 3 7 14];;
22;[0 0 3 7];[0 0 3 7];;
22.25;[0 0 3 7 17];;;
22.5;[0 0 3 7];;;
22.75;[0 0 3 7 17];;;
23;[0 0 3 7];;;
23.25;[0 0 3 7 17];;;
23.5;[0 0 3 7];;;
23.75;[0 0 3 7 17];;;
24;[0 0 3 7];[0 0 3 7];;
25.75;[8 0 4 7 11];[8 0 4 7 11];;
26;[5 0 3 7];[5 0 3 7];;
26.25;[5 0 3 7 10];;;
26.5;[5 0 3 7 9];;;
26.75;[5 0 3 7 10];;;
27;[5 0 3 7];;;
27.75;[5 0 3 7 9];;;
28;[0 0 3 7];[0 0 3 7];;
28.25;[0 0 3 7 14];;;
28.5;[0 0 3 7];;;
28.75;[0 0 3 7 14];;;
29;[0 0 3 7];;;
29.75;[0 0 3 7];;;
30;[8 0 4 7];[8 0 4 7];;
30.25;[8 0 4 7];;;
30.5;[8 0 4 7];;;
30.75;[5 0 3 7 10];;;
31;[2 0 4 7];[2 0 4 7];;
31.25;[2 0 4 7];;;
31.5;[7 0 4 7 10];[7 0 4 7 10];;
31.75;[7 0 4 7 10];;;
32;[0 0 3 7];[0 0 3 7];;
33.5;[0 0 3 7];[0 0 3 7];;
33.75;[0 0 3 7 17];;;
grouping;34;-------;-------;-------
34;[0 0 3 7];[0 0 3 7];;
36;[0 0 3 7];[0 0 3 7];;
36.5;[0 0 3 7];;;
36.75;[0 0 3 7];;;
37;[0 0 3 7];;;
37.25;[0 0 3 7 14];;;
37.5;[0 0 3 7];;;
37.75;[0 0 3 7 11];;;
38;[0 0 3 7 14];[0 0 3 7];;
38.5;[0 0 3 7];;;
39;[0 0 3 7];;;
39.75;[0 0 3 7];;;
40;[0 0 3 7];[0 0 3 7];;
40.25;[0 0 3 7 11];;;
40.5;[0 0 3 7 10];;;
40.75;[0 0 3 7 9];;;
41;[0 0 4 7 8 10];[0 0 4 7 10];;
41.25;[0 0 4 7 10];;;
41.5;[0 0 4 7 10 17];;;
41.75;[0 0 4 7 10];;;
42;[5 0 3 7];[5 0 3 7];;
43.5;[5 0 3 7];[5 0 3 7];;
43.75;[5 0 3 7 18];;;
44;[5 0 3 7];[5 0 3 7];;
44.25;[5 0 3 7];;;
44.5;[5 0 3 7];;;
44.75;[5 0 3 7 18];;;
45;[10 0 4 7 10 14];[10 0 4 7 10 14];;
45.25;[10 0 4 7 10];;;
45.5;[10 0 4 7 10 14];;;
45.75;[10 0 4 7 10 13];;;
46;[0 0 3 7 10];[0 0 3 7 10];;
46.25;[3 0 4 7];;;
46.5;[0 0 3 7 10];;;
46.75;[11 0 4 8 11];;;
47;[8 0 4 7 10 14];[8 0 4 7 10];;
47.25;[8 0 4 7 10 13];;;
47.5;[8 0 4 7 10];;;
47.75;[8 0 4 7 11 22];;;
48;[7 0 4 7 10 13];[7 0 4 7 10];;
48.25;[7 0 4 7 10];;;
48.5;[7 0 4 7 10];;;
48.75;[7 0 4 7 11 22];;;
49;[7 0 4 7 10];[7 0 4 7 10];;
49.25;[7 0 4 7 10];;;
49.5;[7 0 4 7 10];;;
49.75;[4 0 3 7 10 13];;;
50;[0 0 3 7 17];[0 0 3 7];;
50.5;[0 0 3 7];;;
51;[0 0 3 7];;;
