time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;9;[0 2 3 5 7 8 10];-------;-------
grouping;0;-------;-------;-------
0;[0 0 4 7 10 13];[0 0 4 7 10];;
1;[0 0 4 7 10 13];;;
1.5;[0 0 4 7 10];;;
2;[0 0 4 7 10];;;
2.5;[0 0 4 7 10];;;
3;[5 0 3 7 17];[5 0 3 7];;
4;[5 0 3 7];;;
5;[5 0 3 7 14];;;
6;[10 0 4 7 10];[10 0 4 7 10];;
7;[7 0 3 7 10 13];;;
8;[10 0 4 7 10];;;
9;[3 0 4 7 11];[3 0 4 7 11];;
10;[3 0 4 7 11];;;
11;[3 0 4 7 11 14];;;
12;[8 0 4 7 11];[8 0 4 7 11];;
13;[5 0 3 7 10 14];;;
14;[8 0 4 7 11];;;
15;[2 0 3 6 9];[2 0 3 6 9];;
16;[2 0 3 6 9];;;
17;[8 0 3 7 9 18];;;
18;[7 0 4 7 10];[7 0 4 7 10];;
19;[3 0 4 8 11 14];[3 0 4 8 11 14];;
20.5;[3 0 4 8 11 14];;;
21;[0 0 3 7];[0 0 3 7];;
24;[0 0 3 7];[0 0 3 7];;
27;[0 0 3 7];[0 0 3 7];;
30;[0 0 3 7];[0 0 3 7];;
32;[0 0 3 7];[0 0 3 7];;
32.5;[0 0 3 7 17];;;
grouping;33;-------;-------;-------
33;[0 0 3 7];[0 0 3 7];;
34;[0 0 3 7];;;
35;[0 0 3 7];;;
35.5;[0 0 3 7 14];;;
36;[0 0 3 7 10];[0 0 3 7 10];;
37;[0 0 3 7 10];;;
38;[0 0 3 7 10];[0 0 3 7 10];;
38.5;[0 0 3 7 10 17];;;
39;[0 0 3 7 9];[0 0 3 7 9];;
40;[0 0 3 7 9];;;
41;[0 0 3 7 9];;;
41.5;[0 0 3 7 9 14];;;
42;[8 0 4 7 11];[8 0 4 7 11];;
44;[8 0 4 7 11];[8 0 4 7 11];;
44.5;[8 0 4 7 11 14];;;
45;[5 0 3 7];[5 0 3 7];;
46;[5 0 3 7];;;
47;[5 0 3 7];;;
47.5;[5 0 3 7 14];;;
48;[10 0 4 7 10];[10 0 4 7 10];;
49;[10 0 4 7 10];;;
50;[10 0 4 7 10];[10 0 4 7 10];;
50.5;[10 0 4 7 10];;;
51;[7 0 4 6 10];[7 0 4 6 10];;
52;[7 0 4 6 10];;;
53;[7 0 4 6 10];;;
53.5;[7 0 4 6 10];;;
54;[0 0 4 7 10];[0 0 4 7 10];;
grouping;57;-------;-------;-------
57;[5 0 3 7 17];[5 0 3 7];;
58.5;[5 0 3 7];;;
59;[5 0 3 7 14];[5 0 3 7];;
59.5;[5 0 3 7];;;
60;[10 0 4 7 10 17];[10 0 4 7 10 17];;
61;[10 0 4 7 10];[10 0 4 7 10];;
63;[3 0 4 7 17];[3 0 4 7];;
64.5;[3 0 4 7];;;
65;[3 0 4 7 14];[3 0 4 7];;
65.5;[3 0 4 7];;;
66;[8 0 4 7 18];[8 0 4 7 18];;
67;[8 0 4 7];[8 0 4 7];;
69;[7 0 4 7 10 13];[2 0 3 6 9];;
70.5;[2 0 3 6 9];;;
71;[8 0 3 7 9 18];[2 0 3 6 9];;
71.5;[2 0 3 6 9];;;
72;[8 0 4 7 10];[8 0 4 7 10];;
73;[8 0 4 7 10 18];[8 0 4 7 10 18];;
75;[7 0 4 7 10];[7 0 4 7 10];;
78;[7 0 4 7 10];[7 0 4 7 10];;
80;[7 0 4 7 10];[7 0 4 7 10];;
80.5;[7 0 4 7 10];;;
grouping;81;-------;-------;-------
81;[5 0 3 7];[5 0 3 7];;
82.5;[5 0 3 7];;;
83;[5 0 3 7 14];[5 0 3 7];;
83.5;[5 0 3 7];;;
84;[10 0 4 7 10 14];[10 0 4 7 10 14];;
85;[10 0 4 7 10];[10 0 4 7 10];;
87;[7 0 3 7];[7 0 3 7];;
88.5;[7 0 3 7];;;
89;[7 0 3 7 14];[7 0 3 7];;
89.5;[7 0 3 7];;;
90;[0 0 3 7 14];[0 0 3 7 14];;
91;[0 0 3 7];[0 0 3 7];;
93;[0 0 3 6 9];[0 0 3 6 9];;
94.5;[2 0 4 7 10 13];;;
95;[0 0 3 6 9];[0 0 3 6 9];;
95.5;[3 0 3 7 9 18];;;
96;[2 0 4 7 10];[2 0 4 7 10];;
97;[6 0 4 8 15 18];;;
98;[2 0 4 7 10];[2 0 4 7 10];;
98.5;[2 0 4 7 10];;;
99;[7 0 4 7 10];[7 0 4 7 10];;
102;[7 0 4 7 10];[7 0 4 7 10];;
104;[3 0 4 8 11 14];[3 0 4 8 11 14];;
104.5;[3 0 4 8 11 14];;;
grouping;105;-------;-------;-------
105;[0 0 3 7];[0 0 3 7];;
107;[0 0 3 7 14];;;
107.5;[0 0 3 7];;;
108;[0 0 3 7 10];[0 0 3 7 10];;
109;[0 0 3 7 10 14];;;
110;[0 0 3 7 10];;;
111;[0 0 3 7 9];[0 0 3 7 9];;
113;[0 0 3 7 9 14];;;
113.5;[0 0 3 7 9];;;
114;[8 0 4 7 11];[8 0 4 7 11];;
115;[8 0 4 7 11 18];;;
116;[8 0 4 7 11];;;
117;[2 0 4 7 13];[2 0 4 7 13];;
119;[2 0 4 7];;;
119.5;[2 0 4 7 10];;;
120;[7 0 4 7 17];[7 0 4 7];;
121;[7 0 4 7];;;
122;[7 0 4 7];;;
123;[10 0 3 7 10 9 13];[10 0 3 7 10 9 13];;
126;[0 0 4 7 10];[0 0 4 7 10];;
126.5;[0 0 4 7 10 13];;;
127;[0 0 4 7 10 13];;;
127.5;[0 0 4 7 10];;;
