time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;2;[0 2 4 5 7 9 11];-------;-------
grouping;0;-------;-------;-------
0;;[9 0];;
2;[4 0 4 7 10 17];[4 0 4 7 10];;
1;[4 0 4 7 10 17];;;
1.25;[4 0 4 7 10];;;
1.5;[4 0 4 7 10];;;
1.75;[4 0 4 7 10 17];;;
2;[4 0 4 7 10 17];;;
3;[4 0 4 7 10];;;
4;[9 0 4 7 10];[9 0 4 7 10];;
4.5;[9 0 4 7 10];;;
5;[9 0 4 7 10];;;
5.25;[6 0 3 7 10 13];;;
5.5;[9 0 4 7 10];;;
5.75;[9 0 4 7 10];;;
6;[2 0 3 7 17];[2 0 3 7];;
7;[2 0 3 7];;;
8;[5 0 3 7];[5 0 3 7];;
8.5;[5 0 3 7];;;
9;[5 0 3 7 14];;;
9.25;[5 0 3 7];;;
9.5;[5 0 3 7];;;
9.75;[5 0 3 7 9];;;
10;[0 0 4 7];[0 0 4 7];;
10.5;[0 0 4 7];;;
11;[11 0 4 7 10 13];[9 0 3 6 9];;
11.5;[9 0 3 6 9];;;
12;[0 0 4 7];[0 0 4 7];;
12.5;[0 0 4 7];;;
12.75;[0 0 4 7];;;
13;[9 0 3 7 10];[9 0 3 7 10];;
13.5;[0 0 4 7 17];;;
14;[2 0 3 7 10];[2 0 3 7 10];;
15;[7 0 4 7 10];[7 0 4 7 10];;
grouping;16;-------;-------;-------
16;[0 0 4 7];[0 0 4 7];;
16.75;[0 0 4 7];;;
17;[0 0 4 7];;;
17.25;[0 0 4 7];;;
17.5;[0 0 4 7];;;
17.75;[0 0 4 7 11];;;
18;[9 0 3 7 10];[0 0 4 7];;
18.5;[0 0 4 7];;;
19;[4 0 3 7];[4 0 3 7];;
19.5;[4 0 3 7];;;
19.75;[4 0 3 7 10];;;
20;[9 0 3 7 17];[9 0 3 7];;
20.5;[9 0 3 7];;;
20.75;[9 0 3 7];;;
21;[2 0 4 7 10];[2 0 4 7 10];;
21.5;[2 0 4 7 10];;;
21.75;[2 0 4 7 10];;;
22;[7 0 4 7];[7 0 4 7];;
grouping;24;-------;-------;-------
24;[7 0 4 7];[7 0 4 7 10];;
24.5;[7 0 4 7 10];;;
24.75;[7 0 4 7 10];;;
25;[4 0 4 7 10 13];[4 0 4 7 10 13];;
25.5;[4 0 4 7 10];;;
25.75;[4 0 4 7 10 13];;;
26;[9 0 3 7];[9 0 3 7];;
26.5;[9 0 3 7];;;
26.75;[9 0 3 7 17];;;
27;[9 0 3 7 17];[9 0 3 7];;
27.5;[9 0 3 7];;;
27.75;[9 0 3 7];;;
28;[9 0 3 7];[9 0 3 7];;
28.5;[9 0 3 7];;;
28.75;[9 0 3 7 17];;;
29;[2 0 4 7 10];[2 0 4 7 10];;
29.5;[2 0 4 7 10 18];;;
29.75;[2 0 4 7 10];;;
30;[7 0 4 7];[7 0 4 7];;
grouping;32;-------;-------;-------
32;[7 0 4 7];[7 0 4 7 17];;
32.5;[7 0 4 7];;;
33;[7 0 4 7 17];;;
33.25;[4 0 3 7 10];;;
33.5;[7 0 4 7];;;
33.75;[7 0 4 7];;;
34;[9 0 3 7 10];[0 0 4 7];;
34.5;[0 0 4 7];;;
34.75;[0 0 4 7];;;
35;[0 0 4 7];;;
35.5;[0 0 4 7 18];;;
35.75;[0 0 4 7];;;
36;[4 0 3 6 9];[4 0 3 6 9];;
36.5;[4 0 3 6 9];;;
36.75;[4 0 3 6 9];;;
37;[4 0 3 6 9];;;
37.5;[6 0 4 7 10 13];;;
37.75;[4 0 3 6 9];;;
38;[7 0 4 7];[7 0 4 7];;
grouping;40;-------;-------;-------
40;[4 0 4 7 10];[4 0 4 7 10];;
40.5;[4 0 4 7 10];;;
40.75;[0 0 4 8 11 14];;;
41;[4 0 4 7 10];;;
41.5;[4 0 4 7 11 22];;;
41.75;[4 0 4 7 10];;;
42;[9 0 4 7 14];[9 0 4 7];;
43;[9 0 4 7];;;
44;[2 0 4 7];[2 0 4 7];;
44.5;[2 0 4 7];;;
44.75;[11 0 3 7 10];;;
45;[2 0 4 7];;;
45.5;[2 0 4 7 11];;;
45.75;[2 0 4 7];;;
46;[7 0 4 7 10 14];[7 0 4 7 10 14];;
47;[7 0 4 7 10 13];;;
48;[7 0 4 7 10];[7 0 4 7 10];;
48.75;[7 0 4 7 10];;;
49;[4 0 3 7 10 13];[4 0 3 7 10 13];;
49.25;[4 0 3 7 10 13];;;
49.5;[4 0 3 7 10 13];;;
49.75;[7 0 4 7 10];;;
grouping;50;-------;-------;-------
50;[0 0 4 7 17];[0 0 4 7];;
51;[0 0 4 7];;;
52;[4 0 4 7 10];[4 0 4 7 10];;
52.5;[4 0 4 7 10];;;
53;[4 0 4 7 10];;;
