time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;9;[0 2 3 5 7 8 10];-------;-------
grouping;0;-------;-------;-------
0;[0 0 3 7];[0 0 3 7];;
0.5;[0 0 3 7 14];;;
0.75;[0 0 3 7];;;
1;[0 0 3 7 14];[0 0 3 7];;
1.25;[0 0 3 7];;;
1.5;[0 0 3 7];;;
2;[8 0 4 7];[8 0 4 7];;
2.25;[8 0 4 7];;;
2.5;[8 0 4 7 18];;;
2.75;[8 0 4 7];;;
3;[8 0 4 7 18];[8 0 4 7];;
3.25;[8 0 4 7];;;
3.5;[8 0 4 7];;;
4;[0 0 3 6 9];[0 0 3 6 9];;
4.25;[0 0 3 6 9];;;
4.5;[2 0 4 7 10 13];;;
4.75;[0 0 3 6 9];;;
5;[2 0 4 7 10 13];[0 0 3 6 9];;
5.25;[0 0 3 6 9];;;
5.5;[0 0 3 6 9];;;
6;[0 0 3 7];[0 0 3 7];;
6.25;[0 0 3 7];;;
6.5;[0 0 3 7 14];;;
6.75;[0 0 3 7];;;
7;[0 0 3 7 14];[0 0 3 7];;
7.25;[0 0 3 7];;;
7.5;[0 0 3 7];;;
8;[0 0 3 7];[0 0 3 7];;
8.25;[0 0 3 7];;;
8.5;[0 0 3 7 18];;;
8.75;[0 0 3 7];;;
9;[2 0 4 7 10];[2 0 4 7 10];;
9.5;[2 0 4 7 10];;;
10;[7 0 4 7 17];[7 0 4 7];;
10.25;[7 0 4 7];;;
10.5;[7 0 4 7];;;
12;[10 0 4 7 10];[10 0 4 7 10];;
12.25;[10 0 4 7 10];;;
12.5;[10 0 4 7 10 18];;;
12.75;[10 0 4 7 10];;;
13;[10 0 4 7 10];[10 0 4 7 10];;
13.5;[10 0 4 7 10];;;
14;[3 0 4 7];[3 0 4 7];;
14.25;[3 0 4 7];;;
14.5;[3 0 4 7 15];;;
14.75;[3 0 4 7];;;
15;[7 0 4 7 10 13];[7 0 4 7 10];;
15.25;[7 0 4 7 10];;;
15.5;[7 0 4 7 10];;;
15.75;[7 0 4 7 10 13];;;
grouping;16;-------;-------;-------
16;[0 0 3 7];[0 0 3 7];;
16.25;[0 0 3 7];;;
16.5;[0 0 3 7 14];;;
16.75;[0 0 3 7];;;
17;[0 0 3 7 14];[0 0 3 7];;
17.25;[0 0 3 7];;;
17.5;[0 0 3 7];;;
18;[8 0 4 7];[8 0 4 7];;
18.25;[8 0 4 7];;;
18.5;[8 0 4 7 18];;;
18.75;[8 0 4 7];;;
19;[8 0 4 7 18];[8 0 4 7];;
19.25;[8 0 4 7];;;
19.5;[8 0 4 7];;;
20;[0 0 3 6 9];[0 0 3 6 9];;
20.25;[0 0 3 6 9];;;
20.5;[2 0 4 7 10 13];;;
20.75;[0 0 3 6 9];;;
21;[2 0 4 7 10 13];[0 0 3 6 9];;
21.25;[0 0 3 6 9];;;
21.5;[0 0 3 6 9];;;
22;[0 0 3 7];[0 0 3 7];;
22.25;[0 0 3 7];;;
22.5;[0 0 3 7 14];;;
22.75;[0 0 3 7];;;
23;[0 0 3 7 14];[0 0 3 7];;
23.25;[0 0 3 7];;;
23.5;[0 0 3 7];;;
24;[0 0 3 7];[0 0 3 7];;
24.25;[0 0 3 7];;;
24.5;[0 0 3 7 18];;;
24.75;[0 0 3 7];;;
25;[2 0 4 7 10];[2 0 4 7 10];;
25.5;[2 0 4 7 10];;;
26;[7 0 4 7 17];[7 0 4 7];;
26.25;[7 0 4 7];;;
26.5;[7 0 4 7];;;
28;[7 0 4 7 10];[7 0 4 7 10];;
28.25;[7 0 4 7 10];;;
28.5;[3 0 4 8 11 14];;;
28.75;[7 0 4 7 10];;;
29;[7 0 4 7 10];[7 0 4 7 10];;
29.75;[7 0 4 7 10];;;
30;[0 0 3 7];[0 0 3 7];;
30.25;[0 0 3 7];;;
30.5;[0 0 3 7 14];;;
30.75;[0 0 3 7 17];;;
31;[0 0 3 7];;;
31.25;[0 0 3 7 14];;;
31.75;[0 0 3 7];;;
32;[0 0 3 7 11];[0 0 3 7];;
32.5;[8 0 4 7 11];;;
32.75;[0 0 3 7];;;
33;[0 0 3 7 17];;;
33.5;[0 0 3 7];;;
33.75;[0 0 3 7 14];;;
grouping;34;-------;-------;-------
34;[0 0 3 7];[0 0 3 7];;
36;[0 0 3 7];[8 0 4 7 11];;
36.5;[8 0 4 7 11];;;
36.75;[0 0 3 7];;;
37;[0 0 3 7 10];;;
37.5;[8 0 4 7 11];;;
38;[7 0 4 7 10 13];[7 0 4 7 10];;
39;[7 0 4 7 10];;;
40;[7 0 4 7 10];[7 0 4 7 10];;
40.5;[7 0 4 7 10];;;
41;[7 0 4 7 10 14];;;
41.25;[7 0 4 7 10];;;
41.5;[7 0 4 7 10 17];;;
41.75;[7 0 4 7 10];;;
42;[0 0 3 7];[0 0 3 7];;
43;[0 0 3 7];;;
44;[0 0 3 7];[0 0 3 7];;
44.25;[0 0 3 7];;;
44.5;[0 0 3 7 17];;;
44.75;[0 0 3 7];;;
45;[0 0 3 7 17];;;
45.25;[0 0 3 7];;;
45.5;[0 0 3 7 17];;;
45.75;[0 0 3 7];;;
46;[3 0 4 8 11];[7 0 4 7];;
47;[7 0 4 7];;;
48;[5 0 3 7];[5 0 3 7];;
grouping;50;-------;-------;-------
50;[5 0 3 7];[5 0 3 7 10];;
50.25;[5 0 3 7 10];;;
50.5;[5 0 3 7 10];;;
50.75;[5 0 3 7 9];;;
51;[5 0 3 7 9];;;
51.25;[5 0 3 7];;;
51.5;[5 0 3 7 17];;;
51.75;[5 0 3 7];;;
