time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;0;[0 2 4 5 7 9 11];-------;-------
grouping;4;-------;-------;-------
4;[0 0 4];[0 0 4 7];;
3;[5 0 7];;;
3.5;[0 0 4];;;
4;[0 0 4 7];;;
5;[4 0 3];;;
6;[7 0 10];[5 0 4 14];;
7;[5 0 4 14];;;
7.5;[4 0 3 5 13];;;
8;[0 0 4 7];[0 0 4 7];;
9;[0 0 4 7];;;
10;[0 0];;;
10.5;[7 0];;;
11;[7 0];;;
11.5;[5 0];;;
12;[7 0 3 7];[7 0 3 7 10];;
12.5;[10 0 4];;;
13;[10 0 4 7];;;
14;[10 0 4];;;
15;[7 0 3 7];;;
15.5;[10 0 4 7];;;
16;[0 0 4 7];[0 0 4 7];;
16.25;[5 0 7];;;
16.5;[0 0 4];;;
17;[0 0 4 7];;;
18;[0 0];;;
18.5;[4 0];;;
19;[5 0];;;
19.5;[4 0];;;
grouping;20;-------;-------;-------
20;[0 0 4 7];[0 0 4 7];;
21;[4 0 3];;;
22;[7 0 10];[5 0 4 14];;
23;[5 0 4 14];;;
23.5;[4 0 3 5 13];;;
24;[0 0 4 7];[0 0 4 7];;
25;[0 0 4 7];;;
26;[0 0];;;
26.5;[7 0];;;
27;[7 0];;;
27.5;[5 0];;;
28;[7 0 3 7];[7 0 3 7 10];;
28.5;[10 0 4];;;
29;[10 0 4 7];;;
30;[10 0 4];;;
31;[7 0 3 7];;;
31.5;[10 0 4 7];;;
32;[0 0 4 7];[0 0 4 7];;
32.25;[5 0 7];;;
32.5;[0 0 4];;;
33;[0 0 4 7];;;
34;[0 0];;;
34.5;[0 0];;;
35;[0 0];;;
35.5;[0 0];;;
grouping;36;-------;-------;-------
36;[5 0 4 7];[5 0 4 7];;
36.5;[5 0 3 6];;;
37;[7 0 3];;;
37.5;[5 0 4];;;
38;[5 0 4];[5 0 4 7];;
38.5;[5 0 7];;;
39;[5 0 4 7];;;
39.5;[5 0 4 7];;;
40;[7 0 4 7];[7 0 4 7];;
40.5;[7 0 3 6];;;
41;[9 0 3];;;
41.5;[7 0 4];;;
42;[7 0 4];[7 0 4 7 10];;
42.5;[4 0 3];;;
43;[7 0 4 10];;;
43.5;[4 0 3 7 13];;;
44;[0 0 7];[0 0 4 7];;
44.5;[0 0];;;
45;[0 0 4 7];;;
46;[5 0 4 10];[5 0 4];;
46.5;[5 0 4];;;
47;[5 0 4];;;
48;[0 0 3 7];[0 0 3 7];;
49;[0 0 7];;;
50;[0 0];;;
50.5;[4 0];;;
51;[5 0];;;
51.5;[4 0];;;
52;[0 0 3 7];[0 0 3 7];;
53;[0 0 7];;;
54;[7 0];;;
54.5;[0 0];;;
55.5;[11 0];;;
grouping;56;-------;-------;-------
56;[4 0 7];[4 0 3 7];;
57;[7 0 4];;;
58;[4 0 7];;;
59;[7 0 4];;;
60;[9 0 3 7];[9 0 3 7];;
60.5;[11 0 5 10];;;
61;[9 0 3];;;
61.5;[9 0 3];;;
62;[9 0 7];;;
62.5;[11 0 5 10];;;
63;[9 0 3];;;
63.5;[9 0 3];;;
64;[4 0 7];[4 0 3 7];;
65;[7 0 4];;;
66;[4 0 7];;;
67;[7 0 4];;;
68;[4 0];[4 0 3 7];;
69;[7 0];;;
70;[4 0 3 7];;;
70.5;[4 0 7];;;
71;[7 0 4];;;
71.5;[0 0 7];;;
grouping;72;-------;-------;-------
72;[0 0];[0 0 4 7];;
73;[0 0 4];;;
74;[0 0 7];;;
75;[0 0];;;
76;[9 0 3 7 10];[9 0 3 7];;
76.5;[9 0 3 7 10 14];;;
77;[9 0 3 7 10];;;
77.5;[9 0 3 7 10];;;
78;[9 0 3 7 10];;;
78.5;[9 0 3 7 10 14];;;
79;[0 0 4 7];;;
80;[2 0 3];[2 0 3 7 10 13];;
81;[2 0 7];;;
82;[2 0 3 13];;;
83;[2 0 7];;;
84;[7 0 4 7];[7 0 4 7 10];;
85.5;[7 0 4 7 10];;;
86;[7 0 4 7 10];;;
86.5;[4 0];;;
87;[5 0];;;
87.5;[4 0];;;
grouping;88;-------;-------;-------
88;[0 0 3 7];[0 0 3 7];;
89;[7 0];;;
90;[5 0 4];[5 0 4];;
90.5;[5 0 4 11];;;
91;[5 0 4];;;
91.5;[5 0 4 11];;;
92;[0 0 7];[0 0 4 7];;
92.5;[0 0];;;
93;[0 0 4 7];;;
94;[5 0 4 10];[5 0 4 10];;
94.5;[5 0 4];;;
95;[5 0 4];;;
95.5;[5 0 4 10];;;
96;[0 0 3 7];[0 0 3 7];;
97;[7 0];;;
98;[5 0 4];[5 0 4];;
98.5;[5 0 4 11];;;
99;[5 0 4];;;
99.5;[5 0 4 11];;;
100;[0 0 4 7];[0 0 3 7];;
101;[4 0 3];;;
102;[5 0 4 10 14];[5 0 4 10 14];;
103.5;[7 0 3 7];;;
104;[7 0 3 7];[7 0 3 7 10];;
104.5;[7 0 3 7];;;
105;[2 0 3 5];;;
105.5;[7 0 3 7];;;
106;[7 0 3 7];;;
106.5;[7 0 3 7];;;
107;[2 0 3 5];;;
107.5;[7 0 3 7];;;
108;[7 0 3 7 10];[7 0 3 7 10];;
108.5;[7 0 3 7];;;
109;[2 0 3 5];;;
109.5;[7 0 3 7];;;
110;[7 0 3 7];;;
110.5;[7 0 3 7];;;
111;[2 0 3 5];;;
111.5;[7 0 3 7];;;
112;[0 0 4 7];[7 0 3 7 10 21];;
