time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;5;[0 2 4 5 7 9 11];-------;-------
grouping;4;-------;-------;-------
4;[2 0 3];[2 0 3 7];;
3;[4 0 10];;;
4;[2 0];;;
5;[2 0 3 7];;;
6;[5 0 4 11];[2 0 3 7];;
7;[5 0 4];;;
8;[7 0 4 7];[7 0 4 7 10];;
9;[5 0 4 14];;;
10;[9 0 10];[7 0 10];;
11;[7 0 4 10];;;
12;[0 0];[0 0 4 7];;
13;[0 0 4 7];;;
14;[0 0 4 7];[0 0 4 7];;
15;[4 0 3 7];;;
16;[9 0];[9 0 3 7];;
17;[0 0 4];;;
18;[9 0 7];[9 0 3 7];;
19;[9 0 3 7];;;
20;[5 0 4];[5 0 4];;
21;[5 0 4];;;
22;[5 0 4];[5 0 4];;
23;[5 0 4 14];;;
24;[2 0 3];[2 0 3 7];;
25;[5 0 4];;;
26;[2 0 3 7];[2 0 3 7];;
27;[5 0 4 7];;;
28;[10 0 4];[10 0 4 7];;
29;[10 0 4];;;
30;[10 0 4 7];;;
31;[10 0 4];;;
32;[10 0 4];[10 0 4 7];;
33;[10 0 4 7];;;
34;[2 0 3];;;
35;[2 0 3 14];;;
grouping;36;-------;-------;-------
36;[2 0];[2 0 3 7];;
37;[2 0 3 7];;;
38;[5 0 4 11];[2 0 3 7];;
39;[5 0 4];;;
40;[7 0 4 7];[7 0 4 7 10];;
41;[7 0 10];;;
42;[9 0 10];[7 0 10];;
43;[7 0 4 10];;;
44;[0 0];[0 0 4 7];;
45;[0 0 4 7];;;
46;[0 0 4 7];[0 0 4 7];;
47;[4 0 3 7];;;
48;[9 0];[9 0 3 7];;
49;[0 0 4];;;
50;[9 0 7];[9 0 3 7];;
51;[9 0 3 7];;;
51.5;[9 0 3 7];;;
52;[5 0 4 7];[5 0 4 7];;
53;[5 0 4];;;
54;[5 0 4];[5 0 4 7];;
55;[5 0 4 14];;;
56;[11 0 3 6];[7 0 4 7 10];;
57;[4 0 3 13];;;
58;[4 0 3];[7 0 10];;
59;[2 0 3 5];;;
60;[0 0];[0 0 4 7];;
61;[0 0 4 7];;;
62;[0 0 7];[0 0 4 7];;
63;[0 0 4 7];;;
64;[0 0];[0 0 4 7];;
65;[0 0 4 7];;;
66;[5 0];;;
67;[4 0];;;
68;[0 0];[0 0 4 7];;
69;[0 0 4 7];;;
70;[0 0 4 7];[0 0];;
71;[0 0 4 7 11];;;
grouping;72;-------;-------;-------
72;[9 0];[9 0 3 7];;
73;[9 0 3 7];;;
74;[9 0 7];;;
75;[9 0 7];;;
76;[4 0 7];[4 0 4 7];;
77;[4 0 4 10];;;
78;[8 0 4 8];[4 0 4 7];;
79;[4 0 4 10];;;
80;[0 0 4];[9 0 3 7 10];;
81;[4 0 3];;;
82;[4 0 3];[4 0 3];;
83;[4 0 3];;;
84;[0 0 4];[0 0 4 7];;
85;[0 0 4 7];;;
86;[0 0 4 7];;;
87;[0 0 4 7 11];;;
88;[9 0];[9 0 3 7];;
89;[9 0 3 7];;;
90;[9 0 7];;;
91;[9 0 7];;;
92;[4 0 7];[4 0 4 7];;
93;[4 0 4 10];;;
94;[8 0 4 8];[4 0 4 7];;
95;[8 0 4 8];;;
96;[0 0];[0 0 4 7];;
97;[0 0 4 7];;;
98;[0 0 7];[0 0 4 7];;
99;[0 0 4 7];;;
100;[0 0 4 7];[0 0 4 7];;
101;;[0 0];;
