time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;0;[0 2 3 5 7 8 10];-------;-------
grouping;4;-------;-------;-------
4;[0 0 3];[0 0 3 7];;
5;[3 0 4];;;
5.5;[0 0 7];;;
6;[0 0 7];;;
7;[3 0 4];;;
8;[0 0 7];[0 0 3 7];;
9;[7 0];;;
9.5;[7 0];;;
10;[0 0 3];;;
11;[0 0 3];;;
12;[2 0 3 6];[5 0 3 7 9];;
13;[8 0 4];;;
14;[2 0 6];;;
14.5;[7 0 7 18];;;
15;[5 0 3 7];;;
15.5;[8 0 4 7];;;
16;[7 0 7];[7 0 4 7 10];;
17;[7 0 4 7];;;
18;[7 0 10];;;
19;[2 0];;;
19.5;[7 0 7];;;
grouping;20;-------;-------;-------
20;[8 0 7];[8 0 4 7];;
21;[3 0];;;
22;[8 0 4 7];;;
23;[8 0 7];;;
23.5;[8 0 4];;;
24;[0 0 3];[0 0 3 7];;
25;[0 0 3];;;
26;[0 0 3];;;
27;[0 0 7];;;
28;[8 0 4 10];[5 0 3 10 13];;
29;[0 0 3 6];;;
30;[5 0 3 7 13];;;
31;[0 0 3 6];;;
32;[5 0 3 7];[5 0 3 10];;
33;[5 0 7];;;
34;[8 0 7];;;
35;[8 0];;;
36;[1 0 4 7];[1 0 4 7];;
37;[1 0 4 7];;;
38;[1 0 4 7];;;
39;[1 0 4 7];;;
40;[1 0 3 6];[1 0 3];;
41;[1 0 3 6];;;
43;[7 0];;;
44;[1 0 3 6];[7 0 3 6 9];;
45;[7 0];;;
45.5;[8 0];;;
46;[10 0];;;
47;[7 0];;;
47.5;[8 0];;;
grouping;48;-------;-------;-------
48;[5 0 4];[5 0 4 7];;
49;[5 0];;;
50;[5 0 7];;;
51;[9 0];;;
52;[5 0];[5 0 4 7];;
53;[5 0 4];;;
53.5;[10 0 7];;;
54;[5 0 4 7];;;
55;[9 0 3];;;
55.5;[0 0 10];;;
56;[7 0 10];[7 0 4 7 10];;
57;[11 0];;;
58;[5 0];;;
59;[2 0];;;
60;[7 0 10];[7 0 4 7];;
61;[2 0];;;
62;[7 0 4];;;
63;[7 0];;;
grouping;64;-------;-------;-------
64;[0 0 3];[0 0 3 7];;
65;[3 0 4];;;
65.5;[0 0 7];;;
66;[0 0 7];;;
67;[3 0 4];;;
68;[0 0 7];[0 0 3 7];;
69;[7 0];;;
69.5;[7 0];;;
70;[0 0 3];;;
71;[0 0 3];;;
72;[2 0 3 6];[5 0 3 7 9];;
73;[8 0 4];;;
74;[2 0 6];;;
75;[8 0 4];;;
76;[7 0];[7 0 4 7 10];;
77;[7 0 4];;;
78;[7 0 10];;;
79;[2 0];;;
79.5;[7 0 7];;;
grouping;80;-------;-------;-------
80;[8 0 7];[8 0 4 7];;
81;[3 0];;;
82;[8 0 4 7];;;
83;[8 0 7];;;
83.5;[8 0 4];;;
84;[0 0 3];[0 0 3 7];;
85;[0 0 3];;;
86;[0 0 3];;;
87;[0 0 7];;;
88;[8 0 4 10];[5 0 3 7 10 13];;
89;[0 0 3 6];;;
90;[5 0 3 7 13];;;
91;[0 0 3 6];;;
92;[5 0 3 7];[5 0 3 7 10];;
93;[0 0 3 5];;;
94;[5 0 3 7];;;
96;[1 0 7];[1 0 4 7];;
96.5;[1 0 7];;;
97;[5 0 3];;;
97.5;[3 0 3];;;
98;[1 0 4];;;
98.5;[0 0 3 13];;;
99;[10 0 3];;;
100;[7 0 3 6];[10 0 3 6];;
100.5;[10 0 3 7];;;
101;[10 0 3 6];;;
