time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;4;[0 2 3 5 7 8 10];-------;-------
grouping;4;-------;-------;-------
4;[3 0 4];[3 0 4];;
3.5;[3 0 4 14];;;
4;[3 0 4];;;
4.5;[3 0 4 14];;;
5;[3 0 4];;;
6;[10 0 7];[10 0 7];;
6.5;[10 0 7];;;
7;[10 0 7];;;
8;[0 0 3 7];[0 0 3 7];;
9;[0 0];;;
10;[0 0 3 7];;;
11;[3 0 4];;;
11.5;[3 0 4 14];;;
12;[3 0 4];[3 0 4];;
12.5;[3 0 4 14];;;
13;[3 0 4];;;
14;[0 0 3 7];[0 0 3 7];;
14.5;[3 0 4];;;
15;[3 0 4];;;
16;[10 0 4 10];[10 0 4 7 10];;
17;[10 0];;;
18;[10 0 4 10];;;
19;[2 0 3 6];;;
grouping;20;-------;-------;-------
20;[8 0 4 10];[5 0 3 7 10 13];;
20.5;[5 0 3 7 13];;;
21;[5 0 7 18];;;
21.5;[0 0 3 6];;;
22;[5 0 3 7 13];;;
23;[0 0 6];;;
23.5;[0 0 3 6];;;
24;[0 0 3 6];[0 0 3 7 18];;
24.5;[0 0 3 5];;;
25;[0 0 3];;;
25.5;[0 0 3];;;
26;[0 0 3];;;
27;[0 0 3 7];;;
27.5;[3 0 4 7];;;
28;[3 0 4 7];[3 0 4 7 11];;
29;[0 0 3];;;
29.5;[10 0 4];;;
30;[10 0 4];;;
31;[2 0 4 6];[2 0 4 6];;
31.5;[3 0 4];;;
32;[3 0 4];[3 0 4];;
33;[3 0 4 7];;;
34;[3 0 4];;;
35;[3 0];;;
35.5;[5 0];;;
36;[3 0 4];[3 0 4];;
37;[3 0 4 7];;;
38;[3 0 4];;;
39;[10 0];[3 0 4 7];;
39.5;[0 0];;;
grouping;40;-------;-------;-------
40;[10 0 3 10];[10 0 3 10];;
41;[10 0 3 10];;;
41.5;[8 0 4 14];;;
42;[10 0 3 10];;;
43;[10 0 3 10];;;
43.5;[10 0 5 10];;;
44;[3 0 4 10];[3 0 4 7];;
44.5;[0 0 3 7];;;
45;[3 0 4 7];;;
46;[3 0 4 7];;;
47;[3 0 4 7];;;
47.5;[3 0 4];;;
48;[8 0 4 7];[8 0 4 7];;
49;[0 0 3];;;
50;[3 0 4];[3 0 4 10];;
51;[3 0 4 10];;;
52;[8 0 4];[8 0 4 7];;
53;[0 0 3];;;
54;[8 0 4 7];[8 0 4 7];;
55;[8 0 4];;;
55.5;[8 0 6];;;
grouping;56;-------;-------;-------
56;[0 0 3 10];[0 0 3 10];;
57;[0 0 3 10];;;
57.5;[10 0 4 14];;;
58;[0 0 3 10];;;
59;[0 0 3 10];;;
59.5;[0 0 5 10];;;
60;[5 0 4 10];[5 0 4 7 10];;
60.5;[2 0 3 7];;;
61;[5 0 4 7];;;
62;[5 0 4 7];;;
63;[5 0 4 7];;;
63.5;[5 0 4 7];;;
64;[10 0 4 7 10];[10 0 4 7 10];;
65;[10 0 4 10];;;
66;[10 0 4 10];;;
67;[10 0 4 10];;;
68;[10 0 4 8 10];[10 0 4 8 10];;
69;[6 0 4];;;
70;[10 0 4 8 10];;;
71;[8 0 7 11];[10 0 4 7 10];;
71.5;[2 0 3 6];;;
grouping;72;-------;-------;-------
72;[3 0 4];[3 0 4];;
72.5;[3 0 4 14];;;
73;[3 0 4];;;
74;[10 0 7];[10 0 7];;
74.5;[10 0 7];;;
75;[10 0 7];;;
76;[0 0 3 7];[0 0 3 7];;
77;[0 0];;;
78;[0 0 3 7];;;
79;[3 0 4];[0 0 3 7];;
79.5;[3 0 4 14];;;
80;[3 0 4];[3 0 4];;
80.5;[3 0 4 14];;;
81;[3 0 4];;;
82;[0 0 3 7];[0 0 3 7];;
82.5;[3 0 4];;;
83;[3 0 4];;;
84;[10 0 4 10];[10 0 4 10];;
85;[10 0];;;
86;[10 0 4 10];;;
87;[2 0 3 6];[10 0 4 7 10];;
grouping;88;-------;-------;-------
88;[8 0 4 10];[8 0 4 10];;
88.5;[5 0 3 7 13];;;
89;[5 0 7 18];;;
89.5;[0 0 3 6];;;
90;[5 0 3 7 13];[8 0 4 7 10];;
91;[0 0 6];;;
91.5;[0 0 3 6];;;
92;[0 0 3 6];[0 0 3 6];;
92.5;[0 0 3 5];;;
93;[0 0 3];;;
93.5;[0 0 3];;;
94;[0 0 3];;;
95;[0 0 3 7];;;
95.5;[3 0 4 7];;;
96;[3 0 4 7];[3 0 4 7 11];;
97;[0 0 3];;;
97.5;[10 0 4];;;
98;[10 0 4];;;
99;[2 0 4 6];[2 0 4 6];;
99.5;[3 0 4];;;
100;[3 0 4];[3 0 4];;
101;[3 0 4 7];;;
102;[3 0 4];;;
104;[3 0 4];[3 0 4];;
105;[3 0 4 7];;;
106;[3 0 4];;;
107;[8 0];;;
107.5;[7 0];;;
108;[0 0 3 7];[0 0 3 7];;
109;[0 0 3 7];;;
110;[0 0 3 7];;;
111;[8 0 4 7 11];;;
111.5;[0 0 3 7];;;
112;[11 0 4 8];[11 0 4 8];;
113;[11 0 4 8];;;
114;[11 0 4 8];;;
115;[8 0 3 7 11];;;
115.5;[11 0 4 8];;;
116;[3 0 4 7];[3 0 4 7 14];;
117;[3 0 4 7 14];;;
117.5;[3 0 4 7];;;
118;[3 0 4 7 14];;;
119;[3 0 4 7 14];;;
120;[0 0 3 7];[0 0 3 7];;
