time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;7;[0 2 4 5 7 9 11];-------;-------
grouping;0;-------;-------;-------
0;[2 0 3];[2 0 3 7];;
1;[5 0 4];;;
2;[2 0 3];;;
3;[2 0 3];;;
3.5;[2 0 3 14];;;
4;[2 0 3 7];[2 0 3 7];;
5;[2 0 3 5];;;
6;[2 0 5 10 15];[2 0 5 10 15];;
7;[2 0 3];;;
8;[10 0 4 7];[10 0 4 7];;
9;[5 0];;;
10;[10 0 4 7];;;
10.6667;[10 0 4];;;
11;[10 0 4];;;
11.3333;[10 0 4 7];;;
12;[2 0 7 13];[2 0 7 13];;
13;[7 0 3 7];;;
14;[7 0 3 7 14];[7 0 3 7 14];;
15;[10 0 4 7];;;
15.5;[10 0 4];;;
16;[7 0 4 7 10];[7 0 4 7 10];;
17;[7 0 10];;;
18;[7 0 4 7];;;
18.5;[7 0 4 7];;;
19;[11 0 3 6];;;
19.5;[11 0 3];;;
20;[5 0 4 6 14];[7 0 4 10];;
21;[7 0 4 10];;;
21.5;[7 0 4 10];;;
22;[7 0 4 10];;;
23;[7 0 4 10];;;
24;[0 0 4 10];[0 0 4 10];;
25;[4 0 6];;;
25.5;[10 0 4 6];;;
26;[0 0 4 10];[0 0 4 10];;
27;[0 0 4 10];;;
28;[0 0 4 7];[0 0 4 7];;
29;[0 0];;;
30;[0 0 4 7];;;
31;[0 0];;;
grouping;32;-------;-------;-------
32;[0 0 7];[0 0 4 7];;
33;[0 0 4 7];;;
33.5;[0 0 4 7];;;
34;[0 0 4 7];;;
35;[0 0 4 7];;;
36;[0 0 4 7];[0 0 4 7];;
37;[0 0 4 7];;;
37.5;[0 0 4 7];;;
38;[0 0 4 7];;;
39;[0 0 4 7];;;
40;[4 0 3 7];[4 0 3 7];;
41;[4 0 3 7];;;
41.5;[4 0 3 7];;;
42;[4 0 3 7];;;
43;[7 0 4];;;
44;[4 0 3 7];[4 0 3 7];;
45;[4 0 7];;;
46;[4 0 3];;;
47;[4 0 7];;;
grouping;48;-------;-------;-------
48;[9 0 3];[9 0 3 7];;
