time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;7;[0 2 4 5 7 9 11];-------;-------
grouping;4;-------;-------;-------
4;[0 0 4 7];[0 0 4 7];;
3;[0 0 4];;;
3.5;[0 0 4 14];;;
4;[0 0 4];;;
4.5;[0 0 4 14];;;
5;[0 0 4];;;
5.5;[0 0 4 11];;;
6;[9 0 3 7];;;
6.5;[9 0 3 7 14];;;
7;[9 0 3 7];;;
7.5;[0 0 4 7];;;
8;[9 0 3 5];[2 0 3 7 10];;
8.5;[9 0 5 10 15];;;
9;[5 0 4 7];;;
10;[7 0 4];[7 0 4 7 10];;
10.5;[7 0 4];;;
11;[5 0 7];;;
11.5;[2 0 3];;;
12;[0 0 4];[0 0 4 7];;
12.5;[0 0 4 14];;;
13;[0 0 4];;;
13.5;[0 0 4 11];;;
14;[9 0 3 7];;;
14.5;[9 0 3 7 10];;;
15;[9 0 3 7];;;
15.5;[0 0 4];;;
16;[0 0 3 7 10];[0 0 3 7 10];;
17;[0 0 3 7 10];;;
18;[0 0 3 7 10];;;
18.5;[0 0 7];;;
19;[0 0];;;
19.5;[2 0];;;
grouping;20;-------;-------;-------
20;[9 0 5 10 18];[0 0 3 7 9];;
20.5;[0 0 3 7 9];;;
21;[0 0 3 7];;;
21.5;[0 0 3 7];;;
22;[0 0 3 7 9];;;
23;[7 0 7 13];;;
24;[8 0 4 7 11];[8 0 4 7 11];;
25;[8 0 4 7 11];;;
26;[8 0 4 7 11];;;
27;[0 0];;;
27.5;[2 0];;;
28;[3 0 4 14];[7 0 4 7 10];;
28.5;[7 0 5 10];;;
29;[2 0 3 5];;;
30;[7 0];;;
31;[5 0 6];;;
32;[3 0 4 14];[7 0 4 7 10];;
32.5;[7 0 5 10];;;
33;[2 0 3 5];;;
34;[7 0 4 10];;;
35;[0 0 7];;;
35.5;[7 0 7];;;
36;[2 0 3 7];[5 0 4 7];;
36.5;[5 0 4];;;
37;[5 0 4 7];;;
38;[5 0 4];;;
39;[2 0];;;
39.5;[3 0];;;
grouping;40;-------;-------;-------
40;[10 0 4 7];[10 0 4 7];;
