time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;3;[0 2 4 5 7 9 11];-------;-------
grouping;4;-------;-------;-------
4;[9 0 3 7];[9 0 3 7];;
5;[9 0 3 7];;;
6;[9 0 3 7];;;
8;[9 0 3 7 14];[9 0 3 7];;
9.5;[9 0 3 7];;;
10;[9 0 3 7];;;
11.5;[4 0 3 5];;;
12;[2 0 4 7 10];[2 0 4 7 10];;
13;[2 0 4 10];;;
14;[2 0 4 10];;;
16;[11 0 3 7 13];[2 0 4 7 10];;
17.5;[2 0 4 7 10];;;
18;[2 0 4 7 10];;;
19.5;[7 0 7 16];;;
20;[5 0 4 7];[5 0 4 7];;
21;[5 0 4 7];;;
22;[5 0 4 7];;;
24;[5 0 4 7 18];[5 0 4 7];;
25.5;[5 0 4 7];;;
26;[5 0 4 7];;;
27;[5 0 4 7];;;
28;[0 0 4 7];[0 0 4 7];;
29;[0 0 4 7];;;
31;[0 0 4 7];;;
32;[0 0 3 7 10];[0 0 3 7 10];;
33;[0 0 3 7 10];;;
34;[0 0 3 7 10];[7 0 4 7 10];;
35;[11 0 3 6];;;
35.5;[7 0 4 7 10];;;
grouping;36;-------;-------;-------
36;[0 0 4];[0 0 4];;
37;[0 0 4 14];;;
38;[4 0 3];[0 0 4 7];;
39;[4 0 3 13];;;
39.5;[0 0 4 7];;;
40;[9 0 3 7];[9 0 3 7];;
41;[0 0 4];;;
42;[9 0 3 7];;;
43;[4 0];;;
43.5;[5 0 11];;;
44;[4 0 3 7];[4 0 3 7];;
45;[4 0 3 7];;;
46;[4 0 3 7];;;
47;[4 0 3 7];;;
47.5;[4 0 3 7 10];;;
48;[4 0 3 7 13];[4 0 3 7 13];;
48.5;[7 0 4 10];;;
49;[4 0 3 7 13];;;
50;[4 0 3 13];;;
51.5;[11 0];;;
grouping;52;-------;-------;-------
52;[0 0 4];[0 0 4];;
53;[0 0 4 14];;;
54;[4 0 3];[0 0 4 7];;
55;[4 0 3 13];;;
55.5;[0 0 4 7];;;
56;[9 0 3 7];[9 0 3 7];;
57;[0 0 4];;;
58;[9 0 3 7];;;
59;[4 0];;;
59.5;[5 0 11];;;
60;[4 0 3 7];[4 0 3 7];;
61;[4 0 3 7];;;
62;[4 0 3 7];;;
63;[4 0 3 7];;;
63.5;[4 0 3 7 10];;;
64;[4 0 3 7 13];[4 0 3 7 13];;
64.5;[7 0 4 10];;;
65;[4 0 3 7 13];;;
66;[7 0 10];;;
66.5;[7 0 10];;;
67;[7 0];;;
67.5;[7 0];;;
grouping;68;-------;-------;-------
68;[9 0 3 7];[9 0 3 7];;
69;[0 0 4];;;
70;[0 0 4 7];;;
71;[0 0 4];;;
71.5;[0 0 4 14];;;
72;[0 0 4 7];[0 0 4 7];;
73;[4 0 3];;;
74;[2 0 3 5];[2 0 3 5];;
75;[0 0 4];[0 0 4 7];;
76;[9 0 3 7];[9 0 3 7];;
77;[9 0 3 7];;;
78;[9 0 3 7];;;
79;[9 0 3 7];;;
80;[9 0 3 7];[9 0 3 7];;
81;[9 0 3 7];;;
82;[0 0 4];[0 0 4];;
83;[0 0 4];;;
83.5;[0 0 4];;;
grouping;84;-------;-------;-------
84;[5 0 3 7 9];[5 0 3 7 9];;
85;[5 0 3 7 9];;;
86;[5 0 3 7 9];[5 0 3 7 9];;
87;[8 0 4 6];;;
87.5;[8 0 4 6];;;
88;[2 0 3 10];[2 0 3 10];;
89;[2 0 3 10];;;
90;[5 0 3 7];[5 0 3 7];;
91;[5 0 3 7];[5 0 7];;
92;[7 0 4 10];[7 0 4 10];;
93;[7 0 4 7 10];[7 0 4 7 10];;
94;[7 0 4 7 10];[7 0 4 7 10];;
95;[7 0 4 7 10];;;
96;[0 0 3 7 10 14];[0 0 3 7 10 14];;
97;[0 0 3 7 10 14];;;
98;[7 0 4 7 10];[7 0 4 7 10];;
99.5;[7 0];;;
100;[4 0 3 7 13];[4 0 3 7 10 13];;
101;[4 0 3 10];;;
102;[4 0 3 7 13];;;
103.5;[7 0];;;
grouping;104;-------;-------;-------
104;[9 0 3 7];[9 0 3 7];;
105;[9 0 3 7];;;
106;[9 0 3 7];;;
108;[9 0 3 7 14];[9 0 3 7];;
109.5;[9 0 3 7];;;
110;[9 0 3 7];;;
111.5;[4 0 3 5];;;
112;[2 0 4 7 10];[2 0 4 7 10];;
113;[2 0 4 10];;;
114;[2 0 4 10];;;
116;[11 0 3 7 13];[2 0 4 7 10];;
117.5;[2 0 4 7 10];;;
118;[2 0 4 7 10];;;
118.5;[2 0 4 10];;;
119;[2 0 10];;;
119.5;[2 0];;;
120;[5 0 3 7 9];[5 0 3 7 9];;
121;[5 0 3 7 9];;;
122;[5 0 3 7 9];;;
123;[8 0 4];;;
123.5;[8 0 4 6];;;
124;[11 0 4 8 18];[11 0 4 8 18];;
125;[11 0 4 8 18];;;
126;[7 0 4 7 10];[7 0 4 7 10];;
127;[7 0 4 7 10];;;
128;[0 0 4 7 14];[0 0 4 7];;
128.5;[0 0 4 7];;;
129;[0 0 4 7];;;
130;[0 0 4 7];;;
131;[0 0 7];;;
132;[0 0 4 7];[0 0 4 7];;
133;[0 0];;;
134;[0 0 4 7];;;
135;[0 0];;;
135.5;[0 0 7];;;
grouping;136;-------;-------;-------
136;[9 0 3 7];[9 0 3 7];;
137;[0 0];;;
138;[9 0 7];;;
139;[9 0 3 7];;;
139.5;[9 0 3 7];;;
140;[5 0 3 7 9];[5 0 3 7 9];;
141;[5 0 3 7 9];;;
142;[5 0 3 7 9];;;
143;[8 0 4];;;
143.5;[8 0 4 6];;;
144;[11 0 4 8 18];[11 0 4 8 18];;
145;[11 0 4 8 18];;;
146;[7 0 4 7 10];[7 0 4 7 10];;
147;[7 0 4 7 10];;;
148;[0 0 4 7 14];[0 0 4 7];;
148.5;[0 0 4 7];;;
149;[0 0 4 7];;;
150;[0 0 4 7];;;
151;[0 0 7];;;
152;[9 0 3 7];[9 0 3 7];;
153;[0 0];;;
154;[9 0 3 7];;;
155;[0 0];;;
155.5;[0 0];;;
156;[5 0 3 7 9];[5 0 3 7 9];;
157;[5 0 3 7 9];;;
158;[5 0 3 7 9];;;
159;[8 0 4];;;
159.5;[8 0 4 6];;;
160;[11 0 4 8 18];[11 0 4 8 18];;
161;[11 0 4 8 18];;;
162;[7 0 4 7 10];[7 0 4 7 10];;
162.5;[7 0 5 10 16];;;
163;[7 0 4 7 10];;;
163.5;[7 0];;;
grouping;164;-------;-------;-------
164;[0 0 4];[9 0 3 7];;
165;[0 0 4];;;
166;[9 0 3 7];;;
167;[0 0 4 7];;;
168;[0 0 4];[9 0 3 7];;
169;[0 0 4];;;
170;[9 0 3 7];;;
171;[0 0 4 7];;;
172;[9 0 3];[9 0 3 7];;
173;[9 0 7];;;
174;[9 0 3 7];;;
176;[9 0 3 7 14];[9 0 3 7];;
177.5;[9 0 3 7];;;
178;[9 0 3 7];;;
180;[5 0 7];[5 0 4 7];;
181;[5 0];;;
182;[5 0 4 7];;;
184;[5 0 4 7 18];[5 0 4 7];;
185.5;[5 0 4 7];;;
186;[5 0 4 7];;;
188;[9 0 3 7 10];[9 0 3 7 10];;
190;[9 0 3 7 10];[9 0 3 7 10];;
192;[9 0 3 7 10];[9 0 3 7 10];;
