time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;5;[0 2 4 5 7 9 11];-------;-------
grouping;0;-------;-------;-------
0;[0 0 4 7 14];[0 0 4 7];;
0.5;[0 0 4 7];;;
1;[0 0 4 7];;;
2;[0 0];;;
3;[0 0 4 7];;;
4;[11 0 3 7 10];[11 0 3 7 10];;
5;[11 0 3 7 10 17];;;
5.5;[11 0 3 7 10];;;
6;[4 0 4 10];[4 0 4 7 10];;
6.5;[4 0 5 10 16];;;
7;[4 0 4 7 10];;;
7.5;[8 0 4 8 18];;;
8;[9 0 3 7 14];[9 0 3 7];;
8.75;[9 0 3 7];;;
9;[9 0 3 7];;;
10;[9 0 3 7];;;
11;[9 0 3 7 10];;;
grouping;12;-------;-------;-------
12;[5 0 7];[5 0 4 7];;
13;[5 0 4 7];;;
13.5;[5 0 4 7];;;
14;[7 0 4];[4 0 3 7];;
14.5;[7 0 4 10];;;
15;[4 0 3 7];;;
15.5;[7 0 4 7];;;
16;[7 0 5 10];[0 0 4 7];;
17;[0 0 4 7];;;
17.5;[0 0 4 7];;;
18;[0 0 4 7];;;
19;[7 0 4 7];[7 0 4 7 17];;
20;[9 0 3 7 10];[9 0 3 7 10];;
21;[4 0 3 5];;;
21.5;[4 0 5 10 15];;;
22;[2 0 4];[2 0 4 7];;
23;[2 0 4 7];;;
24;[5 0 4 7];[5 0 4 7];;
25;[0 0 4 7];[0 0 4 5];;
25.5;[0 0 4 7];;;
26;[0 0 4 7];;;
grouping;28;-------;-------;-------
28;[11 0 5 10 15];[11 0 3 7 10 17];;
29;[11 0 3 7 17];;;
30;[4 0 4 7];[4 0 4 7 10];;
31;[4 0 4 7 10];;;
32;[9 0 3 7];[9 0 3 7];;
33;[7 0 4 7];[7 0 4 7];;
34;[5 0 4 7];[5 0 4 7];;
35;[9 0 3 7 14];[9 0 3 7];;
35.5;[9 0 3 7];;;
36;[11 0 3 6];[11 0 3 6];;
37.5;[2 0 3 7 9];;;
38;[7 0 4 7 10];[7 0 4 7 10];;
39;[7 0 4 7 10 14];;;
40;[0 0 4 7];[0 0 4 7];;
41;[0 0 4 6];;;
42;[9 0 3 7];;;
43;[0 0 4 7];;;
grouping;44;-------;-------;-------
44;[11 0 5 10 15];[11 0 3 7 10 17];;
45;[11 0 3 7 17];;;
46;[4 0 4 7];[4 0 4 7 10];;
47;[4 0 4 7 10];;;
48;[9 0 3 7];[9 0 3 7];;
49;[7 0 4 7];[7 0 4 7];;
50;[5 0 4 7];[5 0 4 7];;
51;[9 0 3 7 14];[9 0 3 7];;
51.5;[9 0 3 7];;;
52;[11 0 3 6];[11 0 3 6];;
53.5;[2 0 3 7 9];;;
54;[7 0 4 7 10];[7 0 4 7 10];;
55;[7 0 4 7 10];;;
56;[0 0 4 7];[0 0 4 7];;
57;[0 0 4 7];;;
58;[0 0 4 7 17];;;
59;[0 0 4 7];;;
grouping;60;-------;-------;-------
60;[0 0 4 7 14];[0 0 4 7];;
60.5;[0 0 4 7];;;
61;[0 0 4 7];;;
62;[0 0];;;
63;[0 0 4 7];;;
64;[11 0 3 7 10];[11 0 3 7 10];;
65;[11 0 3 7 10 17];;;
65.5;[11 0 3 7 10];;;
66;[4 0 4 10];[4 0 4 7 10];;
66.5;[4 0 5 10 16];;;
67;[4 0 4 7 10];;;
67.5;[8 0 4 8 18];;;
68;[9 0 3 7 14];[9 0 3 7];;
68.75;[9 0 3 7];;;
69;[9 0 3 7];;;
70;[9 0 3 7];;;
71;[9 0 3 7 10];;;
grouping;72;-------;-------;-------
72;[5 0 7];[5 0 4 7];;
73;[5 0 4 7];;;
73.5;[5 0 4 7];;;
74;[7 0 4];[7 0 4 7];;
74.5;[7 0 4 10];;;
75;[4 0 3 7];;;
75.5;[7 0 4 7];;;
76;[7 0 5 10];[0 0 4 7];;
77;[0 0 4 7];;;
77.5;[0 0 4 7];;;
78;[0 0 4 7];[2 0 5 10];;
79;[7 0 4 7];[7 0 4 7];;
80;[9 0 3 7 10];[9 0 3 7 10];;
81;[4 0 3 5];;;
81.5;[4 0 5 10 15];;;
82;[2 0 4];[2 0 4 7];;
83;[2 0 4 7];;;
84;[5 0 4 7];[5 0 4 7];;
85;[0 0 4 7];[0 0 4 7];;
85.5;[0 0 4 7];;;
86;[0 0 4 7];;;
88;[0 0 4 7];[0 0 4 7];;
89;[0 0 4 7];;;
90;[2 0 4 14];[2 0 4 7 14];;
91;[2 0 4 7 14];;;
92;[5 0 4 7];[5 0 4 7];;
93;[0 0 4 7];[0 0 4 7];;
93.5;[0 0 4 7];;;
94;[0 0 4 7];;;
