tonality	0.0	[69, 71, 72, 74, 76, 77, 79]
grouping	0.0	[64, 67]
melody	0.0	[69]
surface	0.0	[69, 64, 60, 45]
reduction	0.0	[69, 64, 60, 45]
melody	1.0	[69]
surface	1.0	[69, 64, 60, 57]
reduction	1.0	[69, 64, 60, 57]
melody	2.0	[71]
surface	2.0	[71, 64, 59, 56]
reduction	2.0	[71, 64, 59, 56]
melody	3.0	[72]
surface	3.0	[72, 64, 57]
reduction	3.0	[72, 64, 57]
melody	4.0	[74]
surface	4.0	[74, 62, 57, 54]
reduction	4.0	[74, 62, 57, 54]
melody	5.0	[71]
surface	5.0	[71, 62, 55]
reduction	5.0	[74, 62, 55]
surface	5.5	[71, 62, 54, 55]
melody	6.0	[71]
surface	6.0	[71, 67, 55]
melody	6.5	[72]
surface	6.5	[72, 66, 57, 55]
melody	7.0	[74]
surface	7.0	[74, 67, 59, 43]
grouping	8.0	[64]
melody	8.0	[76]
surface	8.0	[76, 64, 59, 56]
reduction	8.0	[76, 64, 59, 56]
melody	9.0	[72]
surface	9.0	[72, 64, 57]
reduction	9.0	[72, 64, 57]
surface	9.5	[72, 64, 59, 55]
melody	10.0	[69]
surface	10.0	[69, 60, 53]
reduction	10.0	[69, 60, 53]
surface	10.5	[69, 52, 60]
melody	11.0	[71]
surface	11.0	[71, 69, 65, 50]
reduction	11.0	[71, 69, 65, 50]
melody	12.0	[71]
surface	12.0	[71, 68, 64, 52]
reduction	12.0	[71, 68, 64, 52]
surface	12.5	[71, 68, 62, 52]
reduction	12.5	[71, 68, 62, 52]
melody	13.0	[69]
surface	13.0	[69, 64, 60, 57]
reduction	13.0	[69, 64, 60, 57]
grouping	16.0	[64, 67]
melody	16.0	[76]
surface	16.0	[76, 69, 60, 45]
reduction	16.0	[76, 69, 60, 45]
melody	17.0	[74]
surface	17.0	[74, 69, 62, 47]
reduction	17.0	[74, 68, 62, 47]
surface	17.5	[68, 74, 62, 47]
melody	18.0	[72]
surface	18.0	[72, 69, 64, 48]
reduction	18.0	[72, 69, 64, 48]
melody	19.0	[71]
surface	19.0	[71, 69, 65, 50]
reduction	19.0	[71, 69, 65, 50]
surface	19.5	[68, 71, 64, 52]
melody	20.0	[69]
surface	20.0	[69, 64, 53]
reduction	20.0	[69, 62, 53]
surface	20.5	[57, 69, 62, 53]
melody	21.0	[71]
surface	21.0	[71, 64, 56, 52]
reduction	21.0	[71, 64, 56, 52]
grouping	24.0	[64]
melody	24.0	[71]
surface	24.0	[71, 68, 64, 52]
reduction	24.0	[71, 68, 64, 52]
melody	25.0	[72]
surface	25.0	[72, 69, 64, 57]
reduction	25.0	[72, 69, 64, 57]
melody	26.0	[74]
surface	26.0	[74, 67, 62, 59]
reduction	26.0	[74, 67, 62, 59]
melody	27.0	[76]
surface	27.0	[76, 67, 60]
reduction	27.0	[76, 67, 60]
surface	27.5	[76, 67, 62, 59]
melody	28.0	[72]
surface	28.0	[72, 69, 64, 57]
reduction	28.0	[72, 69, 64, 57]
surface	28.5	[72, 69, 55, 64]
melody	29.0	[74]
surface	29.0	[74, 69, 57, 54]
reduction	29.0	[74, 69, 57, 54]
surface	29.5	[74, 69, 52, 57]
melody	30.0	[74]
surface	30.0	[74, 67, 62, 50]
reduction	30.0	[72, 66, 62, 50]
melody	30.5	[72]
surface	30.5	[72, 66, 62, 50]
melody	31.0	[71]
surface	31.0	[71, 67, 62, 55]
reduction	31.0	[71, 67, 62, 55]
grouping	32.0	[64, 67]
melody	32.0	[71]
surface	32.0	[71, 67, 62, 53]
reduction	32.0	[71, 67, 62, 53]
melody	33.0	[72]
surface	33.0	[72, 67, 55, 52]
reduction	33.0	[72, 67, 55, 52]
melody	34.0	[74]
surface	34.0	[74, 65, 57, 50]
reduction	34.0	[74, 65, 59, 50]
surface	34.5	[74, 65, 59, 50]
melody	35.0	[76]
surface	35.0	[76, 64, 60, 48]
reduction	35.0	[76, 64, 60, 48]
surface	35.5	[76, 64, 62, 48]
melody	36.0	[72]
surface	36.0	[72, 69, 64, 47]
reduction	36.0	[72, 69, 64, 45]
surface	36.5	[72, 69, 45, 64]
melody	37.0	[74]
surface	37.0	[74, 69, 62, 47]
reduction	37.0	[74, 67, 62, 47]
surface	37.5	[67, 74, 48, 62]
melody	38.0	[74]
surface	38.0	[74, 66, 57, 50]
reduction	38.0	[72, 66, 57, 50]
melody	38.5	[72]
surface	38.5	[72, 64, 57, 50]
melody	39.0	[71]
surface	39.0	[71, 62, 59, 43]
reduction	39.0	[71, 62, 59, 43]
grouping	40.0	[64]
melody	40.0	[76]
surface	40.0	[76, 64, 59, 56]
reduction	40.0	[76, 64, 59, 56]
melody	41.0	[72]
surface	41.0	[72, 64, 57]
reduction	41.0	[72, 64, 57]
melody	41.5	[71]
surface	41.5	[71, 64, 59, 55]
melody	42.0	[69]
surface	42.0	[69, 60, 53]
reduction	42.0	[69, 60, 53]
surface	42.5	[69, 52, 60]
melody	43.0	[71]
surface	43.0	[71, 69, 65, 50]
reduction	43.0	[71, 69, 65, 50]
melody	44.0	[71]
surface	44.0	[71, 68, 64, 52]
reduction	44.0	[71, 68, 64, 52]
surface	44.5	[71, 68, 62, 52]
reduction	44.5	[71, 68, 62, 52]
melody	45.0	[69]
surface	45.0	[69, 64, 61, 45]
reduction	45.0	[69, 64, 61, 45]
