tonality	0.0	[60, 62, 63, 65, 67, 68, 70]
grouping	0.0	[64, 67]
melody	0.0	[67]
surface	0.0	[67, 63, 60, 48]
reduction	0.0	[67, 63, 60, 48]
melody	1.0	[67]
surface	1.0	[67, 62, 55, 47]
reduction	1.0	[67, 62, 55, 47]
melody	2.0	[63]
surface	2.0	[63, 60, 55, 48]
reduction	2.0	[63, 60, 55, 48]
melody	3.0	[65]
surface	3.0	[65, 60, 60, 56]
reduction	3.0	[65, 60, 60, 56]
surface	3.5	[62, 65, 60, 56]
melody	4.0	[67]
surface	4.0	[67, 63, 60, 51]
reduction	4.0	[67, 63, 60, 51]
melody	4.5	[65]
surface	4.5	[65, 62, 56, 53]
reduction	4.5	[65, 62, 56, 53]
melody	5.0	[63]
surface	5.0	[63, 60, 55]
reduction	5.0	[63, 60, 55]
melody	6.0	[62]
surface	6.0	[62, 59, 55, 43]
reduction	6.0	[62, 59, 55, 43]
surface	6.5	[62, 59, 53, 43]
reduction	6.5	[62, 59, 53, 43]
melody	7.0	[60]
surface	7.0	[60, 55, 51, 48]
reduction	7.0	[60, 55, 51, 48]
grouping	8.0	[64]
melody	8.0	[67]
surface	8.0	[67, 63, 60]
reduction	8.0	[67, 63, 60]
melody	9.0	[67]
surface	9.0	[67, 63, 58, 55]
reduction	9.0	[67, 63, 58, 55]
surface	9.5	[67, 63, 56, 58]
melody	10.0	[65]
surface	10.0	[65, 62, 58]
reduction	10.0	[65, 62, 58]
surface	10.5	[63, 65, 58]
melody	11.0	[70]
surface	11.0	[70, 65, 58, 50]
reduction	11.0	[70, 65, 58, 50]
melody	12.0	[67]
surface	12.0	[67, 63, 58, 51]
reduction	12.0	[67, 63, 58, 51]
melody	12.5	[65]
surface	12.5	[65, 62, 58, 51]
melody	13.0	[63]
surface	13.0	[63, 60, 60, 56]
reduction	13.0	[63, 60, 60, 56]
surface	13.5	[59, 63, 60, 56]
melody	14.0	[65]
surface	14.0	[65, 60, 56, 44]
reduction	14.0	[65, 60, 56, 44]
surface	14.5	[62, 65, 56, 44]
melody	15.0	[67]
surface	15.0	[67, 59, 50, 43]
reduction	15.0	[67, 59, 50, 43]
grouping	16.0	[64]
melody	16.0	[67]
surface	16.0	[67, 63, 60, 48]
reduction	16.0	[67, 63, 60, 48]
melody	16.5	[69]
surface	16.5	[69, 63, 60, 48]
melody	17.0	[70]
surface	17.0	[70, 62, 58, 55]
reduction	17.0	[70, 62, 58, 55]
melody	18.0	[72]
surface	18.0	[72, 63, 56, 53]
reduction	18.0	[74, 65, 56, 53]
melody	18.5	[74]
surface	18.5	[74, 65, 56, 53]
melody	19.0	[75]
surface	19.0	[75, 67, 55, 51]
reduction	19.0	[75, 67, 55, 51]
melody	20.0	[74]
surface	20.0	[74, 65, 57, 53]
reduction	20.0	[74, 65, 59, 55]
surface	20.5	[74, 65, 59, 55]
melody	21.0	[72]
surface	21.0	[72, 63, 60, 56]
reduction	21.0	[72, 63, 60, 56]
surface	21.5	[65, 72, 60, 56]
reduction	21.5	[65, 72, 60, 56]
melody	22.0	[71]
surface	22.0	[71, 67, 62, 55]
reduction	22.0	[71, 67, 62, 55]
melody	23.0	[72]
surface	23.0	[72, 67, 63, 48]
reduction	23.0	[72, 67, 63, 48]
grouping	24.0	[64, 67]
melody	24.0	[72]
surface	24.0	[72, 65, 57, 53]
reduction	24.0	[72, 65, 57, 53]
melody	25.0	[74]
surface	25.0	[74, 65, 58]
reduction	25.0	[74, 65, 58]
melody	26.0	[72]
surface	26.0	[72, 66, 60, 57]
reduction	26.0	[72, 66, 60, 57]
tonality	27.0	[67, 69, 70, 72, 74, 75, 77]
melody	27.0	[70]
surface	27.0	[70, 67, 62, 55]
reduction	27.0	[70, 67, 62, 55]
melody	28.0	[69]
surface	28.0	[69, 67, 63, 48]
reduction	28.0	[69, 67, 63, 48]
surface	28.5	[66, 69, 62, 50]
reduction	28.5	[66, 69, 62, 50]
melody	29.0	[67]
surface	29.0	[67, 62, 51]
reduction	29.0	[67, 60, 51]
surface	29.5	[67, 60, 51]
melody	30.0	[69]
surface	30.0	[69, 66, 60, 50]
reduction	30.0	[69, 66, 60, 50]
surface	30.5	[69, 66, 59, 50]
melody	31.0	[67]
surface	31.0	[67, 62, 59, 43]
reduction	31.0	[67, 62, 59, 43]
tonality	32.0	[63, 65, 67, 68, 70, 72, 74]
grouping	32.0	[64]
melody	32.0	[72]
surface	32.0	[72, 65, 57, 53]
reduction	32.0	[72, 65, 57, 53]
surface	32.5	[72, 65, 51, 57]
reduction	32.5	[72, 65, 51, 57]
melody	33.0	[70]
surface	33.0	[70, 65, 58, 50]
reduction	33.0	[70, 65, 58, 50]
melody	34.0	[69]
surface	34.0	[69, 63, 60, 48]
reduction	34.0	[69, 63, 60, 48]
melody	35.0	[70]
surface	35.0	[70, 62, 53, 46]
reduction	35.0	[70, 62, 53, 46]
melody	35.5	[68]
surface	35.5	[68, 62, 53, 46]
reduction	35.5	[68, 62, 53, 46]
melody	36.0	[67]
surface	36.0	[67, 63, 51, 48]
reduction	36.0	[67, 63, 51, 48]
surface	36.5	[62, 67, 46, 51]
reduction	36.5	[62, 67, 46, 51]
melody	37.0	[67]
surface	37.0	[67, 60, 51, 44]
reduction	37.0	[67, 60, 51, 44]
melody	38.0	[65]
surface	38.0	[65, 62, 58, 46]
reduction	38.0	[65, 62, 58, 46]
surface	38.5	[65, 62, 56, 46]
reduction	38.5	[65, 62, 56, 46]
melody	39.0	[63]
surface	39.0	[63, 58, 55, 51]
reduction	39.0	[63, 58, 55, 51]
tonality	40.0	[60, 62, 63, 65, 67, 68, 70]
grouping	40.0	[64]
melody	40.0	[67]
surface	40.0	[67, 60, 60, 52]
reduction	40.0	[67, 60, 60, 52]
melody	41.0	[68]
surface	41.0	[68, 65, 60, 53]
reduction	41.0	[68, 65, 60, 53]
melody	42.0	[67]
surface	42.0	[67, 63, 59, 55]
reduction	42.0	[65, 62, 59, 55]
melody	42.5	[65]
surface	42.5	[65, 62, 59, 55]
melody	43.0	[63]
surface	43.0	[63, 60, 60, 56]
reduction	43.0	[63, 60, 60, 56]
surface	43.5	[63, 60, 58, 55]
melody	44.0	[65]
surface	44.0	[65, 62, 58, 53]
reduction	44.0	[65, 62, 56, 53]
surface	44.5	[60, 65, 58, 53]
reduction	44.5	[60, 65, 56, 53]
melody	45.0	[63]
surface	45.0	[63, 59, 55]
reduction	45.0	[63, 60, 55]
surface	45.5	[60, 63, 55]
melody	46.0	[62]
surface	46.0	[62, 60, 55, 43]
reduction	46.0	[62, 59, 55, 43]
surface	46.5	[59, 62, 53, 43]
reduction	46.5	[62, 59, 53, 43]
melody	47.0	[60]
surface	47.0	[60, 55, 52, 48]
reduction	47.0	[60, 55, 52, 48]
