tonality	0.0	[62, 64, 65, 67, 69, 71, 72]
grouping	0.0	[64, 67, 71]
surface	0.0	[62, 38]
reduction	0.0	[62, 57, 38, 53]
surface	0.5	[64, 38]
surface	1.0	[65, 53, 57]
reduction	1.0	[65, 57, 38, 53]
surface	1.5	[67, 53, 57]
surface	2.0	[69, 38]
reduction	2.0	[69, 59, 38, 55]
surface	2.5	[67, 38]
surface	3.0	[65, 55, 59]
reduction	3.0	[67, 59, 38, 55]
surface	3.5	[67, 55, 59]
surface	4.0	[69, 38]
reduction	4.0	[69, 65, 38, 57]
surface	5.0	[69, 57, 62, 65]
reduction	5.0	[69, 65, 38, 57]
surface	5.75	[71, 57, 62, 65]
surface	6.0	[69, 57, 62, 65]
reduction	6.0	[69, 65, 38, 57, 62]
grouping	8.0	[64]
surface	8.0	[67, 43]
reduction	8.0	[67, 65, 43, 62]
surface	8.5	[69, 43]
surface	9.0	[71, 62, 65]
reduction	9.0	[71, 65, 43, 62]
surface	9.5	[67, 62, 65]
surface	10.0	[72, 45]
reduction	10.0	[72, 65, 45, 60]
surface	11.0	[72, 60, 65]
reduction	11.0	[69, 65, 45, 60]
surface	11.2	[71, 60, 65]
surface	11.4	[69, 60, 65]
surface	11.6	[67, 60, 65]
surface	11.8	[65, 60, 65]
surface	12.0	[67, 43]
reduction	12.0	[67, 62, 43, 60]
surface	13.0	[67, 60, 62]
reduction	13.0	[67, 62, 43, 60]
surface	13.75	[69, 60, 62]
surface	14.0	[67, 59, 62]
reduction	14.0	[67, 62, 43, 59, 62]
grouping	16.0	[64, 67]
surface	16.0	[67, 41]
reduction	16.0	[67, 62, 41, 55]
surface	16.5	[69, 41]
surface	17.0	[71, 55, 62]
reduction	17.0	[71, 62, 41, 55]
surface	17.5	[67, 55, 62]
surface	18.0	[72, 40]
reduction	18.0	[72, 60, 40, 59]
surface	19.0	[72, 59, 60]
reduction	19.0	[67, 60, 40, 59]
surface	19.2	[71, 59, 60]
surface	19.4	[69, 59, 60]
surface	19.6	[67, 59, 60]
surface	19.8	[65, 59, 60]
surface	20.0	[65, 53, 57, 60]
reduction	20.0	[65, 60, 53, 57]
surface	20.5	[64, 53, 57, 60]
surface	21.0	[65, 57, 61]
reduction	21.0	[65, 61, 53, 57]
surface	21.5	[67, 57, 61]
surface	22.0	[65, 58, 62]
reduction	22.0	[65, 62, 46, 53]
surface	22.5	[64, 58, 62]
surface	23.0	[62, 46, 53]
reduction	23.0	[62, 46, 53]
grouping	24.0	[64]
surface	24.0	[62, 43]
reduction	24.0	[62, 59, 43, 50]
surface	24.5	[64, 43]
surface	25.0	[65, 50, 59]
reduction	25.0	[65, 59, 43, 50]
surface	25.5	[69, 50, 59]
surface	26.0	[67, 45]
reduction	26.0	[65, 61, 45, 55]
surface	26.5	[65, 45]
surface	27.0	[64, 55, 61]
reduction	27.0	[64, 61, 45, 55]
surface	27.5	[65, 55, 61]
surface	28.0	[62, 38]
reduction	28.0	[62, 57, 38, 53]
surface	29.0	[62, 50, 53, 57]
reduction	29.0	[62, 57, 38, 53]
surface	29.75	[57, 50, 53, 57]
surface	30.0	[62, 50, 53, 57]
reduction	30.0	[62, 57, 38, 50, 53]
