tonality	4.0	[64, 66, 67, 69, 71, 72, 74]
grouping	4.0	[60, 64, 67]
surface	4.0	[64, 45, 48, 52, 55]
reduction	4.0	[72, 45, 48, 52, 55]
surface	2.0	[66, 45, 48, 52, 55]
surface	3.0	[67, 45, 48, 52, 55]
surface	4.0	[72, 45, 48, 52, 55]
surface	8.0	[72, 50, 54, 57, 60]
reduction	8.0	[62, 50, 54, 57, 60]
surface	9.0	[62, 50, 54, 57, 60]
surface	10.0	[64, 50, 54, 57, 60]
surface	11.0	[66, 50, 54, 57, 60]
surface	12.0	[71, 43, 47, 50, 54]
reduction	12.0	[71, 43, 47, 50, 54]
surface	14.0	[71, 43, 47, 50, 54]
surface	16.0	[71, 48, 52, 55, 59]
reduction	16.0	[60, 48, 52, 55, 59]
surface	17.0	[60, 48, 52, 55, 59]
surface	18.0	[62, 48, 52, 55, 59]
surface	19.0	[64, 48, 52, 55, 59]
surface	20.0	[69, 42, 45, 48, 52]
reduction	20.0	[69, 42, 45, 48, 52]
surface	24.0	[69, 47, 51, 54, 57]
reduction	24.0	[59, 47, 51, 54, 57]
surface	25.0	[59, 47, 51, 54, 57]
surface	26.0	[61, 47, 51, 54, 57]
surface	27.0	[63, 47, 51, 54, 57]
surface	28.0	[67, 52, 55, 59]
reduction	28.0	[67, 52, 55, 59]
surface	32.0	[52, 55, 59]
reduction	32.0	[64, 52, 55, 59]
surface	33.0	[64, 52, 55, 59]
surface	34.0	[66, 52, 55, 59]
surface	35.0	[67, 52, 55, 59]
surface	36.0	[69, 47, 51, 54, 57]
reduction	36.0	[69, 47, 51, 54, 57]
surface	37.0	[66, 47, 51, 54, 57]
surface	38.0	[69, 47, 51, 54, 57]
surface	39.0	[67, 47, 51, 54, 57]
surface	40.0	[64, 52, 55, 59]
reduction	40.0	[64, 52, 55, 59]
surface	44.0	[64, 52, 55, 59]
reduction	44.0	[64, 52, 55, 59]
surface	46.0	[63, 52, 55, 59]
surface	47.0	[64, 52, 55, 59]
grouping	48.0	[60, 64]
surface	48.0	[66, 42, 45, 48, 52]
reduction	48.0	[66, 42, 45, 48, 52]
surface	49.0	[59, 42, 45, 48, 52]
surface	50.0	[66, 42, 45, 48, 52]
surface	52.0	[66, 47, 51, 54, 57, 60]
reduction	52.0	[66, 47, 51, 54, 57, 60]
surface	53.0	[66, 47, 51, 54, 57, 60]
surface	54.0	[64, 47, 51, 54, 57, 60]
surface	55.0	[66, 47, 51, 54, 57, 60]
surface	56.0	[67, 52, 55, 59]
reduction	56.0	[67, 52, 55, 59]
surface	60.0	[67, 52, 55, 59]
reduction	60.0	[67, 52, 55, 59]
surface	61.0	[67, 52, 55, 59]
surface	62.0	[66, 52, 55, 59]
surface	63.0	[67, 52, 55, 59]
grouping	64.0	[60]
surface	64.0	[69, 45, 48, 52, 55]
reduction	64.0	[69, 45, 48, 52, 55]
surface	68.0	[69, 50, 54, 57, 60]
reduction	68.0	[69, 50, 54, 57, 60]
surface	69.0	[62, 50, 54, 57, 60]
surface	70.0	[74, 50, 54, 57, 60]
surface	71.0	[72, 50, 54, 57, 60]
surface	72.0	[71, 43, 47, 50, 54]
reduction	72.0	[71, 43, 47, 50, 54]
surface	76.0	[71, 43, 47, 50, 54]
reduction	76.0	[71, 43, 47, 50, 54]
surface	78.0	[70, 43, 47, 50, 54]
surface	79.0	[71, 43, 47, 50, 54]
grouping	80.0	[60, 64]
surface	80.0	[72, 42, 45, 48, 52]
reduction	80.0	[72, 42, 45, 48, 52]
surface	81.0	[72, 42, 45, 48, 52]
surface	82.0	[69, 42, 45, 48, 52]
reduction	82.0	[69, 42, 45, 48, 52]
surface	83.0	[69, 42, 45, 48, 52]
surface	84.0	[66, 47, 51, 54, 57, 60]
reduction	84.0	[66, 47, 51, 54, 57, 60]
surface	87.0	[72, 47, 51, 54, 57, 60]
surface	88.0	[71, 52, 55, 59, 62]
reduction	88.0	[71, 52, 55, 59, 62]
surface	90.0	[71, 51, 55, 58, 61]
reduction	90.0	[71, 51, 55, 58, 61]
surface	92.0	[71, 50, 54, 57, 60]
reduction	92.0	[71, 50, 54, 57, 60]
surface	94.0	[71, 49, 54, 56, 59]
reduction	94.0	[71, 49, 54, 56, 59]
surface	95.0	[64, 49, 54, 56, 59]
grouping	96.0	[60]
surface	96.0	[69, 48, 52, 55, 59]
reduction	96.0	[69, 48, 52, 55, 59]
surface	99.0	[67, 48, 52, 55, 59]
surface	100.0	[66, 47, 51, 54, 57, 60]
reduction	100.0	[66, 47, 51, 54, 57, 60]
surface	102.0	[67, 47, 51, 54, 57, 60]
surface	103.0	[59, 47, 51, 54, 57, 60]
surface	104.0	[64, 52, 55, 59]
reduction	104.0	[64, 52, 55, 59]
surface	108.0	[52, 55, 59]
reduction	108.0	[71, 52, 55, 59]
surface	109.0	[64, 52, 55, 59]
surface	110.0	[66, 52, 55, 59]
surface	111.0	[67, 52, 55, 59]
