tonality	0.0	[60, 62, 63, 65, 67, 68, 70]
grouping	0.0	[54, 58, 61]
surface	0.0	[67, 41, 44, 48, 51]
reduction	0.0	[41, 44, 48, 51]
surface	2.0	[70, 46, 50, 53, 56]
reduction	2.0	[70, 46, 50, 53, 56]
surface	2.5	[74, 46, 50, 53, 56]
surface	3.0	[70, 46, 50, 53, 56]
surface	3.5	[72, 46, 50, 53, 56]
surface	4.0	[72, 48, 51, 55]
reduction	4.0	[72, 48, 51, 55]
surface	8.0	[72, 41, 44, 48, 51]
reduction	8.0	[72, 41, 44, 48, 51]
surface	9.5	[67, 41, 44, 48, 51]
surface	10.0	[70, 46, 50, 53, 56]
reduction	10.0	[70, 46, 50, 53, 56]
surface	10.5	[74, 46, 50, 53, 56]
surface	11.0	[70, 46, 50, 53, 56]
surface	11.5	[72, 46, 50, 53, 56]
surface	12.0	[72, 48, 51, 55]
reduction	12.0	[72, 48, 51, 55]
grouping	16.0	[54]
surface	16.0	[72, 46, 49, 53, 56]
reduction	16.0	[72, 46, 49, 53, 56]
surface	17.5	[72, 46, 49, 53, 56]
surface	18.0	[75, 51, 55, 58, 61]
reduction	18.0	[75, 51, 55, 58, 61]
surface	18.5	[79, 51, 55, 58, 61]
surface	19.0	[75, 51, 55, 58, 61]
surface	19.5	[77, 51, 55, 58, 61]
surface	20.0	[77, 41, 44, 48]
reduction	20.0	[77, 41, 44, 48]
surface	24.0	[77, 41, 44, 48, 51]
reduction	24.0	[77, 41, 44, 48, 51]
surface	25.5	[67, 41, 44, 48, 51]
surface	26.0	[70, 46, 50, 53, 56]
reduction	26.0	[70, 46, 50, 53, 56]
surface	26.5	[74, 46, 50, 53, 56]
surface	27.0	[70, 46, 50, 53, 56]
surface	27.5	[72, 46, 50, 53, 56]
surface	28.0	[72, 48, 51, 55]
reduction	28.0	[72, 48, 51, 55]
tonality	32.0	[67, 68, 70, 72, 74, 76, 77]
grouping	32.0	[54]
surface	32.0	[72, 45, 48, 52, 55]
reduction	32.0	[72, 45, 48, 52, 55]
surface	33.5	[67, 45, 48, 52, 55]
surface	34.0	[72, 50, 54, 56, 60]
reduction	34.0	[72, 50, 54, 56, 60]
surface	34.5	[74, 50, 54, 56, 60]
surface	35.0	[72, 50, 54, 56, 60]
surface	35.5	[70, 50, 54, 56, 60]
surface	36.0	[70, 43, 46, 50]
reduction	36.0	[70, 43, 46, 50]
tonality	40.0	[60, 62, 63, 65, 67, 68, 70]
surface	40.0	[70, 41, 44, 48, 51]
reduction	40.0	[70, 41, 44, 48, 51]
surface	41.5	[67, 41, 44, 48, 51]
surface	42.0	[70, 46, 50, 53, 56]
reduction	42.0	[70, 46, 50, 53, 56]
surface	42.5	[74, 46, 50, 53, 56]
surface	43.0	[70, 46, 50, 53, 56]
surface	43.5	[72, 46, 50, 53, 56]
surface	44.0	[72, 48, 51, 55]
reduction	44.0	[72, 48, 51, 55]
surface	48.0	[72, 41, 44, 48, 51]
reduction	48.0	[72, 41, 44, 48, 51]
surface	49.5	[67, 41, 44, 48, 51]
surface	50.0	[70, 46, 50, 53, 56]
reduction	50.0	[70, 46, 50, 53, 56]
surface	50.5	[74, 46, 50, 53, 56]
surface	51.0	[70, 46, 50, 53, 56]
surface	51.5	[72, 46, 50, 53, 56]
surface	52.0	[72, 48, 51, 54, 58]
reduction	52.0	[72, 48, 51, 54, 58]
surface	56.0	[72, 48, 51, 55]
reduction	56.0	[72, 48, 51, 55]
