tonality	0.0	[62, 64, 65, 67, 69, 70, 72]
grouping	0.0	[64, 67]
surface	0.0	[76, 46, 50, 53, 57, 64]
reduction	0.0	[76, 46, 50, 53, 57, 64]
surface	3.0	[74, 46, 50, 53, 57, 64]
surface	4.0	[72, 45, 49, 52, 55, 60]
reduction	4.0	[72, 45, 49, 52, 55, 60]
surface	7.0	[70, 45, 49, 52, 55, 60]
surface	8.0	[69, 50, 53, 57, 60, 64]
reduction	8.0	[69, 50, 53, 57, 60, 64]
surface	10.0	[69, 49, 53, 56, 59]
reduction	10.0	[69, 49, 53, 56, 59]
surface	11.0	[67, 49, 53, 56, 59]
surface	12.0	[65, 48, 51, 55, 58]
reduction	12.0	[74, 48, 51, 55, 58]
surface	13.0	[74, 48, 51, 55, 58]
surface	14.0	[74, 53, 57, 60, 63, 66]
reduction	14.0	[74, 53, 57, 60, 63, 66]
grouping	16.0	[64]
surface	16.0	[64, 46, 50, 53, 57]
reduction	16.0	[62, 46, 50, 53, 57]
surface	17.5	[62, 46, 50, 53, 57]
surface	18.0	[61, 46, 50, 53, 57]
surface	18.5	[62, 46, 50, 53, 57]
surface	19.0	[65, 46, 50, 53, 57]
surface	19.5	[69, 46, 50, 53, 57]
surface	20.0	[72, 45, 49, 52, 55, 65]
reduction	20.0	[72, 45, 49, 52, 55, 65]
surface	23.0	[69, 45, 49, 52, 55, 65]
surface	24.0	[67, 50, 53, 57, 59, 64]
reduction	24.0	[67, 50, 53, 57, 59, 64]
surface	27.0	[65, 50, 53, 57, 59, 64]
surface	28.0	[72, 52, 56, 59, 62, 66]
reduction	28.0	[72, 52, 56, 59, 62, 66]
surface	31.0	[68, 52, 56, 59, 62, 66]
surface	32.0	[71, 45, 48, 52, 55, 59]
reduction	32.0	[71, 45, 48, 52, 55, 59]
surface	35.0	[69, 45, 48, 52, 55, 59]
surface	36.0	[77, 50, 53, 57, 60, 64]
reduction	36.0	[77, 50, 53, 57, 60, 64]
surface	39.0	[73, 50, 53, 57, 60, 64]
surface	40.0	[76, 46, 50, 53, 57, 64]
reduction	40.0	[76, 46, 50, 53, 57, 64]
surface	43.0	[74, 46, 50, 53, 57, 64]
surface	44.0	[72, 45, 49, 52, 55, 60]
reduction	44.0	[72, 45, 49, 52, 55, 60]
surface	47.0	[70, 45, 49, 52, 55, 60]
surface	48.0	[69, 50, 53, 57, 59, 64]
reduction	48.0	[69, 50, 53, 57, 59, 64]
