tonality	0.0	[70, 72, 74, 75, 77, 79, 81]
grouping	0.0	[70, 73]
surface	0.0	[65, 46, 50, 53, 57]
reduction	0.0	[65, 46, 50, 53, 57]
surface	3.0	[70, 50, 54, 57, 60]
reduction	3.0	[70, 50, 54, 57, 60]
surface	5.0	[66, 50, 54, 57, 60]
surface	6.0	[69, 51, 55, 58, 62]
reduction	6.0	[67, 51, 55, 58, 62]
surface	8.0	[67, 51, 55, 58, 62]
surface	9.0	[67, 43, 47, 51, 53]
reduction	9.0	[67, 43, 47, 51, 53]
surface	12.0	[67, 48, 51, 55, 58]
reduction	12.0	[67, 48, 51, 55, 58]
surface	15.0	[75, 43, 47, 51, 53]
reduction	15.0	[75, 43, 47, 51, 53]
surface	17.0	[71, 43, 47, 51, 53]
surface	18.0	[74, 48, 52, 55, 58]
reduction	18.0	[72, 48, 52, 55, 58]
surface	20.0	[72, 48, 52, 55, 58]
surface	21.0	[72, 41, 45, 48, 51]
reduction	21.0	[72, 41, 45, 48, 51]
surface	22.0	[74, 41, 45, 48, 51]
surface	23.0	[75, 41, 45, 48, 51]
grouping	24.0	[70]
surface	24.0	[77, 50, 53, 57, 60]
reduction	24.0	[77, 50, 53, 57, 60]
surface	26.0	[77, 50, 53, 57, 60]
surface	27.0	[81, 49, 52, 55, 58]
reduction	27.0	[81, 49, 52, 55, 58]
surface	29.0	[81, 49, 52, 55, 58]
surface	30.0	[77, 48, 51, 55, 58]
reduction	30.0	[77, 48, 51, 55, 58]
surface	33.0	[72, 41, 45, 48, 51]
reduction	33.0	[72, 41, 45, 48, 51]
surface	34.0	[74, 41, 45, 48, 51]
surface	35.0	[75, 41, 45, 48, 51]
grouping	36.0	[70]
surface	36.0	[77, 50, 53, 57, 60]
reduction	36.0	[77, 50, 53, 57, 60]
surface	38.0	[77, 50, 53, 57, 60]
surface	39.0	[81, 49, 52, 55, 58]
reduction	39.0	[81, 49, 52, 55, 58]
surface	41.0	[81, 49, 52, 55, 58]
surface	42.0	[77, 48, 51, 55, 58]
reduction	42.0	[77, 48, 51, 55, 58]
surface	45.0	[77, 41, 45, 48, 51]
reduction	45.0	[77, 41, 45, 48, 51]
grouping	48.0	[72]
surface	48.0	[77, 41, 44, 48, 51]
reduction	48.0	[77, 41, 44, 48, 51]
surface	49.5	[76, 41, 44, 48, 51]
surface	50.0	[77, 41, 44, 48, 51]
surface	51.0	[84, 46, 50, 53, 56]
reduction	51.0	[82, 46, 50, 53, 56]
surface	53.0	[82, 46, 50, 53, 56]
surface	54.0	[72, 51, 55, 58]
reduction	54.0	[70, 51, 55, 58]
surface	55.0	[70, 51, 55, 58]
surface	56.0	[72, 51, 55, 58]
surface	57.0	[81, 52, 55, 58, 61]
reduction	57.0	[79, 52, 55, 58, 61]
surface	59.0	[79, 52, 55, 58, 61]
grouping	60.0	[70]
surface	60.0	[77, 53, 58, 62]
reduction	60.0	[77, 53, 58, 62]
surface	62.0	[75, 53, 58, 62]
surface	63.0	[74, 41, 48, 51, 55, 58]
reduction	63.0	[74, 41, 48, 51, 55, 58]
surface	65.0	[72, 41, 45, 48, 51]
reduction	65.0	[72, 41, 45, 48, 51]
surface	66.0	[70, 46, 50, 53]
reduction	66.0	[70, 46, 50, 53]
surface	69.0	[70, 46, 50, 53]
reduction	69.0	[70, 46, 50, 53]
