tonality	1.0	[68, 70, 72, 73, 75, 77, 79]
surface	1.0	[66, 41, 44, 48, 51, 54]
reduction	1.0	[66, 41, 44, 48, 51, 54]
grouping	2.0	[72, 75]
surface	2.0	[65, 46, 49, 53, 56]
reduction	2.0	[65, 46, 49, 53, 56]
surface	4.0	[65, 46, 49, 53, 56]
surface	4.5	[68, 46, 49, 53, 56]
surface	5.0	[72, 46, 49, 53, 56]
surface	5.5	[75, 46, 49, 53, 56]
surface	6.0	[78, 42, 46, 49, 52]
reduction	6.0	[78, 42, 46, 49, 52]
surface	7.0	[77, 41, 45, 48, 51]
reduction	7.0	[77, 41, 45, 48, 51]
surface	8.0	[76, 40, 44, 47, 50]
reduction	8.0	[76, 40, 44, 47, 50]
surface	9.0	[75, 39, 43, 46, 49]
reduction	9.0	[75, 39, 43, 46, 49]
surface	9.5	[72, 39, 43, 46, 49]
surface	10.0	[67, 44, 47, 50, 53]
reduction	10.0	[67, 44, 47, 50, 53]
surface	12.0	[67, 44, 48, 51, 55]
reduction	12.0	[67, 44, 48, 51, 55]
surface	12.5	[65, 44, 48, 51, 55]
surface	13.0	[68, 44, 48, 51, 55]
surface	13.5	[72, 44, 48, 51, 55]
surface	14.0	[75, 44, 48, 51, 54]
reduction	14.0	[75, 44, 48, 51, 54]
surface	15.0	[74, 43, 47, 50, 53]
reduction	15.0	[74, 43, 47, 50, 53]
surface	16.0	[73, 42, 46, 49, 52]
reduction	16.0	[73, 42, 46, 49, 52]
surface	17.0	[72, 41, 45, 48, 51]
reduction	17.0	[72, 41, 45, 48, 51]
surface	17.5	[77, 41, 45, 48, 51]
surface	18.0	[65, 46, 50, 53, 56]
reduction	18.0	[65, 46, 50, 53, 56]
surface	20.0	[65, 46, 50, 53, 56]
surface	20.5	[67, 46, 50, 53, 56]
surface	21.0	[68, 46, 50, 53, 56]
surface	21.5	[72, 46, 50, 53, 56]
surface	22.0	[75, 46, 49, 53, 56]
reduction	22.0	[72, 46, 49, 53, 56]
surface	22.3333333333	[72, 46, 49, 53, 56]
surface	22.6666666667	[75, 46, 49, 53, 56]
surface	23.0	[72, 46, 49, 53, 56]
surface	24.0	[72, 39, 43, 46, 49]
reduction	24.0	[75, 39, 43, 46, 49]
surface	25.0	[75, 39, 43, 46, 49]
grouping	26.0	[72]
surface	26.0	[67, 44, 48, 51, 55]
reduction	26.0	[67, 44, 48, 51, 55]
surface	29.0	[75, 44, 48, 51, 55]
surface	30.0	[66, 44, 48, 51, 54]
reduction	30.0	[66, 44, 48, 51, 54]
surface	33.0	[66, 41, 45, 48, 51, 54]
reduction	33.0	[66, 41, 45, 48, 51, 54]
surface	34.0	[67, 44, 48, 51, 55]
reduction	34.0	[68, 44, 48, 51, 55]
surface	34.5	[65, 44, 48, 51, 55]
surface	35.0	[68, 44, 48, 51, 55]
tonality	38.0	[67, 69, 71, 72, 74, 76, 78]
surface	38.0	[45, 48, 51, 55]
reduction	38.0	[45, 48, 51, 55]
surface	40.0	[50, 54, 57, 60, 63]
reduction	40.0	[50, 54, 57, 60, 63]
grouping	42.0	[70, 73]
surface	42.0	[43, 47, 50, 54]
reduction	42.0	[62, 43, 47, 50, 54]
surface	42.5	[62, 43, 47, 50, 54]
surface	43.5	[59, 43, 47, 50, 54]
surface	44.0	[64, 40, 43, 47, 50]
reduction	44.0	[64, 40, 43, 47, 50]
surface	45.0	[59, 40, 43, 47, 50]
surface	45.5	[67, 40, 43, 47, 50]
surface	46.0	[67, 45, 48, 52, 55]
reduction	46.0	[64, 45, 48, 52, 55]
surface	46.5	[64, 45, 48, 52, 55]
surface	47.0	[71, 45, 48, 52, 55]
surface	48.0	[66, 50, 54, 57, 60]
reduction	48.0	[66, 50, 54, 57, 60]
surface	48.5	[76, 50, 54, 57, 60]
surface	49.5	[70, 50, 54, 57, 60]
surface	50.0	[71, 43, 47, 50, 53]
reduction	50.0	[71, 43, 47, 50, 53]
surface	50.5	[71, 43, 47, 50, 53]
surface	51.0	[65, 43, 47, 50, 53]
surface	52.0	[65, 44, 47, 50, 53]
reduction	52.0	[65, 44, 47, 50, 53]
surface	54.0	[64, 45, 48, 52, 55]
reduction	54.0	[64, 45, 48, 52, 55]
surface	54.5	[72, 45, 48, 52, 55]
surface	55.0	[63, 45, 48, 52, 55]
surface	56.0	[63, 50, 54, 57, 60]
reduction	56.0	[63, 50, 54, 57, 60]
grouping	58.0	[70]
surface	58.0	[43, 47, 50, 54]
reduction	58.0	[62, 43, 47, 50, 54]
surface	58.5	[62, 43, 47, 50, 54]
surface	59.5	[59, 43, 47, 50, 54]
surface	60.0	[64, 40, 43, 47, 50]
reduction	60.0	[64, 40, 43, 47, 50]
surface	61.0	[59, 40, 43, 47, 50]
surface	61.5	[67, 40, 43, 47, 50]
surface	62.0	[67, 45, 48, 52, 55]
reduction	62.0	[64, 45, 48, 52, 55]
surface	62.5	[64, 45, 48, 52, 55]
surface	63.0	[71, 45, 48, 52, 55]
surface	64.0	[66, 50, 54, 57, 60]
reduction	64.0	[66, 50, 54, 57, 60]
surface	64.5	[76, 50, 54, 57, 60]
surface	65.5	[70, 50, 54, 57, 60]
surface	66.0	[71, 43, 47, 50, 53]
reduction	66.0	[71, 43, 47, 50, 53]
surface	67.0	[65, 43, 47, 50, 53]
surface	67.5	[68, 43, 47, 50, 53]
surface	68.0	[67, 48, 51, 55, 58]
reduction	68.0	[67, 48, 51, 55, 58]
surface	68.5	[63, 48, 51, 55, 58]
surface	69.0	[60, 48, 51, 55, 58]
tonality	70.0	[68, 70, 72, 73, 75, 77, 79]
surface	70.0	[65, 51, 55, 58, 61]
reduction	70.0	[65, 51, 55, 58, 61]
surface	70.5	[67, 51, 55, 58, 61]
surface	71.0	[70, 51, 55, 58, 61]
surface	71.5	[73, 51, 55, 58, 61]
surface	72.0	[72, 48, 51, 54, 58]
reduction	72.0	[72, 48, 51, 54, 58]
surface	72.5	[75, 48, 51, 54, 58]
surface	73.0	[66, 41, 45, 48, 51, 54]
reduction	73.0	[66, 41, 45, 48, 51, 54]
surface	74.0	[68, 44, 48, 51, 55]
reduction	74.0	[68, 44, 48, 51, 55]
