tonality	0.0	[66, 68, 70, 72, 74, 76]
grouping	0.0	[64, 67]
surface	0.0	[52, 40, 52]
reduction	0.0	[52, 62, 66, 70, 74, 40, 52]
surface	0.25	[70, 74, 40, 52]
surface	0.5	[66, 40, 52]
surface	0.75	[62, 40, 52]
surface	1.0	[58, 58, 40, 52]
reduction	1.0	[58, 62, 66, 70, 74, 58, 40, 52]
surface	1.25	[70, 74, 58, 40, 52]
surface	1.5	[66, 40, 52]
surface	1.75	[62, 40, 52]
surface	2.0	[54, 42, 54]
reduction	2.0	[54, 60, 64, 68, 72, 42, 54]
surface	2.25	[68, 72, 42, 54]
surface	2.5	[64, 42, 54]
surface	2.75	[60, 42, 54]
surface	3.0	[56, 56, 42, 54]
reduction	3.0	[56, 64, 68, 72, 76, 56, 42, 54]
surface	3.25	[72, 76, 56, 42, 54]
surface	3.5	[68, 42, 54]
surface	3.75	[64, 42, 54]
grouping	4.0	[64]
surface	4.0	[52, 40, 52]
reduction	4.0	[52, 62, 66, 70, 74, 40, 52]
surface	4.25	[70, 74, 40, 52]
grouping	4.5	[64]
surface	4.5	[66, 40, 52]
surface	4.75	[62, 40, 52]
surface	5.0	[58, 58, 40, 52]
reduction	5.0	[58, 62, 66, 70, 74, 58, 40, 52]
surface	5.25	[70, 74, 58, 40, 52]
surface	5.5	[66, 40, 52]
surface	5.75	[62, 40, 52]
surface	6.0	[54, 42, 54]
reduction	6.0	[54, 60, 64, 68, 72, 42, 54]
surface	6.25	[68, 72, 42, 54]
surface	6.5	[64, 42, 54]
surface	6.75	[60, 42, 54]
surface	7.0	[56, 56, 42, 54]
reduction	7.0	[56, 64, 68, 72, 76, 56, 42, 54]
surface	7.25	[72, 76, 56, 42, 54]
surface	7.5	[68, 42, 54]
surface	7.75	[64, 42, 54]
surface	8.0	[52, 40, 52]
reduction	8.0	[52, 62, 66, 70, 74, 40, 52]
surface	8.25	[70, 74, 40, 52]
grouping	8.5	[64]
surface	8.5	[66, 40, 52]
surface	8.75	[62, 40, 52]
surface	9.0	[58, 58, 40, 52]
reduction	9.0	[58, 62, 66, 70, 74, 58, 40, 52]
surface	9.25	[70, 74, 58, 40, 52]
surface	9.5	[66, 40, 52]
surface	9.75	[62, 40, 52]
surface	10.0	[54, 42, 54]
reduction	10.0	[54, 60, 64, 68, 72, 42, 54]
surface	10.25	[68, 72, 42, 54]
surface	10.5	[64, 42, 54]
surface	10.75	[60, 42, 54]
surface	11.0	[66, 66, 42, 54]
reduction	11.0	[66, 68, 76, 80, 66, 42, 54]
surface	11.25	[76, 80, 66, 42, 54]
surface	11.5	[68, 66, 42, 54]
surface	11.75	[64, 66, 42, 54]
surface	12.0	[52, 64]
reduction	12.0	[52, 64, 68, 72, 76, 64]
surface	12.25	[72, 76, 64]
surface	12.5	[68, 64]
surface	12.75	[64, 64]
surface	13.0	[62, 62]
reduction	13.0	[62, 66, 70, 74, 78, 62]
surface	13.25	[74, 78, 62]
surface	13.5	[70, 62]
surface	13.75	[66, 62]
surface	14.0	[60, 60]
reduction	14.0	[60, 62, 66, 70, 74, 60]
surface	14.25	[70, 74, 60]
surface	14.5	[66, 60]
surface	14.75	[62, 60]
surface	15.0	[58, 58]
reduction	15.0	[58, 64, 68, 72, 76, 58]
surface	15.25	[72, 76, 58]
surface	15.5	[68, 58]
surface	15.75	[64, 58]
