tonality	0.0	[62, 64, 67, 69, 72]
grouping	2.0	[76]
reduction	2.0	[72]
reduction	2.5	[74]
reduction	3.5	[79]
reduction	4.5	[74]
reduction	5.0	[74]
reduction	6.0	[74, 69]
grouping	7.0	[64]
reduction	7.0	[79, 72]
surface	7.5	[72, 62]
reduction	7.5	[81, 69, 62]
surface	2.5	[74, 62]
surface	3.0	[74, 62]
surface	3.5	[79, 62]
surface	4.5	[74, 62]
surface	5.0	[74, 62]
surface	5.5	[74, 62]
surface	6.0	[74, 69, 62]
surface	7.0	[79, 72, 62]
surface	7.5	[81, 69, 62]
surface	8.0	[79, 72, 62]
reduction	8.0	[79, 72, 62]
surface	8.5	[74, 76, 62]
reduction	8.5	[74, 76, 62]
surface	9.25	[79, 76, 62]
surface	9.5	[79, 74, 62]
reduction	9.5	[79, 74, 62]
surface	9.75	[72, 79, 62]
surface	10.0	[74, 76, 62]
reduction	10.0	[74, 76, 62]
surface	10.5	[74, 62]
reduction	10.5	[74, 62]
surface	10.75	[72, 74, 62]
surface	11.0	[74, 76, 62]
reduction	11.0	[74, 62]
surface	11.25	[74, 62]
grouping	12.0	[64]
surface	12.0	[79, 72, 62]
reduction	12.0	[79, 72, 62]
surface	12.5	[79, 69, 62]
reduction	12.5	[79, 69, 62]
surface	13.0	[74, 72, 62]
reduction	13.0	[74, 72, 62]
surface	13.5	[74, 76, 62]
reduction	13.5	[74, 76, 62]
surface	14.5	[79, 74, 62]
reduction	14.5	[79, 74, 62]
surface	14.75	[72, 79, 62]
surface	15.0	[79, 76, 62]
reduction	15.0	[79, 76, 62]
surface	15.5	[74, 62]
reduction	15.5	[74, 62]
surface	15.75	[72, 74, 62]
surface	16.0	[74, 76, 62]
reduction	16.0	[74, 76, 62]
grouping	17.0	[64]
surface	17.0	[79, 72, 62]
reduction	17.0	[79, 72, 62]
surface	17.5	[81, 69, 62]
reduction	17.5	[81, 69, 62]
surface	18.0	[79, 72, 62]
reduction	18.0	[79, 72, 62]
surface	18.5	[74, 76, 62]
reduction	18.5	[74, 76, 62]
surface	19.25	[79, 76, 62]
surface	19.5	[79, 74, 62]
reduction	19.5	[79, 74, 62]
surface	19.75	[72, 79, 62]
surface	20.0	[74, 76, 62]
reduction	20.0	[74, 76, 62]
surface	20.5	[74, 62]
reduction	20.5	[74, 62]
surface	20.75	[72, 74, 62]
surface	21.0	[74, 72, 62]
reduction	21.0	[74, 72, 62]
surface	21.5	[74, 62]
reduction	21.5	[74, 62]
surface	22.5	[74, 62]
reduction	22.5	[74, 62]
