tonality	0.0	[67, 69, 70, 72, 74, 77]
grouping	0.0	[76]
reduction	0.0	[70]
reduction	1.0	[72]
reduction	1.5	[74]
reduction	2.0	[70]
reduction	3.0	[67]
reduction	3.5	[67]
reduction	4.5	[67, 62]
reduction	5.0	[65, 67]
reduction	5.5	[65]
grouping	6.0	[64, 67]
surface	6.0	[70, 69, 67]
reduction	6.0	[74, 67, 69, 67]
surface	1.0	[72, 69, 67]
surface	1.5	[74, 69, 67]
surface	1.75	[72, 69, 67]
surface	2.0	[70, 69, 67]
surface	3.0	[67, 69, 67]
surface	3.5	[67, 69, 67]
surface	4.5	[67, 62, 69, 67]
surface	5.0	[65, 67, 69, 67]
surface	5.25	[65, 67, 69, 67]
surface	5.5	[65, 69, 67]
surface	6.0	[74, 67, 69, 67]
surface	6.5	[74, 67, 69, 67]
reduction	6.5	[74, 67, 67, 69]
surface	6.75	[65, 74, 67]
reduction	7.0	[65, 74, 67]
surface	7.5	[74, 67, 69, 67]
reduction	7.5	[74, 67, 69, 67]
surface	8.0	[74, 67, 69, 67]
reduction	8.0	[65, 74, 69, 67]
surface	8.25	[65, 74, 69, 67]
surface	9.0	[74, 67, 69, 67]
reduction	9.0	[74, 67, 69, 67]
surface	9.5	[74, 67, 67]
reduction	9.5	[65, 74, 67]
surface	9.75	[65, 74, 67]
surface	10.5	[72, 67, 69, 67]
reduction	10.5	[72, 67, 69, 67]
surface	10.75	[70, 67, 69, 67]
surface	11.0	[70, 67, 69, 67]
reduction	11.0	[70, 67, 69, 67]
surface	11.25	[65, 70, 67]
surface	11.5	[62, 70, 67]
reduction	11.5	[62, 70, 67]
grouping	12.0	[64]
surface	12.0	[70, 67, 69, 67]
reduction	12.0	[70, 67, 69, 67]
surface	12.5	[72, 67, 69, 67]
reduction	12.5	[72, 65, 69, 67]
surface	12.75	[65, 72, 67]
reduction	13.0	[72, 65, 67]
surface	13.5	[74, 67, 69, 67]
reduction	13.5	[74, 67, 69, 67]
surface	13.75	[72, 67, 69, 67]
surface	14.0	[70, 67, 69, 67]
reduction	14.0	[70, 65, 69, 67]
surface	14.25	[65, 70, 69, 67]
surface	15.0	[67, 62, 69, 67]
reduction	15.0	[67, 62, 69, 67]
surface	15.5	[67, 65, 69, 67]
reduction	15.5	[67, 65, 69, 67]
surface	15.75	[62, 67, 67]
surface	16.0	[65, 67, 67]
reduction	16.0	[65, 67, 67]
surface	16.5	[67, 67]
reduction	16.5	[67, 67]
surface	17.0	[65, 67, 67]
reduction	17.0	[62, 67, 67]
surface	17.25	[62, 67, 67]
surface	17.5	[62, 67]
reduction	17.5	[62, 67]
grouping	18.0	[64]
surface	18.0	[74, 67, 69, 67]
reduction	18.0	[74, 67, 69, 67]
surface	18.5	[72, 67, 69, 67]
reduction	18.5	[72, 67, 69, 67]
surface	18.75	[65, 72, 67]
reduction	19.0	[65, 72, 67]
surface	19.25	[70, 65, 67]
surface	19.5	[74, 67, 69, 67]
reduction	19.5	[74, 67, 69, 67]
surface	20.0	[72, 67, 69, 67]
reduction	20.0	[72, 67, 69, 67]
surface	20.25	[65, 72, 67]
reduction	20.5	[65, 72, 67]
surface	20.75	[70, 65, 67]
surface	21.0	[72, 62, 69, 67]
reduction	21.0	[72, 62, 69, 67]
surface	21.5	[67, 65, 67]
reduction	21.5	[67, 65, 67]
surface	22.5	[67, 67]
reduction	22.5	[67, 67]
surface	22.75	[65, 67, 67]
surface	23.0	[67, 62, 67]
reduction	23.0	[67, 62, 67]
grouping	24.0	[76]
surface	25.5	[70]
reduction	25.5	[70]
surface	26.5	[72]
reduction	26.5	[72]
surface	27.0	[74]
reduction	27.0	[74]
surface	27.5	[74]
reduction	27.5	[74]
surface	28.5	[74]
reduction	28.5	[74]
surface	29.0	[74]
reduction	29.0	[74]
surface	30.0	[72, 62]
reduction	30.0	[72, 62]
surface	30.25	[70, 62]
surface	30.5	[70, 62]
reduction	30.5	[70, 62]
surface	30.75	[65, 70]
surface	31.0	[65]
reduction	31.0	[65]
grouping	31.5	[64, 67]
surface	31.5	[74, 69, 69, 67]
reduction	31.5	[74, 69, 69, 67]
surface	32.0	[72, 67, 69, 67]
reduction	32.0	[72, 67, 69, 67]
surface	32.25	[65, 72, 67]
reduction	32.5	[65, 72, 67]
surface	32.75	[70, 65, 67]
surface	33.0	[74, 69, 69, 67]
reduction	33.0	[74, 69, 69, 67]
surface	33.5	[72, 67, 69, 67]
reduction	33.5	[72, 67, 69, 67]
surface	33.75	[65, 72, 67]
reduction	34.0	[65, 72, 67]
surface	34.25	[70, 65, 67]
surface	34.5	[72, 67, 69, 67]
reduction	34.5	[72, 67, 69, 67]
surface	35.0	[70, 67, 69, 67]
reduction	35.0	[70, 67, 69, 67]
surface	35.25	[65, 70, 67]
reduction	35.5	[65, 70, 67]
surface	36.0	[72, 67, 67]
reduction	36.0	[72, 67, 67]
surface	36.25	[70, 65, 67]
surface	36.5	[67, 62, 67]
reduction	36.5	[67, 62, 67]
grouping	37.5	[64]
surface	37.5	[70, 69, 69, 67]
reduction	37.5	[70, 69, 69, 67]
surface	38.0	[72, 67, 69, 67]
reduction	38.0	[72, 67, 69, 67]
surface	38.25	[65, 72, 67]
reduction	38.5	[65, 72, 67]
surface	39.0	[74, 69, 69, 67]
reduction	39.0	[74, 69, 69, 67]
surface	39.5	[72, 67, 69, 67]
reduction	39.5	[72, 67, 69, 67]
surface	39.75	[65, 72, 67]
reduction	40.0	[65, 72, 67]
surface	40.5	[72, 67, 69, 67]
reduction	40.5	[72, 67, 69, 67]
surface	41.0	[67, 69, 67]
reduction	41.0	[67, 69, 67]
surface	41.25	[65, 67, 67]
reduction	41.5	[65, 67, 67]
surface	42.0	[67, 67]
reduction	42.0	[67, 67]
surface	42.25	[65, 67, 67]
surface	42.5	[67, 62, 67]
reduction	42.5	[67, 62, 67]
grouping	43.5	[64]
surface	43.5	[72, 69, 69, 67]
reduction	43.5	[72, 69, 69, 67]
surface	43.75	[70, 69, 69, 67]
surface	44.0	[72, 67, 69, 67]
reduction	44.0	[67, 72, 69, 67]
surface	44.25	[65, 72, 67]
reduction	44.5	[65, 72, 67]
surface	45.0	[74, 67, 69, 67]
reduction	45.0	[74, 67, 69, 67]
surface	45.25	[72, 67, 69, 67]
surface	45.5	[72, 67, 69, 67]
reduction	45.5	[72, 67, 69, 67]
surface	45.75	[65, 72, 67]
reduction	46.0	[65, 72, 67]
surface	46.5	[72, 67, 69, 67]
reduction	46.5	[72, 67, 69, 67]
surface	46.75	[70, 67, 69, 67]
surface	47.0	[67, 69, 67]
reduction	47.0	[67, 69, 67]
surface	47.25	[65, 67, 67]
reduction	47.5	[65, 67, 67]
surface	48.0	[67, 67]
reduction	48.0	[67, 67]
surface	48.25	[65, 67, 67]
surface	48.5	[67, 62, 67]
reduction	48.5	[67, 62, 67]
