tonality	0.0	[70, 73, 75, 77, 80]
grouping	0.0	[76]
grouping	5.0	[64, 67]
surface	5.0	[75, 73, 70]
reduction	5.0	[73, 65, 73, 70]
surface	1.5	[73, 73, 70]
surface	2.0	[70, 73, 70]
surface	3.0	[68, 70, 73, 70]
surface	3.5	[68, 70, 73, 70]
surface	4.5	[65, 70, 73, 70]
surface	5.0	[73, 65, 73, 70]
surface	5.5	[75, 68, 73, 70]
surface	6.0	[77, 70, 73, 70]
reduction	6.0	[77, 70, 73, 70]
surface	6.5	[77, 68, 73, 70]
surface	7.0	[80, 70, 73, 70]
reduction	7.0	[80, 70, 73, 70]
surface	7.5	[77, 68, 73, 70]
surface	8.0	[75, 70, 73, 70]
reduction	8.0	[75, 70, 73, 70]
surface	8.5	[73, 68, 73, 70]
surface	9.0	[75, 70, 73, 70]
reduction	9.0	[75, 70, 73, 70]
surface	10.0	[70, 75, 73, 70]
reduction	10.0	[73, 68, 73, 70]
surface	10.25	[68, 75, 73, 70]
surface	10.5	[73, 65, 73, 70]
surface	10.75	[68, 73, 73, 70]
surface	11.0	[70, 75, 70]
reduction	11.0	[70, 75, 70]
surface	12.0	[70, 73, 70]
reduction	12.0	[70, 73, 70]
surface	13.0	[70, 70]
reduction	13.0	[70, 70]
surface	14.0	[68, 70, 70]
surface	14.25	[65, 70, 70]
surface	14.5	[68, 70, 70]
grouping	16.0	[64]
surface	16.0	[77, 70, 73, 70]
reduction	16.0	[77, 70, 75, 70]
surface	16.5	[77, 68, 73, 70]
surface	17.0	[75, 70, 70]
reduction	17.0	[75, 70, 70]
surface	17.5	[73, 68, 70]
surface	18.0	[70, 75, 70]
reduction	18.0	[70, 75, 70]
surface	19.0	[73, 68, 73, 70]
reduction	19.0	[73, 68, 73, 70]
surface	20.0	[75, 70, 73, 70]
reduction	20.0	[75, 70, 73, 70]
surface	21.0	[70, 75, 73, 70]
reduction	21.0	[73, 68, 73, 70]
surface	21.25	[68, 75, 73, 70]
surface	21.5	[73, 65, 73, 70]
