time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
0;[4,_0_3_7_];[4,_0_3_7_];11;71
0.5;[4,_0_3_7_14_];;;
1;[7,_0_4_7_];[7,_0_4_7_];11;71
1.5;[7,_0_4_7_11_];;;
2;[9,_0_3_7_];[9,_0_3_7_];9;69
2.5;[9,_0_3_7_17_];;;
3;[4,_0_3_7_];[4,_0_3_7_];7;67
4;[9,_0_3_7_9_];[9,_0_3_7_9_];6;66
5;[11,_0_4_7_];[11,_0_4_7_];;
5.5;[11,_0_4_7_10_];[11,_0_4_7_10_];;
6;[4,_0_3_7_];[4,_0_3_7_];4;64
grouping;-------;-------;-------;-------
8;[4,_0_3_7_];[4,_0_3_7_];11;71
8.5;[4,_0_3_7_14_];;;
9;[7,_0_4_7_];[7,_0_4_7_];11;71
10;[6,_0_3_7_];[6,_0_3_7_];1;73
10.5;[7,_0_4_6_];;;
11;[6,_0_3_6_9_];[6,_0_3_6_9_];3;75
12;[4,_0_4_7_];[4,_0_4_7_];4;76
13;[6,_0_4_7_10_];[6,_0_4_7_10_];;
14;[11,_0_4_7_];[11,_0_4_7_];3;75
grouping;-------;-------;-------;-------
16;[4,_0_3_7_];[4,_0_3_7_];4;76
16.5;[6,_0_5_10_15_];;;
17;[4,_0_3_7_];[4,_0_3_7_];7;79
18;[6,_0_5_10_];[11,_0_4_7_];6;78
19;[11,_0_4_7_10_];[11,_0_4_7_10_];;
19.5;[11,_0_5_10_16_];;4;76
20;[4,_0_3_7_];[4,_0_3_7_];4;76
grouping;-------;-------;-------;-------
24;[4,_0_3_7_];[4,_0_3_7_];11;71
24.5;[6,_0_5_10_];;;
25;[4,_0_3_7_];[4,_0_3_7_];11;71
25.5;[3,_0_4_8_];;;
26;[9,_0_3_7_];[9,_0_3_7_];0;72
26.5;[2,_0_4_7_10_];;;
tonality;-------;-------;-------;-------
27;[4,_0_3_7_];[4,_0_3_7_];11;71
28;[9,_0_4_7_10_];[9,_0_4_7_10_];9;69
29;[2,_0_4_7_];[2,_0_4_7_];;
29.5;[2,_0_4_5_];;7;67
30;[7,_0_4_7_];[7,_0_4_7_];7;67
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
32;[7,_0_4_7_];[7,_0_4_7_];11;71
32.5;[7,_0_4_7_11_];;;
33;[1,_0_3_6_];[1,_0_3_6_];1;73
34;[2,_0_4_8_];[2,_0_4_8_];2;74
34.5;[2,_0_4_8_14_];;;
35;[11,_0_3_7_];[11,_0_3_7_];11;71
36;[1,_0_3_6_9_];[1,_0_3_6_9_];4;76
37;[11,_0_3_7_];[11,_0_3_7_];2;74
37.5;[11,_0_3_7_17_];;;
38;[1,_0_5_10_];[6,_0_4_7_];1;73
39;[6,_0_4_7_];[6,_0_4_7_10_];;
39.5;[6,_0_4_7_10_];;;
40;[11,_0_4_7_];[11,_0_4_7_];11;71
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
42;[8,_0_3_6_];[8,_0_3_6_];11;71
42.5;[0,_0_4_8_11_];;;
43;[11,_0_3_6_9_];[11,_0_3_6_9_];11;71
44;[9,_0_4_7_];[9,_0_4_7_];9;69
44.5;[6,_0_3_6_9_];[6,_0_3_6_9_];;
45;[4,_0_3_7_];[4,_0_3_7_];7;67
45.5;[4,_0_3_7_];;;
46;[6,_0_4_7_10_];[6,_0_4_7_10_];6;66
47;[11,_0_4_7_];[11,_0_4_7_];;
47.5;[11,_0_4_7_10_];[11,_0_4_7_10_];;
48;[4,_0_4_7_];[4,_0_4_7_];4;64
