time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
0;[7,_0_4_7_];[7,_0_4_7_];7;67
0.5;[7,_0_4_7_11_];;;
1;[4,_0_3_7_];[4,_0_3_7_];7;67
1.5;[4,_0_3_7_10_];;;
2;[0,_0_4_7_];[0,_0_4_7_];7;67
2.5;[0,_0_4_7_11_];;;
3;[9,_0_3_7_];[6,_0_3_6_];9;69
3.5;[6,_0_3_6_];;;
4;[7,_0_4_7_];[7,_0_4_7_];11;71
4.5;[7,_0_4_10_];;;
5;[0,_0_4_7_];[0,_0_4_7_];0;72
5.5;[0,_0_4_7_11_];;11;71
6;[9,_0_5_10_];[2,_0_4_7_];9;69
6.5;[2,_0_4_7_];[2,_0_4_7_10_];;
6.75;[2,_0_4_7_10_];;;
7;[7,_0_4_7_];[7,_0_4_7_];7;67
grouping;-------;-------;-------;-------
9;[2,_0_4_7_];[2,_0_4_7_];9;69
10;[9,_0_3_7_];[9,_0_3_7_];9;69
10.5;[11,_0_3_10_];;;
11;[0,_0_4_11_];[9,_0_3_7_];4;64
11.5;[9,_0_3_7_];;;
12;[2,_0_4_7_14_];[2,_0_4_7_];6;66
12.5;[11,_0_3_7_];[2,_0_4_7_10_];;
12.75;[2,_0_4_7_10_];;;
13;[4,_0_3_7_];[4,_0_3_7_];7;67
13.5;[4,_0_3_];;;
14;[9,_0_5_10_];[2,_0_4_7_];9;69
14.5;[2,_0_4_7_];;;
15;[7,_0_4_7_];[7,_0_4_7_];7;67
grouping;-------;-------;-------;-------
16;[7,_0_4_7_];[7,_0_4_7_];7;67
17;[2,_0_4_7_];[2,_0_4_7_];2;74
17.5;[2,_0_4_10_];;;
18;[7,_0_4_7_];[7,_0_4_7_];2;74
18.5;[2,_0_4_7_];;;
19;[4,_0_3_7_];[4,_0_3_7_];4;76
19.5;[0,_0_4_7_];;;
20;[11,_0_3_7_];[2,_0_4_7_10_];2;74
20.5;[2,_0_4_7_10_];;0;72
21;[7,_0_4_7_];[7,_0_4_7_];11;71
21.5;[7,_0_4_7_11_];;;
22;[1,_0_3_6_];[1,_0_3_6_];1;73
23;[2,_0_4_7_];[2,_0_4_7_];2;74
grouping;-------;-------;-------;-------
24;[2,_0_4_7_];[2,_0_4_7_];2;74
24.5;[2,_0_4_7_10_];[2,_0_4_7_10_];;
25;[7,_0_4_7_];[7,_0_4_7_];2;74
25.5;[9,_0_5_10_15_];;;
26;[7,_0_4_7_];[7,_0_4_7_];2;74
26.5;[7,_0_4_7_];;;
27;[0,_0_4_7_];[0,_0_4_7_];4;76
27.5;[0,_0_4_7_11_];;;
28;[2,_0_4_7_];[2,_0_4_7_];2;74
28.5;[2,_0_4_7_10_];[2,_0_4_7_10_];0;72
29;[7,_0_4_7_14_];[7,_0_4_7_];11;71
29.5;[7,_0_4_7_];;;
30;[9,_0_5_10_];[2,_0_4_7_];9;69
30.5;[2,_0_4_7_];;;
30.75;[2,_0_4_7_10_];;;
31;[7,_0_4_7_];[7,_0_4_7_];7;67
grouping;-------;-------;-------;-------
33;[0,_0_4_7_];[0,_0_4_7_];4;64
33.5;[0,_0_4_7_11_];;;
34;[6,_0_3_6_];[6,_0_3_6_];6;66
35;[7,_0_4_7_];[7,_0_4_7_];7;67
35.5;[7,_0_4_];;;
36;[4,_0_3_7_9_];[9,_0_4_7_10_];4;64
36.5;[6,_0_3_7_10_];;;
36.75;[9,_0_4_7_];;;
37;[2,_0_4_7_];[2,_0_4_7_];2;62
37.5;[11,_0_3_7_];;;
38;[9,_0_4_7_];[9,_0_4_7_];1;61
38.5;[6,_0_3_7_];[9,_0_4_10_];;
38.75;[9,_0_4_10_];;;
39;[2,_0_4_7_];[2,_0_4_7_];2;62
grouping;-------;-------;-------;-------
41;[4,_0_3_7_];[4,_0_3_7_];7;67
41.5;[4,_0_3_7_10_];;;
42;[0,_0_4_7_];[0,_0_4_7_];7;67
42.5;[0,_0_4_7_11_];;;
43;[9,_0_3_7_];[6,_0_3_6_];9;69
43.5;[6,_0_3_6_];;;
44;[7,_0_4_7_];[7,_0_4_7_];11;71
44.5;[7,_0_4_10_];[7,_0_4_10_];;
45;[0,_0_4_7_];[0,_0_4_7_];0;72
45.5;[0,_0_4_7_11_];;11;71
46;[9,_0_5_10_];[2,_0_4_7_];9;69
46.5;[2,_0_4_7_];[2,_0_4_7_10_];;
46.75;[2,_0_4_7_10_];;;
47;[7,_0_4_7_];[7,_0_4_7_];7;67
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
49;[2,_0_4_7_];[2,_0_4_7_];9;69
49.5;[4,_0_5_10_15_];;;
50;[2,_0_4_7_];[2,_0_4_7_];9;69
50.5;[9,_0_5_10_];;;
51;[9,_0_4_7_];[9,_0_4_7_];4;64
51.5;[9,_0_4_7_10_];;;
52;[2,_0_4_7_];[2,_0_4_7_];6;66
53;[4,_0_3_7_10_];[4,_0_3_7_10_];7;67
53.5;[11,_0_3_7_17_];;6;66
54;[9,_0_4_7_];[9,_0_4_7_];4;64
54.5;[9,_0_4_7_];[9,_0_4_7_10_];;
54.75;[9,_0_4_7_10_];;;
55;[2,_0_4_7_];[2,_0_4_7_];2;62
tonality;-------;-------;-------;-------
56;[7,_0_4_7_10_];[7,_0_4_7_10_];5;65
57;[0,_0_4_7_];[0,_0_4_7_];4;64
58;[0,_0_4_7_];;0;60
58.5;[0,_0_4_7_11_];;;
59;[9,_0_3_7_];[9,_0_3_7_];4;64
60;[2,_0_4_7_];[2,_0_4_7_];6;66
60.5;[2,_0_4_7_10_];[2,_0_4_7_10_];;
61;[7,_0_4_7_];[7,_0_4_7_];7;67
61.5;[7,_0_7_];;;
62;[2,_0_4_7_];[2,_0_4_7_];9;69
62.5;[2,_0_4_7_10_];[2,_0_4_7_10_];;
63;[7,_0_4_];[7,_0_4_];7;67
