time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
0;;[4,_0_3_7_];;
2;[4,_0_3_];;;
2.5;[4,_0_3_10_];;;
3;[4,_0_3_7_];;;
3.5;[4,_0_3_10_];;;
4;[4,_0_3_];[11,_0_3_7_];;
4.5;[4,_0_3_10_];;;
5;[2,_0_4_];;;
5.5;[11,_0_3_7_];;;
6;[11,_0_3_7_];;;
grouping;-------;-------;-------;-------
8;[4,_0_];[0,_0_4_7_];;
10;[0,_0_4_7_];;;
10.5;[0,_0_4_7_14_];;;
11;[0,_0_4_7_11_];;;
11.5;[0,_0_4_7_14_];;;
12;[0,_0_4_7_];[2,_0_4_7_10_];;
12.5;[0,_0_4_7_14_];;;
13;[11,_0_3_7_13_];;;
13.5;[2,_0_4_7_10_];;;
14;[2,_0_4_7_10_];;;
grouping;-------;-------;-------;-------
16;[11,_0_];[11,_0_3_7_];;
18;[11,_0_3_7_];;;
18.5;[11,_0_3_7_10_];;;
19;[11,_0_3_7_];;;
19.5;[11,_0_3_7_17_];;;
20;[11,_0_3_7_];[9,_0_3_7_10_];;
20.5;[11,_0_3_7_];;;
21;[9,_0_3_10_];;;
21.5;[9,_0_3_7_];;;
22;[9,_0_3_7_];;;
grouping;-------;-------;-------;-------
24;[11,_0_];[7,_0_4_7_];;
26;[7,_0_4_7_];;;
26.5;[9,_0_5_10_];;;
27;[7,_0_4_7_];;;
27.5;[7,_0_7_];;;
28;[11,_0_3_7_];[11,_0_3_7_10_];;
28.5;[11,_0_3_7_10_];;;
29;[4,_0_3_7_10_];[4,_0_3_7_10_];;
30;[4,_0_3_7_10_];;;
31;[4,_0_3_7_10_];[4,_0_3_7_10_];;
grouping;-------;-------;-------;-------
34;[2,_0_];[4,_0_3_7_];;
34.5;[4,_0_];;;
35;[4,_0_3_7_];;;
35.5;[4,_0_3_7_];;;
36;[2,_0_];[7,_0_4_7_];;
36.5;[4,_0_];;;
37;[7,_0_4_7_];;;
37.5;[7,_0_4_7_14_];;;
38;[7,_0_];[4,_0_3_7_];;
38.5;[2,_0_];;;
39;[4,_0_3_7_10_];;;
40;[4,_0_];[4,_0_3_7_10_];;
41;[4,_0_3_7_10_];;;
42;[2,_0_];[4,_0_3_7_];;
42.5;[4,_0_];;;
43;[4,_0_3_7_];;;
43.5;[4,_0_3_7_];;;
44;[2,_0_];[7,_0_4_7_];;
44.5;[4,_0_];;;
45;[7,_0_4_7_];;;
45.5;[7,_0_4_7_14_];;;
46;[7,_0_];[4,_0_3_7_];;
46.5;[2,_0_];;;
47;[4,_0_3_7_10_];;;
48;[4,_0_];[4,_0_3_7_10_];;
49;[4,_0_3_7_10_];;;
grouping;-------;-------;-------;-------
50;[7,_0_];[7,_0_4_7_];;
50.5;[9,_0_];;;
51;[7,_0_4_7_14_];;;
51.5;[7,_0_4_7_14_];;;
52;[7,_0_];[9,_0_3_7_10_];;
52.5;[9,_0_];;;
53;[9,_0_3_7_10_];;;
53.5;[9,_0_3_7_10_17_];;;
54;[11,_0_];[7,_0_4_7_];;
54.5;[7,_0_];;;
55;[7,_0_4_7_];;;
56;[9,_0_];[9,_0_3_7_10_];;
57;[9,_0_3_7_10_];;;
57.5;[9,_0_3_7_10_14_];;;
58;[7,_0_];[7,_0_4_7_];;
58.5;[2,_0_];;;
59;[7,_0_4_7_];;;
60;[4,_0_];[4,_0_3_7_10_];;
61;[4,_0_3_7_10_];;;
61.5;[4,_0_3_7_10_17_];;;
62;[7,_0_];[4,_0_3_7_10_];;
62.5;[2,_0_];;;
63;[4,_0_3_7_10_];;;
64;[4,_0_];[4,_0_3_7_10_];;
65;[4,_0_3_7_10_];;;
65.5;[4,_0_3_7_10_17_];;;
66;[7,_0_];[4,_0_3_7_10_];;
66.5;[2,_0_];;;
67;[4,_0_3_7_10_];;;
68;[4,_0_];[1,_0_3_7_];;
69;[1,_0_3_7_];;;
70;[4,_0_];[1,_0_3_7_];;
71;[1,_0_3_7_];;;
73;[1,_0_3_7_];;;
grouping;-------;-------;-------;-------
78;[4,_0_];[0,_0_4_7_];;
79;[0,_0_4_7_];;;
79.5;[0,_0_4_7_14_];;;
80;[0,_0_4_7_11_];;;
80.5;[0,_0_4_7_14_];;;
81;[0,_0_4_7_];[11,_0_3_];;
81.5;[0,_0_4_7_14_];;;
82;[0,_0_4_7_14_];;;
82.5;[0,_0_4_7_11_];;;
83;[0,_0_4_7_11_];;;
84;[4,_0_];[0,_0_4_7_];;
85;[0,_0_4_7_];;;
85.5;[0,_0_4_7_14_];;;
86;[0,_0_4_7_11_];;;
86.5;[0,_0_4_7_14_];;;
87;[0,_0_4_7_];[11,_0_3_];;
87.5;[0,_0_4_7_14_];;;
88;[0,_0_4_7_11_];;;
88.5;[9,_0_3_7_10_];;;
89;[0,_0_3_7_9_];[0,_0_3_7_9_];;
grouping;-------;-------;-------;-------
90;[11,_0_];[7,_0_4_7_];;
91;[7,_0_4_7_];;;
91.5;[9,_0_5_10_];;;
92;[7,_0_4_7_];;;
92.5;[4,_0_3_10_];;;
93;[7,_0_7_];[0,_0_4_7_11_];;
93.5;[7,_0_4_7_];;;
94;[0,_0_4_7_];[0,_0_4_7_];;
94.5;[0,_0_4_7_];;;
95;[0,_0_4_7_];;;
96;[11,_0_];[11,_0_3_7_];;
97;[11,_0_3_7_];;;
97.5;[11,_0_3_7_10_];;;
98;[11,_0_3_7_];;;
98.5;[11,_0_3_7_];;;
99;[11,_0_3_7_];[4,_0_3_7_10_];;
99.5;[11,_0_3_7_10_];;;
100;[4,_0_3_7_10_];[4,_0_3_7_10_];;
101;[4,_0_3_7_10_];;;
102;[4,_0_3_7_10_];[4,_0_3_7_10_];;
grouping;-------;-------;-------;-------
105;[4,_0_3_7_10_];[4,_0_3_7_];;
105.5;[4,_0_3_7_];;;
106;[4,_0_3_7_10_];[7,_0_4_7_];;
106.5;[4,_0_3_7_10_];;;
106.75;[7,_0_4_7_];;;
107;[4,_0_3_7_10_];[4,_0_3_7_];;
107.25;[4,_0_3_7_];;;
107.5;[4,_0_3_7_];;;
108;[7,_0_4_7_];[7,_0_4_7_];;
108.5;[7,_0_4_7_14_];;;
109;[4,_0_3_7_];[4,_0_3_7_];;
109.1667;[4,_0_3_7_17_];;;
109.3333;[4,_0_3_7_];;;
109.5;[4,_0_3_7_10_];;;
110;[7,_0_4_7_];[7,_0_4_7_];;
111;[4,_0_3_7_];[4,_0_3_7_];;
112;[4,_0_3_7_10_];[4,_0_3_7_10_];;
113;[4,_0_3_7_10_];[4,_0_3_7_];;
113.5;[4,_0_3_7_];;;
114;[4,_0_3_7_10_];[7,_0_4_7_];;
114.5;[4,_0_3_7_10_];;;
114.75;[7,_0_4_7_];;;
115;[4,_0_3_7_10_];[4,_0_3_7_];;
115.25;[4,_0_3_7_];;;
115.5;[4,_0_3_7_];;;
116;[7,_0_4_7_];[7,_0_4_7_];;
116.5;[7,_0_4_7_14_];;;
117;[4,_0_3_7_];[4,_0_3_7_];;
117.1667;[4,_0_3_7_17_];;;
117.3333;[4,_0_3_7_];;;
117.5;[4,_0_3_7_10_];;;
118;[7,_0_4_7_];[7,_0_4_7_];;
119;[4,_0_3_7_];[4,_0_3_7_];;
120;[4,_0_3_7_10_];[4,_0_3_7_10_];;
grouping;-------;-------;-------;-------
121;[7,_0_4_7_];[7,_0_4_7_];;
121.5;[7,_0_4_7_14_];;;
122;[9,_0_3_7_10_];[9,_0_3_7_10_];;
122.5;[9,_0_3_7_10_];;;
122.75;[9,_0_3_7_10_14_];;;
123;[7,_0_4_7_];[7,_0_4_7_];;
123.25;[7,_0_4_7_14_];;;
123.5;[4,_0_3_7_10_];;;
124;[9,_0_3_7_10_];[9,_0_3_7_10_];;
124.5;[9,_0_3_7_10_17_];;;
125;[7,_0_4_7_];[7,_0_4_7_];;
125.1667;[7,_0_4_7_];;;
125.3333;[7,_0_4_7_];;;
125.5;[7,_0_4_7_];;;
126;[9,_0_3_7_10_];[9,_0_3_7_10_];;
