time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
0;;[8,_0_4_11_];;
2;[8,_0_4_11_];[8,_0_4_7_11_];;
0.5;[2,_0_5_10_18_];;;
1;[8,_0_4_7_11_];;;
2;[8,_0_4_7_11_];;;
3;[8,_0_4_7_11_];;;
3.5;[8,_0_4_7_11_];;;
4;[2,_0_5_10_18_];[2,_0_5_10_18_];;
4.5;[8,_0_4_7_11_];;;
5;[5,_0_3_7_14_];;;
5.5;[8,_0_4_7_11_];;;
6;[5,_0_3_7_9_];[5,_0_3_7_9_];;
7;[5,_0_3_7_];[5,_0_3_7_];;
8;[7,_0_4_7_];[7,_0_4_7_];;
9;[0,_0_];[0,_0_];;
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
10;[3,_0_];;;
10.5;[5,_0_];;;
11;[7,_0_];;;
12;[3,_0_4_7_8_];[3,_0_4_7_8_];;
13;[3,_0_4_7_8_];;;
13.5;[3,_0_4_7_8_];;;
14;[5,_0_5_10_18_];[5,_0_5_10_18_];;
14.5;[3,_0_4_7_8_];;;
15;[8,_0_3_7_14_];;;
15.5;[3,_0_4_7_8_];;;
16;[8,_0_3_7_9_];[8,_0_3_7_9_];;
17;[8,_0_3_7_];[8,_0_3_7_];;
18;[10,_0_4_7_];[10,_0_4_7_];;
19;[3,_0_];[3,_0_];;
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
20;[3,_0_];;;
20.5;[5,_0_];;;
21;[7,_0_];;;
22;[7,_0_5_10_18_];[7,_0_5_10_18_];;
23;[7,_0_5_10_18_];;;
23.5;[7,_0_5_10_18_];;;
24;[5,_0_7_13_];[10,_0_3_7_];;
24.5;[10,_0_3_7_9_];;;
25;[10,_0_3_7_];;;
26;[3,_0_7_13_];[3,_0_7_13_];;
27;[3,_0_7_13_];;;
27.5;[3,_0_7_13_];;;
28;[10,_0_4_5_13_];[8,_0_3_7_];;
28.5;[8,_0_3_7_];;;
29;[8,_0_3_7_9_];;;
29.5;[8,_0_3_7_];;;
30;[2,_0_5_10_18_];[2,_0_5_10_18_];;
31;[8,_0_4_11_];[8,_0_4_11_];;
32;[8,_0_4_11_];[8,_0_4_11_];;
34;[7,_0_4_7_];[7,_0_4_7_];;
35;[0,_0_];[0,_0_];;
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
38;[0,_0_];;;
38.5;[2,_0_];;;
39;[3,_0_];;;
40;[8,_0_4_7_11_];[8,_0_4_7_11_];;
41;[8,_0_4_7_11_];;;
41.5;[8,_0_4_7_11_];;;
42;[2,_0_5_10_18_];[2,_0_5_10_18_];;
42.5;[8,_0_4_7_11_];;;
43;[5,_0_3_7_14_];;;
43.5;[8,_0_4_7_11_];;;
44;[5,_0_3_7_9_];[5,_0_3_7_9_];;
45;[5,_0_3_7_];[5,_0_3_7_];;
46;[10,_0_4_7_10_];[10,_0_4_7_10_];;
47;[8,_0_4_7_];[8,_0_4_7_];;
grouping;-------;-------;-------;-------
48;[3,_0_];[0,_0_3_10_];;
48.5;[5,_0_];;;
49;[7,_0_];;;
50;[0,_0_3_7_10_];[0,_0_3_7_10_];;
51;[0,_0_3_7_10_];;;
51.5;[0,_0_3_7_10_];;;
52;[0,_0_5_10_15_];[0,_0_5_10_15_];;
52.5;[0,_0_3_7_10_];;;
53;[8,_0_4_7_14_];;;
53.5;[0,_0_3_7_10_];;;
54;[5,_0_3_7_10_];[5,_0_3_7_10_];;
55;[8,_0_4_7_];[8,_0_4_7_];;
56;[8,_0_3_7_9_18_];[8,_0_3_7_9_18_];;
57;[5,_0_3_7_10_];[5,_0_3_7_10_];;
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
58;[3,_0_];;;
58.5;[5,_0_];;;
59;[7,_0_];;;
60;[7,_0_5_10_18_];[7,_0_5_10_18_];;
61;[7,_0_5_10_18_];;;
61.5;[7,_0_5_10_18_];;;
62;[5,_0_7_13_];[10,_0_3_7_];;
62.5;[10,_0_3_7_9_];;;
63;[10,_0_3_7_];;;
64;[5,_0_5_10_18_];[5,_0_5_10_18_];;
65;[5,_0_5_10_18_];;;
65.5;[5,_0_5_10_18_];;;
66;[10,_0_4_7_13_];[2,_0_3_6_9_];;
66.5;[8,_0_3_7_9_];;;
67;[5,_0_3_6_];;;
67.5;[8,_0_3_7_9_];;;
68;[2,_0_5_10_18_];[2,_0_5_10_18_];;
70;[8,_0_4_11_];[8,_0_4_11_];;
72;[8,_0_4_11_];[8,_0_4_11_];;
76;[7,_0_4_7_];[7,_0_4_7_];;
78;[0,_0_];[0,_0_];;
