time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
0;;[7,_0_3_7_10_];;
2;;[7,_0_3_7_10_];;
4;;[7,_0_3_7_10_];;
6;;[7,_0_3_7_10_];;
8;[7,_0_3_7_10_];[7,_0_3_7_10_];;
0.5;[7,_0_3_7_10_];;;
1;[7,_0_3_7_10_];;;
1.5;[7,_0_3_7_10_];;;
2;[7,_0_3_7_10_];;;
2.5;[7,_0_3_7_10_];;;
3;[7,_0_3_7_10_];;;
3.5;[7,_0_3_7_10_];;;
4;[7,_0_3_7_10_];;;
4.5;[7,_0_3_7_10_];;;
5;[7,_0_3_7_10_];;;
5.5;[7,_0_3_7_10_];;;
6;[7,_0_3_7_10_];;;
6.5;[7,_0_3_7_10_];;;
7;[7,_0_3_7_10_];;;
7.5;[7,_0_3_7_10_];;;
8;[7,_0_3_7_10_];;;
8.5;[7,_0_3_7_10_];;;
9;[7,_0_3_7_10_];;;
9.5;[7,_0_3_7_10_];;;
10;[7,_0_3_7_10_];[7,_0_3_7_10_];;
10.5;[7,_0_3_7_10_21_];;;
11;[7,_0_3_7_10_];;;
11.5;[7,_0_3_7_10_];;;
12;[7,_0_3_7_10_14_];[7,_0_3_7_10_14_];;
12.5;[7,_0_3_7_10_];;;
13;[7,_0_3_7_10_];[7,_0_3_7_10_];;
13.5;[7,_0_3_7_10_];;;
14;[7,_0_3_7_10_];[7,_0_3_7_10_];;
14.5;[7,_0_3_7_10_];;;
15;[7,_0_3_7_10_17_];;;
15.5;[7,_0_3_7_10_];;;
16;[7,_0_3_7_10_];[7,_0_3_7_10_];;
16.5;[7,_0_3_7_10_21_];;;
17;[7,_0_3_7_10_];[7,_0_3_7_10_];;
17.5;[7,_0_3_7_10_];;;
18;[7,_0_3_7_10_14_];[7,_0_3_7_10_14_];;
18.5;[7,_0_3_7_10_14_];;;
19;[7,_0_3_7_10_];[7,_0_3_7_10_];;
19.5;[7,_0_3_7_10_];;;
20;[7,_0_3_7_10_];[7,_0_3_7_10_];;
20.5;[7,_0_3_7_10_];;;
21;[7,_0_3_7_10_];;;
21.5;[7,_0_3_7_10_];;;
grouping;-------;-------;-------;-------
22;[7,_0_3_7_10_];[7,_0_3_7_10_];;
22.5;[7,_0_3_7_10_];;;
23;[7,_0_3_7_10_];;;
23.5;[7,_0_3_7_10_];;;
24;[7,_0_3_7_10_14_];[7,_0_3_7_10_14_];;
24.5;[7,_0_3_7_10_];;;
25;[7,_0_3_7_10_];[7,_0_3_7_10_];;
25.5;[7,_0_3_7_10_17_];;;
26;[7,_0_3_7_10_];[7,_0_3_7_10_];;
26.5;[7,_0_3_7_10_17_];;;
27;[7,_0_3_7_10_];[7,_0_3_7_10_];;
27.5;[7,_0_3_7_10_];;;
28;[7,_0_3_7_10_];[7,_0_3_7_10_];;
28.5;[7,_0_3_7_10_];;;
29;[7,_0_3_7_10_];;;
29.5;[7,_0_3_7_10_];;;
30;[7,_0_3_7_10_];[7,_0_3_7_10_];;
30.5;[7,_0_3_7_10_14_];;;
31;[7,_0_3_7_10_];[7,_0_3_7_10_];;
31.5;[7,_0_3_7_10_];;;
32;[0,_0_3_7_9_14_];[0,_0_3_7_9_14_];;
32.5;[0,_0_3_7_9_14_];;;
33;[0,_0_3_7_9_];[0,_0_3_7_9_];;
33.5;[0,_0_3_7_9_];;;
34;[7,_0_3_7_10_];[7,_0_3_7_10_];;
34.5;[7,_0_3_7_10_];;;
35;[7,_0_3_7_10_];;;
35.5;[7,_0_3_7_10_];;;
36;[7,_0_3_7_10_];[7,_0_3_7_10_];;
36.5;[7,_0_3_7_10_];;;
grouping;-------;-------;-------;-------
37;[7,_0_3_7_10_];;;
37.5;[7,_0_3_7_10_];;;
38;[7,_0_3_7_10_];[7,_0_3_7_10_];;
38.5;[7,_0_3_7_10_];;;
39;[7,_0_3_7_10_];;;
39.5;[7,_0_3_7_10_];;;
40;[7,_0_3_7_10_];[7,_0_3_7_10_];;
40.5;[7,_0_3_7_10_];;;
41;[7,_0_3_7_10_];[7,_0_3_7_10_];;
41.5;[7,_0_3_7_10_];;;
42;[7,_0_3_7_10_];[7,_0_3_7_10_];;
42.5;[7,_0_3_7_10_];;;
43;[7,_0_3_7_10_];[7,_0_3_7_10_];;
43.5;[7,_0_3_7_10_];;;
44;[7,_0_3_7_10_];[7,_0_3_7_10_];;
44.5;[7,_0_3_7_10_];;;
45;[7,_0_3_7_10_];[7,_0_3_7_10_];;
45.5;[7,_0_3_7_10_];;;
46;[7,_0_3_7_10_];[7,_0_3_7_10_];;
46.5;[7,_0_3_7_10_];;;
47;[7,_0_3_7_10_];[7,_0_3_7_10_];;
47.5;[7,_0_3_7_10_];;;
48;[7,_0_3_7_10_];[7,_0_3_7_10_];;
48.5;[7,_0_3_7_10_];;;
49;[7,_0_3_7_10_];[7,_0_3_7_10_];;
49.5;[7,_0_3_7_10_];;;
50;[7,_0_3_7_10_];[7,_0_3_7_10_];;
50.5;[7,_0_3_7_10_];;;
51;[7,_0_3_7_10_];[7,_0_3_7_10_];;
51.5;[7,_0_3_7_10_];;;
grouping;-------;-------;-------;-------
52;[7,_0_3_7_10_];[7,_0_3_7_10_];;
52.5;[7,_0_3_7_10_];;;
53;[7,_0_3_7_10_];[0,_0_4_7_10_];;
53.5;[0,_0_4_7_10_];;;
54;[0,_0_4_7_10_];[0,_0_4_7_10_];;
54.5;[0,_0_4_7_10_];;;
55;[0,_0_4_7_10_];;;
55.5;[0,_0_4_7_10_];;;
56;[0,_0_4_7_10_];[0,_0_4_7_10_];;
56.5;[0,_0_4_7_10_];;;
57;[0,_0_4_7_10_];;;
57.5;[0,_0_4_7_10_];;;
58;[0,_0_4_7_10_];[0,_0_4_7_10_];;
58.5;[0,_0_5_10_16_];;;
59;[0,_0_4_10_];;;
59.5;[0,_0_5_10_16_];;;
60;[7,_0_5_10_15_];[0,_0_5_10_];;
60.5;[5,_0_4_7_17_];;;
61;[7,_0_5_10_15_];;;
61.5;[0,_0_5_10_];;;
62;[0,_0_5_10_];[5,_0_4_7_17_];;
62.5;[10,_0_4_7_14_];;;
63;[10,_0_4_7_14_];[0,_0_5_10_];;
63.5;[0,_0_5_10_];;;
64;[9,_0_3_5_13_];[9,_0_3_5_13_];;
64.5;[9,_0_3_5_13_];;;
65;[9,_0_3_7_13_];;;
65.5;[5,_0_4_7_17_];;;
66;[5,_0_4_7_17_];[9,_0_3_5_13_];;
66.5;[9,_0_3_13_];;;
67;[9,_0_3_13_];[5,_0_4_7_17_];;
67.5;[9,_0_3_10_13_];;;
68;[9,_0_3_10_13_];[9,_0_3_13_];;
68.5;[9,_0_3_5_13_];;;
69;[9,_0_3_5_13_];[9,_0_3_10_13_];;
69.5;[9,_0_3_5_13_];;;
70;[9,_0_3_5_13_];[9,_0_3_5_13_];;
70.5;[9,_0_3_5_13_];;;
71;[7,_0_3_7_17_];[7,_0_3_7_17_];;
71.5;[7,_0_3_7_17_];;;
grouping;-------;-------;-------;-------
72;[7,_0_3_7_17_];[7,_0_3_7_17_];;
72.5;[7,_0_5_10_15_];;;
73;[0,_0_5_10_];[10,_0_4_7_14_];;
73.5;[0,_0_5_10_];;;
74;[7,_0_5_10_15_];[0,_0_5_10_];;
74.5;[5,_0_4_7_17_];;;
75;[7,_0_5_10_15_];;;
75.5;[10,_0_4_7_14_];;;
76;[0,_0_5_10_];[5,_0_4_7_17_];;
76.5;[10,_0_4_7_14_];;;
77;[0,_0_5_10_];[10,_0_4_7_14_];;
77.5;[0,_0_5_10_];;;
78;[0,_0_5_10_];[10,_0_4_7_14_];;
78.5;[7,_0_5_10_15_];;;
79;[7,_0_5_10_15_];[0,_0_5_10_];;
79.5;[0,_0_5_10_];;;
80;[7,_0_3_7_17_];[7,_0_3_7_17_];;
80.5;[7,_0_3_7_17_];;;
81;[9,_0_3_5_13_];[10,_0_4_7_14_];;
81.5;[10,_0_4_14_];;;
82;[10,_0_4_14_];[7,_0_3_7_17_];;
82.5;[10,_0_4_14_];;;
