time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;-------;-------;-------;-------
4;;[11,_0_3_7_9_];;
6;[4,_0_4_7_10_];[11,_0_3_7_9_];;
2;[4,_0_4_7_10_];;;
2.5;[8,_0_3_6_];;;
3;[8,_0_3_6_17_];;;
3.5;[8,_0_3_6_];;;
4;[4,_0_4_7_10_];;;
4.5;[11,_0_3_7_9_];;;
5;[11,_0_3_7_9_];;;
5.5;[11,_0_3_7_9_];;;
7;[11,_0_3_7_9_];[11,_0_3_7_9_];;
8;;[4,_0_4_7_10_];;
8.5;[4,_0_4_7_10_];;;
9;[11,_0_];;;
9.5;[11,_0_];;;
10;[1,_0_];;;
10.5;[11,_0_];;;
11;[4,_0_];[1,_0_3_7_];;
11.5;[1,_0_];;;
12;[1,_0_3_7_10_];[1,_0_3_7_10_];;
13;[9,_0_4_7_11_];[2,_0_4_7_11_];;
13.25;[6,_0_3_7_10_];;;
14;[6,_0_3_7_10_];;;
14.25;[2,_0_4_7_11_];;;
15;[11,_0_3_7_10_14_];[11,_0_3_7_10_14_];;
15.5;[11,_0_];;;
16;[1,_0_];;;
16.5;[11,_0_];;;
17;[4,_0_];[7,_0_7_11_];;
17.5;[1,_0_];;;
18;[7,_0_4_7_18_];[7,_0_4_7_18_];;
grouping;-------;-------;-------;-------
19;[7,_0_4_7_14_];[3,_0_3_7_10_];;
19.5;[7,_0_4_7_11_];;;
20;[7,_0_4_7_11_];;;
20.5;[3,_0_3_7_10_];;;
21;[3,_0_3_7_10_];[3,_0_3_7_10_];;
21.5;[10,_0_3_5_];;;
22;[3,_0_3_7_10_];[3,_0_3_7_10_];;
23;[10,_0_3_6_17_];[10,_0_3_6_17_];;
24;[9,_0_4_6_13_];[9,_0_4_6_13_];;
25;[11,_0_4_11_14_];[3,_0_4_8_10_19_];;
26;[3,_0_4_7_10_13_];[3,_0_4_7_10_13_];;
26.5;[3,_0_3_7_10_16_];;;
27;[3,_0_3_7_10_16_];[3,_0_4_7_10_13_];;
27.5;[3,_0_3_7_10_16_];;;
28;[3,_0_3_7_10_16_];[3,_0_3_4_];;
29;[3,_0_3_7_10_16_];[7,_0_3_7_11_18_];;
30;[7,_0_4_7_11_];[7,_0_4_7_11_];;
31;;[11,_0_3_7_14_];;
31.5;[1,_0_3_5_];;;
32;[1,_0_3_5_];[1,_0_3_5_];;
34;[6,_0_3_7_];[6,_0_3_7_];;
