time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;-------;-------;-------;-------
0;[2,_0_7_];[2,_0_7_];;
1;[2,_0_];;;
1.5;[2,_0_7_];;;
2;[2,_0_];[2,_0_7_];;
2.5;[2,_0_7_];;;
3;[2,_0_];;;
3.5;[2,_0_7_];;;
4;[2,_0_];[2,_0_7_];;
4.5;[2,_0_7_];;;
5;[2,_0_];;;
5.5;[2,_0_7_];;;
6;[2,_0_];[2,_0_7_];;
6.5;[2,_0_7_];;;
7;[2,_0_];;;
7.5;[2,_0_7_];;;
grouping;-------;-------;-------;-------
8;[2,_0_];[2,_0_7_];;
8.5;[2,_0_4_7_];;;
9;[2,_0_7_];;;
9.5;[2,_0_4_7_];;;
10;[2,_0_];;;
10.5;[2,_0_4_7_];;;
11;[2,_0_];[2,_0_7_];;
11.5;[2,_0_4_7_];;;
12;[2,_0_7_];;;
12.5;[2,_0_4_7_];;;
13;[2,_0_];;;
13.5;[2,_0_4_7_];;;
14;[4,_0_10_];[4,_0_4_7_10_];;
14.5;[4,_0_4_7_];;;
14.75;[8,_0_3_6_];;;
15;[1,_0_3_7_];[4,_0_4_7_];;
15.1667;[4,_0_4_10_];;;
15.3333;[1,_0_3_7_];;;
15.5;[4,_0_4_7_];;;
grouping;-------;-------;-------;-------
16;[2,_0_];[2,_0_7_];;
16.5;[2,_0_4_7_];;;
17;[2,_0_7_];[11,_0_3_10_];;
17.5;[6,_0_3_5_];;;
18;[2,_0_];[9,_0_4_5_];;
18.5;[6,_0_3_7_];;;
19;[2,_0_];[2,_0_7_];;
19.5;[2,_0_4_7_];;;
20;[2,_0_7_];[9,_0_4_5_];;
20.5;[6,_0_3_7_];;;
21;[2,_0_];[2,_0_7_];;
21.5;[2,_0_4_7_];;;
22;[4,_0_10_];[4,_0_4_7_10_];;
22.5;[4,_0_4_7_];;;
22.75;[8,_0_3_6_];;;
23;[1,_0_3_7_];[4,_0_4_7_];;
23.1667;[4,_0_4_10_];;;
23.3333;[1,_0_3_7_];;;
23.5;[4,_0_4_7_];;;
grouping;-------;-------;-------;-------
24;[7,_0_];[7,_0_4_7_];;
24.5;[11,_0_3_];;;
25;[7,_0_7_];;;
25.5;[11,_0_3_];;;
26;[7,_0_];;;
26.5;[11,_0_3_];;;
27;[7,_0_];[4,_0_3_7_];;
27.5;[4,_0_7_];;;
28;[7,_0_7_];[3,_0_4_8_];;
28.5;[11,_0_4_];;;
29;[7,_0_];[4,_0_3_7_];;
29.5;[4,_0_7_];;;
30;[9,_0_];[9,_0_4_7_];;
30.5;[1,_0_3_];;;
30.75;[4,_0_10_];;;
31;[1,_0_3_];[9,_0_4_7_];;
grouping;-------;-------;-------;-------
32;[7,_0_];[7,_0_4_7_];;
32.5;[11,_0_3_];;;
33;[7,_0_7_];[7,_0_4_6_];;
33.5;[1,_0_10_];;;
34;[7,_0_];[7,_0_4_7_];;
34.5;[11,_0_3_];;;
35;[4,_0_3_];[4,_0_3_];;
35.5;[7,_0_4_];;;
36;[3,_0_11_];[3,_0_3_4_];;
36.5;[11,_0_7_];;;
37;[4,_0_3_];[4,_0_3_];;
37.5;[7,_0_4_];;;
38;[9,_0_];[9,_0_4_7_];;
38.5;[9,_0_7_];;;
38.75;[4,_0_3_];;;
39;[9,_0_4_];;;
grouping;-------;-------;-------;-------
41;[2,_0_];[2,_0_4_7_];;
41.5;[2,_0_4_7_];;;
42;[9,_0_];;;
42.5;[2,_0_4_7_];;;
43;[8,_0_3_6_];[8,_0_3_6_];;
43.5;[11,_0_3_7_9_];;;
44;[2,_0_];[2,_0_4_7_];;
44.5;[2,_0_4_7_];;;
45;[9,_0_];;;
45.5;[2,_0_4_7_];;;
46;[8,_0_3_6_];[8,_0_3_6_];;
46.5;[11,_0_3_7_9_];;;
47;[4,_0_];[4,_0_4_];;
47.5;[4,_0_4_];;;
47.75;[4,_0_4_10_];;;
48;[1,_0_5_10_];[11,_0_7_];;
48.1667;[11,_0_3_7_];;;
48.3333;[1,_0_5_10_];;;
48.5;[11,_0_7_];;;
grouping;-------;-------;-------;-------
49;[2,_0_];[2,_0_4_7_];;
49.5;[2,_0_4_7_];;;
50;[9,_0_];;;
50.5;[2,_0_4_7_];;;
51;[2,_0_];[8,_0_3_6_];;
51.5;[11,_0_3_7_9_];;;
52;[2,_0_];[2,_0_4_7_];;
52.5;[2,_0_4_7_];;;
53;[9,_0_];;;
53.5;[2,_0_4_7_];;;
54;[2,_0_];[8,_0_3_6_];;
54.5;[11,_0_3_7_9_];;;
55;[4,_0_];[4,_0_4_7_];;
55.5;[4,_0_4_7_];;;
55.75;[4,_0_4_7_10_];;;
56;[1,_0_5_10_15_];[11,_0_3_7_];;
56.1667;[11,_0_3_7_17_];;;
56.3333;[1,_0_5_10_15_];;;
56.5;[11,_0_3_7_];;;
grouping;-------;-------;-------;-------
57;[7,_0_];[7,_0_11_];;
57.5;[11,_0_7_];;;
58;[2,_0_3_];[6,_0_1_11_];;
58.5;[11,_0_7_];;;
59;[7,_0_11_];[7,_0_11_];;
59.5;[11,_0_7_];;;
60;[4,_0_3_];[4,_0_3_];;
60.5;[4,_0_7_];;;
61;[3,_0_11_];[4,_0_3_11_];;
61.5;[4,_0_7_];;;
62;[4,_0_3_];[4,_0_3_];;
62.5;[4,_0_7_];;;
63;[9,_0_];[9,_0_4_7_];;
63.5;[1,_0_3_];;;
63.75;[4,_0_10_];;;
64;[1,_0_3_];[9,_0_4_7_];;
grouping;-------;-------;-------;-------
65;[7,_0_];[7,_0_4_7_11_];;
65.5;[11,_0_3_7_];;;
66;[2,_0_];;;
66.5;[11,_0_3_7_];;;
67;[7,_0_];;;
67.5;[11,_0_3_7_];;;
68;[7,_0_];[2,_0_4_7_17_];;
68.5;[11,_0_3_7_10_];;;
69;[2,_0_];;;
69.5;[11,_0_3_7_10_];;;
70;[7,_0_];[4,_0_3_10_];;
70.5;[4,_0_3_7_10_];;;
71;[9,_0_];[9,_0_4_7_];;
71.5;[4,_0_5_10_];;;
71.75;[4,_0_5_10_15_];;;
72;[9,_0_4_7_];;;
