time;surface;reduction;melodyPC;melodyMIDI
;;;;
0;[7,_0_];[7,_0_];;
0.75;[0,_0_];[0,_0_];;
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
1;[10,_0_];[10,_0_];;
2.5;[0,_0_7_];[0,_0_7_];;
3;[3,_0_4_7_14_];[3,_0_4_7_14_];;
4;[5,_0_3_7_10_];[5,_0_3_7_10_];;
4.75;[5,_0_3_7_10_];;;
5;[6,_0_4_7_];[6,_0_4_7_];;
7;[6,_0_4_7_11_];[6,_0_4_7_11_];;
8.5;[6,_0_4_7_11_];;;
9;[0,_0_3_7_];[0,_0_3_7_];;
10;[1,_0_4_7_];[1,_0_4_7_];;
10.5;[0,_0_3_5_];[0,_0_3_5_];;
11;[10,_0_4_];[10,_0_4_];;
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
13;;[10,_0_];;
13.5;[10,_0_];;;
13.75;[10,_0_];;;
14;[3,_0_7_];[11,_0_4_7_11_];;
14.5;[11,_0_4_7_11_];;;
14.75;[11,_0_4_7_11_];;;
15;[11,_0_4_5_11_];[11,_0_4_5_11_];;
15.5;[4,_0_4_7_];;;
16;[1,_0_3_7_10_];[10,_0_3_7_10_];;
16.5;[10,_0_3_7_10_];;;
17;[10,_0_5_10_15_];[3,_0_3_7_];;
17.5;[3,_0_3_7_];;;
18;[11,_0_4_7_11_];[8,_0_3_7_10_];;
18.5;[8,_0_3_7_10_];;;
19;[11,_0_3_7_9_];[11,_0_3_7_9_];;
20;[10,_0_4_7_10_];[2,_0_4_8_15_18_];;
20.5;[2,_0_3_6_16_];;;
21;[3,_0_3_10_];[3,_0_3_10_];;
22;[3,_0_5_10_];[3,_0_5_10_];;
22.5;[6,_0_4_];[6,_0_4_];;
23;[11,_0_4_11_];[11,_0_4_11_];;
24;[10,_0_3_7_10_];[10,_0_3_7_10_];;
25;[3,_0_4_7_];[3,_0_4_7_];;
28;[7,_0_];[7,_0_];;
28.75;[0,_0_];[0,_0_];;
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
29;[10,_0_];[10,_0_];;
30.5;[0,_0_7_];[0,_0_7_];;
31;[0,_0_3_7_17_];[0,_0_3_7_17_];;
32;[10,_0_3_7_17_];[10,_0_3_7_17_];;
32.75;[10,_0_3_7_17_];;;
33;[2,_0_4_7_];[2,_0_4_7_];;
34;[2,_0_4_7_];;;
35;[5,_0_];[5,_0_];;
36;;[3,_0_4_14_];;
36.5;[3,_0_4_14_];;;
37;[5,_0_3_7_14_];[5,_0_3_7_14_];;
37.5;[5,_0_3_7_14_];;;
38;[1,_0_4_7_];[1,_0_4_7_];;
38.5;[0,_0_3_5_];[0,_0_3_5_];;
39;[10,_0_4_7_];[10,_0_4_7_];;
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
41;;[10,_0_];;
41.5;[10,_0_];;;
42;[4,_0_];[3,_0_3_7_13_];;
42.5;[3,_0_3_7_13_];;;
43;[4,_0_4_7_];[4,_0_4_7_];;
43.5;[4,_0_4_7_];;;
44;[1,_0_3_7_10_];[3,_0_3_7_10_];;
44.5;[3,_0_3_7_10_];;;
45;[6,_0_4_7_];[6,_0_4_7_];;
45.5;[6,_0_4_];;;
46;[6,_0_4_5_];[4,_0_4_7_];;
46.5;[4,_0_4_7_];;;
47;[8,_0_3_7_];[8,_0_3_7_];;
47.5;[8,_0_3_7_];;;
48;[8,_0_3_7_14_];[8,_0_3_7_14_];;
48.5;[6,_0_4_7_];[6,_0_4_7_];;
49;[1,_0_3_7_10_];[1,_0_3_7_10_];;
50;[1,_0_3_7_10_];;;
51.5;[11,_0_4_7_11_];[11,_0_4_7_11_];;
52.5;[10,_0_3_7_10_];[10,_0_3_7_10_];;
53;[3,_0_4_7_];[3,_0_4_7_];;
