time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
0;[5,_0_3_7_10_];[5,_0_3_7_10_];;
4;[10,_0_3_7_10_];[10,_0_3_7_10_];;
7;[10,_0_3_7_10_];;;
8;[3,_0_4_7_10_];[3,_0_4_7_10_];;
9;[3,_0_4_7_10_];;;
10;[3,_0_4_7_10_];;;
11;[3,_0_4_7_10_];;;
12;[8,_0_4_7_11_];[8,_0_4_7_11_];;
13;[8,_0_4_7_11_];;;
15;[8,_0_4_7_11_];;;
tonality;-------;-------;-------;-------
16;[1,_0_4_7_11_];[1,_0_4_7_11_];;
17;[1,_0_4_7_11_];;;
18;[1,_0_4_7_11_];;;
19;[1,_0_4_7_11_];;;
20;[7,_0_4_7_10_];[7,_0_4_7_10_];;
21;[7,_0_4_7_10_];;;
23;[7,_0_4_7_10_];;;
24;[0,_0_4_7_11_];[0,_0_4_7_11_];;
28;[0,_0_4_7_11_];[0,_0_4_7_11_];;
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
32;[0,_0_3_7_10_];[0,_0_3_7_10_];;
36;[5,_0_3_7_10_];[5,_0_3_7_10_];;
39;[5,_0_3_7_10_];;;
40;[10,_0_4_7_10_];[10,_0_4_7_10_];;
41;[10,_0_4_7_10_];;;
42;[10,_0_4_7_10_];;;
43;[10,_0_4_7_10_];;;
44;[3,_0_4_7_11_];[3,_0_4_7_11_];;
45;[3,_0_4_7_11_];;;
47;[3,_0_4_7_11_];;;
tonality;-------;-------;-------;-------
48;[8,_0_4_7_11_];[8,_0_4_7_11_];;
49;[8,_0_4_7_11_];;;
50;[8,_0_4_7_11_];;;
51;[8,_0_4_7_11_];;;
52;[2,_0_4_7_10_];[2,_0_4_7_10_];;
52.6667;[2,_0_4_7_10_];;;
53.3333;[2,_0_4_7_10_13_];;;
54;[2,_0_4_7_10_];;;
55;[2,_0_4_7_10_];;;
56;[7,_0_4_7_11_];[7,_0_4_7_11_];;
60;[7,_0_4_7_11_];[7,_0_4_7_11_];;
61;[7,_0_4_7_11_];;;
62;[7,_0_4_7_11_];;;
63;[7,_0_4_7_11_];;;
grouping;-------;-------;-------;-------
64;[9,_0_3_7_10_17_];[9,_0_3_7_10_];;
66;[9,_0_3_7_10_];;;
68;[2,_0_4_7_10_];[2,_0_4_7_10_];;
69;[2,_0_4_7_10_13_];;;
70;[2,_0_4_7_10_14_];;;
71;[2,_0_4_7_10_];;;
72;[7,_0_4_7_11_];[7,_0_4_7_11_];;
76;[7,_0_4_7_11_];[7,_0_4_7_11_];;
77;[7,_0_4_7_11_];;;
78;[7,_0_4_7_11_];;;
79;[7,_0_4_7_11_];;;
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
80;[6,_0_3_7_10_17_];[6,_0_3_7_10_];;
82;[6,_0_3_7_10_];;;
84;[11,_0_4_7_10_];[11,_0_4_7_10_];;
85;[11,_0_4_7_11_22_];;;
86;[11,_0_4_7_10_];;;
87;[11,_0_4_7_10_];;;
88;[4,_0_4_7_11_];[4,_0_4_7_11_];;
tonality;-------;-------;-------;-------
92;[0,_0_4_8_10_];[0,_0_4_8_10_];;
grouping;-------;-------;-------;-------
96;[5,_0_3_7_10_];[5,_0_3_7_10_];;
100;[10,_0_3_7_10_];[10,_0_3_7_10_];;
103;[10,_0_3_7_10_];;;
104;[3,_0_4_7_10_];[3,_0_4_7_10_];;
105;[3,_0_4_7_10_];;;
106;[3,_0_4_7_10_];;;
107;[3,_0_4_7_10_];;;
108;[8,_0_4_7_11_];[8,_0_4_7_11_];;
109;[8,_0_4_7_11_];;;
111;[8,_0_4_7_11_];;;
112;[1,_0_4_7_11_];[1,_0_4_7_11_];;
116;[1,_0_3_7_10_14_];[1,_0_3_7_10_];;
118;[1,_0_3_7_10_];;;
120;[0,_0_3_7_10_];[0,_0_3_7_10_];;
121;[0,_0_3_7_10_];;;
122;[0,_0_3_7_10_];;;
122.6667;[0,_0_3_7_10_];;;
123.3333;[0,_0_3_7_10_];;;
124;[7,_0_4_7_10_13_];[5,_0_3_6_9_];;
127;[5,_0_3_6_9_];;;
grouping;-------;-------;-------;-------
128;[10,_0_3_7_10_];[10,_0_3_7_10_];;
129;[10,_0_3_7_10_];;;
130;[10,_0_3_7_10_];;;
131;[10,_0_3_7_10_];;;
132;[3,_0_4_7_10_14_];[3,_0_4_7_10_];;
134;[3,_0_4_7_10_];;;
136;[8,_0_4_7_11_];[8,_0_4_7_11_];;
140;[8,_0_4_7_11_];[8,_0_4_7_11_];;
