time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
0;[5,_0_3_7_9_14_];[5,_0_3_7_9_14_];;
0.66667;[5,_0_3_7_9_14_];;;
1.3333;[5,_0_3_7_9_14_];;;
2;[5,_0_3_7_10_14_21_];;;
3;[5,_0_3_7_11_14_21_];;;
4;[0,_0_4_7_11_];[0,_0_4_7_11_];;
8;[5,_0_3_7_9_];[5,_0_3_7_9_];;
8.6667;[5,_0_3_7_9_];;;
9.3333;[5,_0_3_7_9_];;;
10;[5,_0_3_7_10_21_];;;
11;[0,_0_4_8_5_14_];;;
12;[4,_0_3_7_10_13_];[4,_0_3_7_10_13_];;
grouping;-------;-------;-------;-------
16;[0,_0_4_7_11_14_];[0,_0_4_7_11_14_];;
16.6667;[0,_0_4_7_11_14_];;;
17.3333;[0,_0_4_7_11_14_];;;
18;[0,_0_4_7_11_];;;
19;[0,_0_4_7_11_];;;
20;[0,_0_4_7_11_];[0,_0_4_7_11_];;
21;[0,_0_4_7_11_];;;
22;[0,_0_4_7_11_];;;
23;[0,_0_4_7_11_];;;
23.5;[0,_0_4_7_11_14_];;;
24;[7,_0_3_7_10_];[7,_0_3_7_10_];;
28;[0,_0_4_7_10_14_];[0,_0_4_7_10_14_];;
grouping;-------;-------;-------;-------
32;[2,_0_3_7_10_14_];[2,_0_3_7_10_14_];;
32.6667;[2,_0_3_7_10_14_];;;
33.3333;[2,_0_3_7_10_14_];;;
34;[5,_0_4_7_11_18_];;;
35;[5,_0_4_7_11_];;;
36;[5,_0_4_7_11_];[5,_0_4_7_11_];;
40;[11,_0_3_6_9_];[11,_0_3_6_9_];;
40.6667;[11,_0_3_6_9_];;;
41.3333;[11,_0_3_6_9_];;;
42;[4,_0_4_7_10_];[4,_0_4_7_10_];;
43;[0,_0_4_8_11_14_];;;
44;[9,_0_3_7_10_];[9,_0_3_7_10_];;
grouping;-------;-------;-------;-------
48;[9,_0_3_7_9_];[9,_0_3_7_9_];;
48.6667;[9,_0_3_7_9_];;;
49.3333;[9,_0_3_7_9_];;;
50;[9,_0_3_7_9_];;;
51;[9,_0_3_7_9_14_];;;
52;[11,_0_4_7_10_13_];[11,_0_4_7_10_13_];;
54;[11,_0_4_7_10_13_];;;
56;[11,_0_3_7_10_17_];[11,_0_3_7_10_17_];;
58;[4,_0_4_7_10_];[4,_0_4_7_10_];;
60;[7,_0_3_7_9_];[7,_0_3_7_9_];;
62;[9,_0_4_7_10_13_];[9,_0_4_7_10_13_];;
64;[9,_0_3_7_9_];[9,_0_3_7_9_];;
66;[11,_0_3_6_9_];[11,_0_3_6_9_];;
66.5;[10,_0_4_7_10_13_];;;
67;[11,_0_3_6_9_];;;
67.5;[11,_0_3_6_9_];;;
68;[0,_0_4_7_];[0,_0_4_7_];;
69;[0,_0_4_7_];;;
70;[9,_0_3_6_9_];[9,_0_3_6_9_];;
72;[5,_0_3_7_9_];[5,_0_3_7_9_];;
72.5;[10,_0_4_7_10_14_];;;
73;[5,_0_3_7_9_18_];;;
73.5;[5,_0_3_7_9_];;;
74;[5,_0_3_7_9_];[5,_0_3_7_9_];;
75;[5,_0_3_7_9_];;;
76;[0,_0_4_7_];[0,_0_4_7_];;
80;[4,_0_4_7_10_13_];[4,_0_4_7_10_13_];;
82;[4,_0_4_7_10_];[4,_0_4_7_10_];;
82.5;[4,_0_4_7_10_18_];;;
83;[4,_0_4_7_10_];;;
83.5;[4,_0_4_7_10_];;;
84;[9,_0_3_7_10_];[9,_0_3_7_10_];;
85;[9,_0_3_7_10_];;;
86;[9,_0_3_7_10_];;;
88;[9,_0_3_7_9_];[9,_0_3_7_9_];;
88.5;[9,_0_3_7_11_21_];;;
89;[9,_0_3_7_9_];;;
89.5;[9,_0_3_7_9_];;;
90;[11,_0_4_7_10_13_];[11,_0_4_7_10_13_];;
91;[11,_0_4_7_10_13_];;;
92;[4,_0_4_7_11_];[4,_0_4_7_11_];;
94;[2,_0_3_7_10_17_];[2,_0_3_7_10_17_];;
95;[7,_0_4_7_10_];[7,_0_4_7_10_];;
grouping;-------;-------;-------;-------
96;[5,_0_3_7_9_14_];[5,_0_3_7_9_14_];;
96.6667;[5,_0_3_7_9_14_];;;
97.3333;[5,_0_3_7_9_14_];;;
98;[5,_0_3_7_10_14_21_];;;
99;[5,_0_3_7_11_14_21_];;;
100;[0,_0_4_7_11_];[0,_0_4_7_11_];;
grouping;-------;-------;-------;-------
104;[7,_0_3_7_9_];[7,_0_3_7_9_];;
104.6667;[7,_0_3_7_9_];;;
105.3333;[7,_0_3_7_9_];;;
106;[7,_0_3_7_9_13_];;;
107;[7,_0_3_7_9_14_];;;
108;[9,_0_4_7_10_];[9,_0_4_7_10_];;
grouping;-------;-------;-------;-------
112;[2,_0_4_7_14_];[2,_0_4_7_14_];;
112.6667;[2,_0_4_7_14_];;;
113.3333;[2,_0_4_7_14_];;;
114;[11,_0_3_7_10_17_];;;
115;[2,_0_4_7_10_14_];;;
116;[5,_0_3_7_9_];[5,_0_3_7_9_];;
118;[7,_0_4_7_10_];[7,_0_4_7_10_];;
120;[0,_0_4_7_];[0,_0_4_7_];;
124;[0,_0_4_7_];[0,_0_4_7_];;
