time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
4;[9,_0_3_7_10_];[9,_0_3_7_10_];;
2;[9,_0_3_7_10_21_];;;
3;[9,_0_3_7_10_];;;
4;[9,_0_3_7_10_];;;
8;[2,_0_4_7_10_];[2,_0_4_7_10_];;
9;[2,_0_4_7_10_];;;
10;[2,_0_4_7_10_14_];;;
11;[2,_0_4_7_10_];;;
12;[7,_0_4_7_11_];[7,_0_4_7_11_];;
14;[7,_0_4_7_11_];;;
16;[0,_0_4_7_11_];[0,_0_4_7_11_];;
17;[0,_0_4_7_11_];;;
18;[0,_0_4_7_11_14_];;;
19;[0,_0_4_7_11_];;;
20;[9,_0_3_7_9_];[9,_0_3_7_9_];;
24;[11,_0_4_7_10_];[11,_0_4_7_10_];;
25;[11,_0_4_7_10_];;;
26;[11,_0_4_7_10_14_];;;
27;[11,_0_4_7_10_];;;
28;[4,_0_3_7_];[4,_0_3_7_];;
32;[4,_0_3_7_];[4,_0_3_7_];;
33;[4,_0_3_7_];;;
34;[4,_0_3_7_14_];;;
35;[4,_0_3_7_];;;
36;[11,_0_4_7_10_];[11,_0_4_7_10_];;
37;[11,_0_4_7_10_];;;
38;[11,_0_4_7_10_];;;
39;[3,_0_4_8_15_18_];;;
40;[4,_0_3_7_];[4,_0_3_7_];;
44;[4,_0_3_7_];[4,_0_3_7_];;
46;[4,_0_3_7_11_];;;
47;[4,_0_3_7_];;;
grouping;-------;-------;-------;-------
48;[9,_0_3_7_9_];[9,_0_3_7_9_];;
49;[9,_0_3_7_9_14_];;;
50;[9,_0_3_7_9_];;;
52;[11,_0_4_7_10_13_];[11,_0_4_7_10_13_];;
53;[11,_0_4_7_10_13_];;;
54;[9,_0_3_7_6_9_14_];;;
55;[11,_0_4_7_10_13_];;;
56;[4,_0_3_7_];[4,_0_3_7_];;
60;[4,_0_3_7_];[4,_0_3_7_];;
61;[4,_0_3_7_];;;
62;[4,_0_3_7_14_];;;
63;[4,_0_3_7_];;;
grouping;-------;-------;-------;-------
64;[9,_0_3_7_10_];[9,_0_3_7_10_];;
68;[2,_0_4_7_10_];[2,_0_4_7_10_];;
69;[2,_0_4_7_10_];;;
70;[2,_0_4_7_10_];;;
71;[2,_0_4_7_10_];;;
72;[7,_0_4_7_11_];[7,_0_4_7_11_];;
76;[7,_0_4_7_11_];[7,_0_4_7_11_];;
78;[7,_0_4_7_11_15_];;;
79;[7,_0_4_7_11_];;;
grouping;-------;-------;-------;-------
80;[9,_0_3_7_9_];[9,_0_3_7_9_];;
81;[9,_0_3_7_9_];;;
82;[9,_0_3_7_9_];[9,_0_3_7_9_];;
83;[9,_0_3_7_9_];;;
84;[11,_0_4_7_10_13_];[11,_0_4_7_10_13_];;
87;[11,_0_4_7_10_13_];;;
88;[4,_0_3_7_10_];[4,_0_3_7_10_];;
90;[3,_0_4_8_10_19_];[3,_0_4_8_10_19_];;
92;[11,_0_3_7_10_13_];[11,_0_3_7_10_13_];;
94;[8,_0_5_10_15_];[8,_0_5_10_15_];;
95;[1,_0_3_7_10_17_];;;
grouping;-------;-------;-------;-------
96;[9,_0_3_7_10_14_];[9,_0_3_7_10_14_];;
99;[0,_0_4_7_11_];;;
100;[11,_0_4_7_10_13_];[11,_0_4_7_10_13_];;
102;[0,_0_3_7_11_18_21_];;;
103;[11,_0_4_7_10_13_];;;
104;[4,_0_3_7_];[4,_0_3_7_];;
108;[4,_0_3_7_];[4,_0_3_7_];;
109;[4,_0_3_7_];;;
110;[4,_0_3_7_14_];;;
111;[4,_0_3_7_];;;
