time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
4;[7,_0_3_7_9_];[7,_0_3_7_9_14_];;
2;[7,_0_3_7_9_];;;
3;[7,_0_3_7_10_21_];;;
4;[7,_0_3_7_9_14_];;;
7;[7,_0_3_7_9_];;;
8;[10,_0_3_7_11_18_21_];[10,_0_3_7_11_18_21_];;
9.5;[9,_0_4_7_10_13_];;;
10;[7,_0_3_7_6_9_14_];;;
11;[9,_0_4_7_10_13_];;;
11.5;[10,_0_3_7_11_18_21_];;;
12;[2,_0_3_7_];[2,_0_3_7_];;
16;[2,_0_3_7_];[2,_0_3_7_];;
16.5;[2,_0_3_7_];;;
18;[2,_0_3_7_17_];;;
19;[2,_0_3_7_];;;
grouping;-------;-------;-------;-------
20;[7,_0_3_7_10_17_];[7,_0_3_7_10_17_];;
23;[7,_0_3_7_10_];;;
24;[9,_0_3_7_10_13_];[9,_0_3_7_10_13_];;
25.5;[0,_0_4_7_10_];;;
26;[0,_0_4_7_10_17_];;;
27;[0,_0_4_7_10_];;;
27.5;[9,_0_3_7_10_13_];;;
28;[5,_0_4_7_11_];[5,_0_4_7_11_];;
32;[7,_0_3_7_9_14_];[7,_0_3_7_9_14_];;
32.5;[7,_0_3_7_9_14_];;;
34;[9,_0_4_7_10_14_];[9,_0_4_7_10_];;
35;[9,_0_4_7_10_];;;
grouping;-------;-------;-------;-------
36;[2,_0_3_7_14_];[2,_0_3_7_];;
37;[2,_0_3_7_];;;
39;[2,_0_3_7_];;;
40;[7,_0_3_7_10_17_];[7,_0_3_7_10_];;
41;[7,_0_3_7_10_];;;
43;[7,_0_3_7_10_];;;
44;[10,_0_4_7_10_18_];[10,_0_4_7_10_18_];;
48;[7,_0_3_7_9_];[7,_0_3_7_9_];;
48.5;[7,_0_3_7_9_];;;
50;[1,_0_4_8_15_18_];[9,_0_4_7_10_];;
51;[9,_0_4_7_10_];;;
grouping;-------;-------;-------;-------
52;[2,_0_3_7_];[2,_0_3_7_];;
55;[2,_0_3_7_];;;
56;[7,_0_4_7_10_18_];[7,_0_4_7_10_18_];;
59;[7,_0_4_7_10_18_];;;
60;[7,_0_3_7_9_];[7,_0_3_7_9_];;
64;[9,_0_4_7_10_13_];[9,_0_4_7_10_13_];;
64.5;[9,_0_4_7_10_13_];;;
66;[10,_0_3_7_11_18_21_];;;
67;[9,_0_4_7_10_13_];;;
68;[2,_0_3_7_];[2,_0_3_7_];;
71;[2,_0_3_7_14_];;;
72;[10,_0_4_7_10_];[10,_0_4_7_10_];;
74;[9,_0_4_7_10_];[9,_0_4_7_10_];;
76;[2,_0_3_7_];[2,_0_3_7_];;
grouping;-------;-------;-------;-------
80;[2,_0_3_7_];[2,_0_3_7_];;
80.5;[2,_0_3_7_];;;
82;[2,_0_3_7_14_];;;
83;[2,_0_3_7_];;;
