time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
2;[9,_0_3_7_];[9,_0_3_7_];;
5;[9,_0_3_7_14_];;;
5.5;[9,_0_3_7_];;;
6;[2,_0_3_7_9_18_];[2,_0_3_7_9_18_];;
8;[2,_0_3_7_6_9_14_];[4,_0_4_7_10_13_];;
9;[4,_0_4_7_10_13_];;;
9.5;[4,_0_4_7_10_13_];;;
10;[9,_0_3_7_];[9,_0_3_7_];;
14;[4,_0_4_7_10_13_];[4,_0_4_7_10_13_];;
16;[4,_0_4_7_10_13_];[4,_0_4_7_10_13_];;
17;[4,_0_4_7_10_13_];;;
grouping;-------;-------;-------;-------
18;[9,_0_3_7_];[9,_0_3_7_];;
21;[9,_0_3_7_14_];;;
21.5;[9,_0_3_7_];;;
22;[2,_0_3_7_10_];[2,_0_3_7_10_];;
24;[7,_0_4_7_10_14_];[7,_0_4_7_10_];;
25;[7,_0_4_7_10_];;;
25.5;[7,_0_4_7_10_];;;
26;[0,_0_4_7_11_];[0,_0_4_7_11_];;
30;[4,_0_3_6_9_];[4,_0_3_6_9_];;
32;[9,_0_4_7_10_13_];[9,_0_4_7_10_13_];;
32.5;[9,_0_4_7_10_13_];;;
33;[10,_0_3_7_11_18_21_];;;
33.5;[9,_0_4_7_10_13_];;;
grouping;-------;-------;-------;-------
34;[2,_0_3_7_10_];[2,_0_3_7_10_];;
35.5;[2,_0_3_7_10_];;;
36;[2,_0_3_7_10_];[2,_0_3_7_10_];;
38;[7,_0_4_7_10_];[7,_0_4_7_10_];;
40.5;[7,_0_4_7_10_];;;
41;[4,_0_3_7_10_13_];;;
41.5;[7,_0_4_7_10_];;;
42;[9,_0_3_7_10_];[9,_0_3_7_10_];;
43.5;[9,_0_3_7_10_];;;
44;[9,_0_3_7_10_];[9,_0_3_7_10_];;
46;[5,_0_4_7_11_];[5,_0_4_7_11_];;
48.5;[5,_0_4_7_11_];;;
49;[2,_0_3_7_10_14_];;;
49.5;[5,_0_4_7_11_];;;
grouping;-------;-------;-------;-------
50;[11,_0_3_6_9_];[11,_0_3_6_9_];;
51.5;[11,_0_3_6_9_];;;
52;[11,_0_3_6_9_];[11,_0_3_6_9_];;
54;[4,_0_4_7_10_13_];[4,_0_4_7_10_13_];;
56.5;[4,_0_4_7_10_13_];;;
57;[5,_0_3_7_11_18_21_];;;
57.5;[4,_0_4_7_10_13_];;;
58;[9,_0_3_7_];[9,_0_3_7_];;
62;[4,_0_4_7_10_13_];[4,_0_4_7_10_13_];;
64;[4,_0_4_7_10_13_];[4,_0_4_7_10_13_];;
65;[4,_0_4_7_10_13_];;;
grouping;-------;-------;-------;-------
66;[9,_0_3_7_];[9,_0_3_7_];;
69;[9,_0_3_7_14_];;;
69.5;[9,_0_3_7_];;;
70;[2,_0_3_7_9_18_];[2,_0_3_7_9_18_];;
72;[2,_0_3_7_6_9_14_];[4,_0_4_7_10_13_];;
73;[4,_0_4_7_10_13_];;;
73.5;[4,_0_4_7_10_13_];;;
74;[9,_0_3_7_];[9,_0_3_7_];;
78;[4,_0_4_7_10_13_];[4,_0_4_7_10_13_];;
80;[4,_0_4_7_10_13_];[4,_0_4_7_10_13_];;
81;[4,_0_4_7_10_13_];;;
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
82;[7,_0_3_7_9_];[7,_0_3_7_9_];;
85;[7,_0_3_7_9_14_];;;
85.5;[7,_0_3_7_9_];;;
86;[9,_0_4_7_10_13_];[9,_0_4_7_10_13_];;
89;[10,_0_3_7_11_18_21_];;;
89.5;[9,_0_4_7_10_13_];;;
90;[2,_0_3_7_];[2,_0_3_7_];;
94;[2,_0_3_7_];[2,_0_3_7_];;
97;[2,_0_3_7_];;;
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
98;[2,_0_3_7_];[2,_0_3_7_];;
101;[2,_0_3_7_14_];;;
101.5;[2,_0_3_7_];;;
102;[11,_0_3_6_9_];[11,_0_3_6_9_];;
104;[4,_0_4_7_10_13_];[4,_0_4_7_10_13_];;
106;[9,_0_3_7_];[9,_0_3_7_];;
107;[9,_0_3_7_];;;
108;[9,_0_3_7_];;;
109;[9,_0_3_7_17_];;;
109.5;[9,_0_3_7_];;;
110;[5,_0_4_7_11_];[5,_0_4_7_11_];;
113;[5,_0_4_7_11_15_];;;
grouping;-------;-------;-------;-------
114;[4,_0_4_7_10_13_];[4,_0_4_7_10_13_];;
118;[4,_0_4_7_10_13_];[4,_0_4_7_10_13_];;
120;[4,_0_4_7_10_13_];;;
121;[4,_0_4_7_10_13_];;;
121.5;[4,_0_4_7_10_13_];;;
122;[9,_0_3_7_];[9,_0_3_7_];;
126;[2,_0_3_7_9_18_];[2,_0_3_7_9_18_];;
128;[2,_0_3_7_6_9_14_];[2,_0_3_7_6_9_14_];;
129;[4,_0_4_7_10_13_];;;
130;[9,_0_3_7_];[9,_0_3_7_];;
133;[9,_0_3_7_];;;
133.5;[9,_0_3_7_14_];;;
grouping;-------;-------;-------;-------
134;[2,_0_3_7_10_];[2,_0_3_7_10_];;
135;[2,_0_3_7_10_];;;
135.5;[2,_0_3_7_10_];;;
136;[9,_0_3_7_10_14_];[9,_0_3_7_10_14_];;
137;[9,_0_3_7_10_];;;
137.5;[9,_0_3_7_10_14_];;;
138;[2,_0_3_7_10_];[2,_0_3_7_10_];;
139;[2,_0_3_7_10_];;;
139.5;[2,_0_3_7_10_];;;
140;[9,_0_3_7_10_14_];[9,_0_3_7_10_14_];;
141;[9,_0_3_7_10_];;;
141.5;[9,_0_3_7_10_14_];;;
142;[2,_0_3_7_10_];[2,_0_3_7_10_];;
143;[2,_0_3_7_10_];;;
143.5;[2,_0_3_7_10_];;;
144;[4,_0_3_7_10_];[4,_0_3_7_10_];;
145;[4,_0_3_7_10_17_];;;
145.5;[4,_0_3_7_10_];;;
146;[9,_0_3_7_];[9,_0_3_7_];;
150;[9,_0_3_7_];[9,_0_3_7_];;
