time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
2;[0,_0_3_7_10_];[0,_0_3_7_10_];;
3.5;[0,_0_3_7_10_17_];;;
4;[0,_0_3_7_10_];[0,_0_3_7_10_];;
4.5;[0,_0_3_7_10_14_];;;
5.5;[0,_0_3_7_10_];;;
6;[0,_0_3_7_10_];[0,_0_3_7_10_];;
9;[0,_0_3_7_10_];;;
10;[5,_0_3_7_10_];[5,_0_3_7_10_];;
12;[5,_0_3_7_10_14_];[5,_0_3_7_10_];;
13.5;[5,_0_3_7_10_];;;
14;[5,_0_3_7_10_];[5,_0_3_7_10_];;
grouping;-------;-------;-------;-------
18;[5,_0_3_7_9_];[5,_0_3_7_9_];;
19.5;[5,_0_3_7_10_21_];;;
20;[5,_0_3_7_9_];[5,_0_3_7_9_];;
20.5;[5,_0_3_7_9_];;;
21.5;[10,_0_4_7_10_14_];;;
22;[7,_0_3_7_10_16_];[7,_0_3_7_10_16_];;
25;[7,_0_4_7_10_13_];;;
26;[0,_0_3_7_10_];[0,_0_3_7_10_];;
28;[0,_0_3_7_10_17_];[0,_0_3_7_10_];;
29.5;[0,_0_3_7_10_];;;
30;[0,_0_3_7_10_];[0,_0_3_7_10_];;
grouping;-------;-------;-------;-------
34;[3,_0_3_7_10_];[3,_0_3_7_10_];;
35.5;[3,_0_3_7_10_];;;
36;[3,_0_3_7_10_21_];[3,_0_3_7_10_21_];;
36.5;[3,_0_3_7_10_];;;
37.5;[3,_0_3_7_10_17_];;;
38;[8,_0_4_7_10_];[8,_0_4_7_10_];;
41;[8,_0_4_7_10_];;;
42;[1,_0_4_7_11_17_];[1,_0_4_7_11_];;
43;[1,_0_4_7_11_];;;
43.5;[10,_0_3_7_10_14_];;;
44;;[1,_0_4_7_11_];;
44.5;[1,_0_4_7_11_];;;
45;[1,_0_4_7_11_];;;
46;[1,_0_4_7_11_];[1,_0_4_7_11_];;
grouping;-------;-------;-------;-------
50;[5,_0_3_7_9_];[5,_0_3_7_9_];;
51;[5,_0_3_7_9_14_];;;
51.5;[10,_0_4_7_10_14_];;;
52;[10,_0_4_7_10_14_];[10,_0_4_7_10_14_];;
54;[7,_0_4_7_10_13_];[7,_0_4_7_10_13_];;
55;[7,_0_4_7_10_];;;
55.5;[7,_0_3_7_10_16_];;;
56;[7,_0_3_7_10_16_];[7,_0_3_7_10_16_];;
57.5;[7,_0_4_7_10_13_];;;
58;[0,_0_3_7_10_];[0,_0_3_7_10_];;
62;[5,_0_3_7_9_14_];[5,_0_3_7_9_14_];;
64;[7,_0_4_7_10_];[7,_0_4_7_10_];;
65;[7,_0_4_7_10_];;;
66;[7,_0_];[0,_0_3_7_10_];;
