time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
0;[5,_0_3_7_10_14_];[5,_0_3_7_10_];;
2;[10,_0_4_7_10_];[10,_0_4_7_10_];;
2.5;[10,_0_4_7_10_];;;
3;[10,_0_4_7_10_];;;
3.5;[10,_0_4_7_10_14_];;;
4;[0,_0_3_7_];[0,_0_3_7_];;
8;[5,_0_3_7_10_];[5,_0_3_7_10_];;
9.5;[5,_0_3_7_10_14_];;;
10;[10,_0_4_7_10_];[10,_0_4_7_10_];;
10.5;[10,_0_4_7_10_];;;
11;[10,_0_4_7_10_];;;
11.5;[10,_0_4_7_10_14_];;;
12;[0,_0_3_7_];[0,_0_3_7_];;
grouping;-------;-------;-------;-------
16;[10,_0_3_7_10_14_];[10,_0_3_7_10_14_];;
17.5;[10,_0_3_7_10_14_];;;
18;[3,_0_4_7_10_];[3,_0_4_7_10_];;
18.5;[3,_0_4_7_10_];;;
19;[3,_0_4_7_10_];;;
19.5;[3,_0_4_7_10_14_];;;
20;[5,_0_3_7_];[5,_0_3_7_];;
24;[5,_0_3_7_10_];[5,_0_3_7_10_];;
25.5;[5,_0_3_7_10_14_];;;
26;[10,_0_4_7_10_];[10,_0_4_7_10_];;
26.5;[10,_0_4_7_10_];;;
27;[10,_0_4_7_10_];;;
27.5;[10,_0_4_7_10_14_];;;
28;[0,_0_3_7_];[0,_0_3_7_];;
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
32;[9,_0_3_7_10_];[9,_0_3_7_10_];;
33.5;[9,_0_3_7_10_];;;
34;[8,_0_4_6_10_];[8,_0_4_6_10_];;
34.5;[8,_0_4_6_10_];;;
35;[8,_0_4_6_10_];;;
35.5;[2,_0_4_8_10_18_];;;
36;[7,_0_3_7_];[7,_0_3_7_];;
tonality;-------;-------;-------;-------
40;[5,_0_3_7_10_17_];[5,_0_3_7_10_17_];;
41.5;[5,_0_3_7_10_14_];;;
42;[10,_0_4_7_10_];[10,_0_4_7_10_];;
42.5;[10,_0_4_7_10_];;;
43;[10,_0_4_7_10_];;;
43.5;[10,_0_4_7_10_14_];;;
44;[0,_0_3_7_];[0,_0_3_7_];;
48;[5,_0_3_7_10_];[5,_0_3_7_10_];;
49.5;[5,_0_3_7_10_14_];;;
50;[10,_0_4_7_10_];[10,_0_4_7_10_];;
50.5;[10,_0_4_7_10_];;;
51;[10,_0_4_7_10_];;;
51.5;[10,_0_4_7_10_14_];;;
52;[3,_0_3_7_9_];[3,_0_3_7_9_];;
56;[0,_0_3_7_];[0,_0_3_7_];;
