time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
0;[10,_0_4_7_11_18_];[10,_0_4_7_11_18_];;
3;[10,_0_4_7_11_18_];;;
4;[9,_0_3_7_10_16_];[9,_0_3_7_10_16_];;
7;[9,_0_3_7_10_4_13_];;;
8;[2,_0_3_7_10_14_];[2,_0_3_7_10_14_];;
10;[1,_0_4_8_10_19_];[1,_0_4_8_10_19_];;
11;[1,_0_4_7_10_18_];;;
12;[0,_0_3_7_10_17_];[0,_0_3_7_10_14_];;
13;[0,_0_3_7_10_14_];;;
14;[2,_0_3_7_10_4_13_];[2,_0_3_7_10_4_13_];;
grouping;-------;-------;-------;-------
16;[10,_0_4_7_11_18_];[10,_0_4_7_11_];;
17.5;[10,_0_4_7_11_];;;
18;[10,_0_4_7_11_15_];;;
18.5;[10,_0_4_7_11_];;;
19;[10,_0_4_7_11_];;;
19.5;[10,_0_4_7_11_];;;
20;[1,_0_4_8_11_15_18_];[1,_0_4_8_11_15_18_];;
23;[1,_0_4_8_15_18_];;;
24;[4,_0_3_7_10_5_13_];[4,_0_3_7_10_5_13_];;
27;[2,_0_3_7_9_14_];;;
28;[0,_0_4_8_11_6_14_];[0,_0_4_8_11_6_14_];;
31;[4,_0_4_7_10_14_];;;
32;[9,_0_3_7_10_14_];[9,_0_3_7_10_14_];;
35;[9,_0_3_7_10_14_];;;
36;[2,_0_3_7_10_14_];[2,_0_3_7_10_14_];;
39;[2,_0_3_7_10_14_23_];;;
40;[10,_0_4_7_11_18_];[10,_0_4_7_11_18_];;
43;[10,_0_4_7_11_18_];;;
44;[9,_0_3_7_10_16_];[9,_0_3_7_10_16_];;
47;[9,_0_3_7_10_4_13_];;;
48;[2,_0_3_7_9_14_];[2,_0_3_7_9_14_];;
