time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
2;[0,_0_3_7_10_];[0,_0_3_7_10_];;
3.5;[0,_0_3_7_10_];;;
4;[0,_0_3_7_10_];[0,_0_3_7_10_];;
6;[0,_0_3_7_10_];[0,_0_3_7_10_];;
9.5;[0,_0_3_7_10_];;;
10;[0,_0_3_7_10_];[0,_0_3_7_10_];;
10.5;[0,_0_3_7_10_];;;
11;[0,_0_3_7_10_];;;
13;[0,_0_3_7_10_];;;
13.5;[0,_0_3_7_10_];;;
14;[0,_0_3_7_10_];[0,_0_3_7_10_];;
14.5;[0,_0_3_7_10_];;;
grouping;-------;-------;-------;-------
17.5;[0,_0_3_7_10_];;;
18;[5,_0_3_7_10_];[5,_0_3_7_10_];;
19.5;[5,_0_3_7_10_];;;
20;[5,_0_3_7_10_];[5,_0_3_7_10_];;
22;[5,_0_3_7_10_];[5,_0_3_7_10_];;
25.5;[5,_0_3_7_10_];;;
26;[0,_0_3_7_10_];[0,_0_3_7_10_];;
27.5;[0,_0_3_7_10_];;;
28;[0,_0_3_7_10_];[0,_0_3_7_10_];;
29.5;[0,_0_3_7_10_];;;
30;[0,_0_3_7_10_];[0,_0_3_7_10_];;
30.5;[0,_0_3_7_10_];;;
grouping;-------;-------;-------;-------
34;[8,_0_4_7_10_];[8,_0_4_7_10_18_];;
34.5;[8,_0_4_7_10_18_];;;
36;[8,_0_4_7_10_18_];;;
37.5;[8,_0_4_7_10_];;;
38;[7,_0_4_7_10_];[7,_0_4_7_10_];;
39.5;[7,_0_4_7_10_17_];;;
40;[3,_0_4_8_11_14_];[3,_0_4_8_11_14_];;
40.5;[7,_0_4_7_10_17_];;;
41;[3,_0_4_8_11_14_];;;
42;[0,_0_3_7_10_];[0,_0_3_7_10_];;
46;[0,_0_3_7_10_];[0,_0_3_7_10_];;
49.5;[0,_0_3_7_10_];;;
50;[0,_0_3_7_10_];[0,_0_3_7_10_];;
