time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
0;[11,_0_4_7_];[11,_0_4_7_];;
tonality;-------;-------;-------;-------
2;[2,_0_4_7_10_];[2,_0_4_7_10_];;
4;[7,_0_4_7_];[7,_0_4_7_];;
tonality;-------;-------;-------;-------
6;[7,_0_3_7_10_13_];[7,_0_3_7_10_13_];;
7.5;[10,_0_4_7_10_];;;
8;[3,_0_4_7_];[3,_0_4_7_];;
tonality;-------;-------;-------;-------
12;[9,_0_3_7_10_14_];[9,_0_3_7_10_14_];;
13.5;[9,_0_3_7_10_];;;
14;[2,_0_4_7_10_];[2,_0_4_7_10_];;
grouping;-------;-------;-------;-------
16;[7,_0_4_7_];[7,_0_4_7_];;
tonality;-------;-------;-------;-------
18;[10,_0_4_7_10_];[10,_0_4_7_10_];;
20;[3,_0_4_7_];[3,_0_4_7_];;
tonality;-------;-------;-------;-------
22;[3,_0_3_7_10_];[3,_0_3_7_10_];;
23.5;[3,_0_3_7_10_];;;
24;[11,_0_4_7_];[11,_0_4_7_];;
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
28;[5,_0_3_7_10_14_];[5,_0_3_7_10_14_];;
30;[10,_0_4_7_10_];[10,_0_4_7_10_];;
31.5;[10,_0_4_7_10_];;;
32;[3,_0_4_7_];[3,_0_4_7_];;
tonality;-------;-------;-------;-------
36;[9,_0_3_7_10_14_];[9,_0_3_7_10_14_];;
38;[2,_0_4_7_10_];[2,_0_4_7_10_];;
39.5;[2,_0_4_7_10_];;;
40;[7,_0_4_7_];[7,_0_4_7_];;
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
44;[1,_0_3_7_10_14_];[1,_0_3_7_10_14_];;
46;[6,_0_4_7_10_];[6,_0_4_7_10_];;
47.5;[6,_0_4_7_10_];;;
48;[11,_0_4_7_];[11,_0_4_7_];;
50;[11,_0_4_7_];;;
tonality;-------;-------;-------;-------
52;[5,_0_3_7_10_14_];[5,_0_3_7_10_14_];;
54;[10,_0_4_7_10_];[10,_0_4_7_10_];;
55.5;[10,_0_4_7_10_];;;
56;[3,_0_4_7_];[3,_0_4_7_];;
tonality;-------;-------;-------;-------
60;[1,_0_3_7_10_17_];[1,_0_3_7_10_17_];;
61.5;[1,_0_3_7_10_17_];;;
62;[6,_0_4_7_10_];[6,_0_4_7_10_];;
64;[11,_0_4_7_];[11,_0_4_7_];;
